,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ,Chất liệu,Model,Trọng lượng,Size người mẫu mặc
10,Từ Điển Bách Khoa Việt Nam - Tập 2,https://salt.tikicdn.com/cache/280x280/ts/product/db/ef/db/a8af0dfe17da31f32451a90671da920c.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,1035,,,,,,,,,,,
11,Từ Điển Triết Học Habermas,https://salt.tikicdn.com/cache/280x280/ts/product/64/3a/74/d4642f3c7f9fabad3e908f4d0471dd81.jpg,Nhiều ngôn ngữ,Andrew Edgar,"Từ Điển Triết Học HabermasJürgen Habermas (1929-) là một trong những nhà tư tưởng ảnh hưởng nhất của thời đại chúng ta, người bảo vệ mang tư tưởng độc lập cho “dự án tính hiện đại” ở thời kỳ được cho...",108000,Viện Nghiên Cứu Phát Triển Giáo Dục Ired,2018-09-20 00:00:00,16 x 24cm,Bìa mềm,236,Nhà Xuất Bản Tổng hợp TP.HCM,Nguyễn Đắc Kiên,,,,,,,,,
12,Tự Học Hán Văn (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/7a/56/07/1aceb1c4a80189ab79dc707b614a5071.jpg,Nhiều ngôn ngữ,Nguyễn Khuê,"Hán văn có quan hệ mật thiết với ngôn ngữ, học thật nước nhà và là phương tiện tiện tiếp thu văn chương, tư tưởng Trung Quốc. Bởi những lẽ đó, môn Hán văn đã và đang được giảng dạy ở một số trường Đại...",63749,Nhà Sách Hồng Ân,2020-01-01 00:00:00,17x24,Bìa mềm,336,Nhà Xuất Bản Đà Nẵng,,,,,,,,,,
13,Từ Điển Toán Học Và Tin Học Anh-Việt,https://salt.tikicdn.com/cache/280x280/ts/product/4d/5b/fd/7c2a8954e93ea37a3600769f6c0078d3.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,Cuốn Từ điển Toán học và Tin học Anh - Việt này được Ban Từ điển của Nhà xuất bản Khoa học và Kỹ thuật tổ chức biên soạn dựa trên những từ điển giải nghĩa Anh - Anh gần đây nhất và các từ điển chuyên ...,280000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,1336,,,,,,,,,,,
14,Từ Điển Nga - Việt,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tu-dien-nga-viet_1.jpg,Nhiều ngôn ngữ,PGS.Tiến sĩ Nguyễn Trọng Báu,"Từ Điển Nga - Việt Cuốn từ điển Nga- Việt này dành cho đối tượng là người Việt học và tra cứu tiếng Nga: học sinh, sinh viên, người tự học tiếng Nga hoặc học có hướng dẫn. Với quan điểm đó, mục từ củ...",138600,Huy Hoàng Bookstore,2015-12-02 00:00:00,11 x 18 cm,Bìa cứng,1008,Nhà Xuất Bản Thế Giới,,,,,,,,,,
15,Từ Điển Tâm Lý - Tính Cách Và Cảm Xúc Đến Từ Đâu ?,https://salt.tikicdn.com/cache/280x280/ts/product/f8/cd/35/b7f308316a5dc8de100631c979d65169.jpg,Nhiều ngôn ngữ,Shozo Shibuya,"""“Tính cách” và “cảm xúc” là những từ ngữ vô cùng quen thuộc, nhưng để bóc tách và phân tích từng loại tính cách và cảm xúc thì không phải chuyện dễ dàng gì.Khi giao tiếp với người khác, chúng ta luô...",110500,Read Books,,14 x 20.5 cm,Bìa mềm,448,Nhà Xuất Bản Thế Giới,Trần Thị Thu Hằng,,,,,,,,,
16,Phật Học Từ Điển,https://salt.tikicdn.com/cache/280x280/ts/product/e9/21/95/a00b170811237191042eb59f3df10a6f.jpg,Nhiều ngôn ngữ,Đoàn Trung Còn,"Cuốn sách được trình bày như sau:Phần thứ nhất là phần tra cứu theo chữ Pháp, chữ Phạn, chữ Hán, chữ Tây Tạng, bốn thứ danh từ này âm theo chữ La mã ( u Mỹ).Phần thứ hai là phần quan trọng, phần c...",336000,Nhà Sách Hồng Ân,2012-06-01 00:00:00,16x24,Bìa cứng,1560,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,,,,,,
17,Từ Điển Dệt-May Anh-Việt,https://salt.tikicdn.com/cache/280x280/ts/product/4c/7e/28/e6954c4f5d0b4041b78bb1abdf11b2c0.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Từ Điển Dệt, May Anh - Việt được xuất bản nhằm đáp ứng nhu cầu đông đảo bạn đọc sử dụng những tài liệu bằng tiếng Anh thuộc lĩnh vực vật liệu, sợi, dệt, nhộm, xử lý hoá học, cắt, may... cũng như các l...",160000,NXB Khoa Học Kỹ Thuật,,,Bìa cứng,816,,,,,,,,,,,
18,Từ Điển Tài Chính Kế Toán Và Ngân Hàng Anh Việt - Việt Anh,https://salt.tikicdn.com/cache/280x280/ts/product/2f/89/21/bb45a5e5899a40db16733b5430eda8a1.jpg,Nhiều ngôn ngữ,Cung Kim Tiến,"Từ Điển Tài Chính Kế Toán Và Ngân Hàng Anh Việt - Việt AnhTừ Điển Tài Chính Kế Toán Và Ngân Hàng Anh Việt Việt Anh này gồm khoảng 18000 thuật ngữ thông dụng nhất trong mỗi phần thuộc các lĩnh vực , cá...",89000,Công ty MTV DV - VH Khang Việt,2020-03-01 00:00:00,10 x 18 cm,Bìa mềm,672,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
19,Từ Điển Usborne Vật Lý Minh Họa - Sách Song Ngữ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/9/6/96-001.u5618.d20170923.t150213.647579.jpg,Nhiều ngôn ngữ,Nhiều Tác Giả," Từ Điển Usborne Vật Lý Minh Họa - Sách Song Ngữ  Được thành lập bởi Peter Usborne năm  1973, Usborne hiện là Nhà xuất bản sách thiếu nhi lớn nhất và thành công nhất tại     Anh. Tính đến nay, Nhà xu...",160000,Edibooks,2017-01-01 00:00:00,17 x 24 cm,Bìa mềm,251,Nhà Xuất Bản Giáo Dục Việt Nam,"Phạm Văn Thiều, Đặng Văn Sử",,,,,,,,,
20,Từ Điển Việt - Nga,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tu-dien-viet-nga.u5464.d20170725.t154721.893693.jpg,Nhiều ngôn ngữ,TS.Bùi Hiển,"Cuốn Từ Điển Nga - Việt này dành cho đối tượng là người Việt học và tra cứu tiếng Nga: học sinh, sinh viên, người tự học tiếng Nga hoặc học có hướng dẫn. Với quan điểm đó, mục từ của Từ điển được lựa ...",336000,Huy Hoàng Bookstore,2017-07-25 00:00:00,10 x 18 cm,Bìa mềm,1453,Nhà Xuất Bản Bách Khoa Hà Nội,,,,,,,,,,
21,Từ Điển Khoa Học Và Công Nghệ Anh Việt,https://salt.tikicdn.com/cache/280x280/ts/product/f2/f4/ca/81c74dfc6730d82546442c0b64235a75.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Từ Điển Khoa Học Và Công Nghệ Anh Việt Gồm khoảng 125,000 thuật ngữ, bao quát nhiều chủ đề trong khoa học và công nghệ. Điểm đặc biệt ở đây là mỗi thuật ngữ đều có phần đối chiếu tiếng việt được đưa r...",380000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,1664,,,,,,,,,,,
22,Từ Điển Hán Việt (tặng kèm 1 bookmark và 1 tẩy con vật),https://salt.tikicdn.com/cache/280x280/ts/product/be/f6/15/a5c8373772d7c45d8e081476f86aec1b.jpg,Nhiều ngôn ngữ,"Trương Văn Giới,Lê Khắc Kiều Lục","Từ Điển Hán - ViệtCuốn Từ Điển Hán - Việt đã được biên soạn nhằm đáp ứng nhu cầu học tập, tra cứu của bạn đọc và các bạn sinh viên, học viên khoa tiếng Hán. So với các cuốn Từ điển Hán - Việt đã có d...",150000,Công ty TNHH Giáo Dục Hải Hà,2018-12-27 17:21:45,<p>10x16</p>,Bìa cứng,1366,Nhà Xuất Bản Khoa Học Xã Hội,,,,,,,,,,
23,Từ Điển Usborne Toán Minh Họa (Dùng Cho Học Sinh THCS),https://salt.tikicdn.com/cache/280x280/media/catalog/product/9/4/94-001.u5618.d20170923.t150137.659108.jpg,Nhiều ngôn ngữ,Kirsteen Rogers," Từ Điển Usborne Toán Minh Họa (Dùng Cho Học Sinh THCS)  Được thành lập bởi Peter Usborne năm  1973, Usborne hiện là Nhà xuất bản sách thiếu nhi lớn nhất và thành công nhất tại     Anh. Tính đến nay,...",128000,Edibooks,2017-01-01 00:00:00,17 x 24 cm,Bìa mềm,270,Nhà Xuất Bản Giáo Dục Việt Nam,"Hoàng Phương Thảo, Nguyễn Chí Thành, Nguyễn Huyền Trang",,,,,,,,,
24,"Từ Điển Đức-Việt, Việt-Đức",https://salt.tikicdn.com/cache/280x280/ts/product/58/41/b1/2a29fb39a9c8ec6acfb7abfddb228b64.jpg,Nhiều ngôn ngữ,"Vĩnh Quyền, Như Quỳnh","Cuốn sách này là công trình được thực hiện trong nhiều năm qua của các tác giả và những người cộng sự. Chúng tôi hy vọng sách sẽ giúp ích cho các độc giả trong việc học và tra cứu tiếng Đức, đồng thời...",158400,Nguyễn Đức Huy,,,,,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
25,Từ Điển Việt - Nga (Tái Bản 2015),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img363_13.jpg,Nhiều ngôn ngữ,TS. Bùi Hiền,"Từ Điển Việt - Nga Kể từ khi quyển Từ điển Việt - Nga đầu tiên trong lịch sử từ điển học Xô - viết do tập thể tác giả Liên Xô biên soạn, giáo sư Ô-sa-nhin I.M. và Vũ Đăng Ất hiệu đính (Ma-xcơ-va, 196...",138600,Huy Hoàng Bookstore,2015-09-15 00:00:00,11 x 18 cm ,Bìa mềm,1117,Nhà Xuất Bản Thế Giới,,,,,,,,,,
26,Từ Điển Cơ Khí Và Công Trình Anh -Việt 40.000 Từ,https://salt.tikicdn.com/cache/280x280/ts/product/6d/e2/8f/d8d08c0cfb8cba68629d52fe8d9e3c3c.jpg,Nhiều ngôn ngữ,Cung Kim Tiến,"Cuốn từ điển Anh-Việt cơ khí và công trình gồm khoảng 40.000 thuật ngữ thuộc các lĩnh vực cơ khí, máy, công trình giao thông, vận tải, thuỷ lợi, xây dự Trong quá trình biên soạn tác giả cố gắng chọn n...",99000,Công ty MTV DV - VH Khang Việt,2020-05-01 00:00:00,10 x 18 cm,Bìa mềm,1152,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
27,Từ Điển Cơ Khí Và Máy Xây Dựng Việt Anh,https://salt.tikicdn.com/cache/280x280/ts/product/b8/30/0d/c9fe1cafa7cc2a729b7b85c5f079442b.jpg,Nhiều ngôn ngữ,Cung Kim Tiến,"Từ Điển Cơ Khí Và Máy Xây Dựng Việt AnhTừ Điển Cơ Khí Và Máy Xây Dựng Việt Anh gồm khoảng 28000 thuật ngữ thuộc các lĩnh vực liên quan đến chi tiết máy, nguyên lý cắt gọt, máy công cụ, cơ khí chế tạo....",79000,Công ty MTV DV - VH Khang Việt,2020-03-01 00:00:00,10 x 18 cm,Bìa mềm,576,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
28,Từ Điển Đông Y (Hán - Việt - Anh),https://salt.tikicdn.com/cache/280x280/ts/product/a6/a5/65/ec243020dd1127da5dfaa51b7856a552.jpg,Nhiều ngôn ngữ,GS BS Trần Văn Kỳ,"Nền Y học cổ truyền phương Đông đã trải qua hàng nghìn năm lịch sử đấu tranh với bệnh tật bảo vệ sức khỏe cho nhân dân, ông cha chúng ta đã biết kết hợp dịch lý với thực tiễn phòng trị bệnh, xây dựng ...",229600,Cty Văn Hóa Hương Trang,,,,,Nhà Xuất Bản Thuận Hóa,,,,,,,,,,
29,Từ Điển Môi Trường Và Phát Triển Bền Vững Anh Việt Và Việt Anh,https://salt.tikicdn.com/cache/280x280/ts/product/02/43/dd/207fd01a395f6349ee816e4706b3e8df.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,Từ điển gồm hơn 2500 thuật ngữ tiếng Anh (kèm giải thích) thuộc hai lĩnh vực lớn có liên quan mật thiết với nhau:Khoa học và quản lý môi trường.Phát triển bền vững.Phần đối chiếu Việt - Anh giúp ch...,100000,NXB Khoa Học Kỹ Thuật,,,Bìa cứng,486,,,,,,,,,,,
30,"Từ Điển Đối Chiếu Thuật Ngữ Ngôn Ngữ Học (Việt - Anh, Anh - Việt)",https://salt.tikicdn.com/cache/280x280/ts/product/93/ea/16/2e31c52e829ef5ab9e24d755f67bd42c.jpg,Nhiều ngôn ngữ,Nguyễn Thiện Giáp,"Cuốn ""Từ Điển Thuật Ngữ Ngôn Ngữ Học Đối Chiếu (Anh - Việt, Việt - Anh)"" này gồm khoảng gần 7000 thuật ngữ tiếng Anh và cũng gần như chừng ấy thuật ngữ tiếng Việt, có thể được coi như là sự khai triển...",61750,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,2018-10-01 00:00:00,"13,5 x 21 cm",Bìa mềm,268,Nhà Xuất Bản Khoa Học Xã Hội,,,,,,,,,,
31,Từ Điển Khoa Học Tổng Hợp Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/84/29/af/f18434e84117543cff0cf3a72dc7510e.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Quyển ""Từ Điển Kỹ Thuật Tổng Hợp Anh - Việt "" bao gồm khoảng 120.000 thuật ngữ về các ngành khoa học kỹ thuật như: y học, sinh vật, toán học, hoá học, vật lý, tin học, kỹ thuật, địa chất, quân sự, hàn...",195000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,884,,,,,,,,,,,
32,Từ Điển Khoa Học Và Kỹ Thuật Tổng Hợp,https://salt.tikicdn.com/cache/280x280/ts/product/f5/13/57/7925ed9b2a463ac6c41756e90ead8593.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Cuốn từ điển có khoảng 120.000 thuật ngữ bao gồm nhiều ngành kỹ thuật, công nghệ và một số ngành liên quan. Những thuật ngữ mượn tiếng nước ngoài đã thông dụng trong tiếng Việt được giữ nguyên, các th...",85000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,316,,,,,,,,,,,
33,Từ Điển Bách Khoa Việt Nam - Tập 3,https://salt.tikicdn.com/cache/280x280/ts/product/d4/5c/d0/3b8889a3d1fb64dfad599a0b0ac8fe15.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,878,,,,,,,,,,,
34,Từ Điển Bách Khoa Việt Nam - Tập 1,https://salt.tikicdn.com/cache/280x280/ts/product/52/a9/38/d499ab4acc7fc819700779d6130fd6fd.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,1204,,,,,,,,,,,
35,Từ Điển Toán Học Và Tin Học Việt-Anh,https://salt.tikicdn.com/cache/280x280/ts/product/91/d4/84/774e48e10e716a4060781d7fc6d0cf68.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,Cuốn Từ điển Toán học và Tin học Anh - Việt này được Ban Từ điển của Nhà xuất bản Khoa học và Kỹ thuật tổ chức biên soạn dựa trên những từ điển giải nghĩa Anh - Anh gần đây nhất và các từ điển chuyên ...,195000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,864,,,,,,,,,,,
36,Từ Điển Hóa Nhuộm Việt - Anh,https://salt.tikicdn.com/cache/280x280/ts/product/b9/53/9d/7d769c73bdbcaccf7a8452dfb82be76c.jpg,Nhiều ngôn ngữ,PGS. TS. Đặng Trấn Phòng,"Từ Điển Hóa Nhuộm Việt - AnhHiện tại, việc giao dịch trực tiếp bằng tiếng Anh, viết email trao đổi thương mại hay kỹ thuật, viết tóm tắt báo cáo khoa học hoặc công bố kết quả nghiên cứu bằng tiếng An...",200000,Trung Tâm Phát Hành Sách Và Văn Hóa Phẩm Khoa Học Và Kỹ Thuật,2017-03-01 00:00:00,24 x 16 cm,Bìa mềm,450,Nhà Xuất Bản Khoa học & kỹ thuật,,,,,,,,,,
37,Từ Điển Bách Khoa Việt Nam - Tập 2,https://salt.tikicdn.com/cache/280x280/ts/product/db/ef/db/a8af0dfe17da31f32451a90671da920c.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,1035,,,,,,,,,,,
38,Tự Điển Chữ Nôm Dẫn Giải - Gồm 2 Tập (Tập 1 + Tập 2)(Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/60/58/87/23bd4c4603798713fa6ebb6d29d570c9.jpg,Nhiều ngôn ngữ,Nguyễn Quang Hồng,"Chữ Nôm là thứ văn tự cổ truyền của dân tộc Việt Nam, được sáng tạo theo hình mẫu chữ Hán. Trải qua nhiều thế kỷ, chữ Nôm đã đồng hành cùng chữ Hán (từ thế kỷ XII) và sau đó cả với chữ Quốc ngữ theo m...",1320000,Tri Thức Trẻ Books,2021-09-01 00:00:00,16 x 24 cm,Bìa cứng,2416,Nhà Xuất Bản Khoa Học Xã Hội,Nguyễn Quang Hồng,,,,,,,,,
39,Từ Điển Tài Chính Kế Toán Và Ngân Hàng Anh Việt - Việt Anh,https://salt.tikicdn.com/cache/280x280/ts/product/2f/89/21/bb45a5e5899a40db16733b5430eda8a1.jpg,Nhiều ngôn ngữ,Cung Kim Tiến,"Từ Điển Tài Chính Kế Toán Và Ngân Hàng Anh Việt - Việt AnhTừ Điển Tài Chính Kế Toán Và Ngân Hàng Anh Việt Việt Anh này gồm khoảng 18000 thuật ngữ thông dụng nhất trong mỗi phần thuộc các lĩnh vực , cá...",89000,Công ty MTV DV - VH Khang Việt,2020-03-01 00:00:00,10 x 18 cm,Bìa mềm,672,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
40,Từ Điển Cơ Khí Và Máy Xây Dựng Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/1d/a4/88/d86f7a2cb1ff01cbd931b9f2df1f81db.jpg,Nhiều ngôn ngữ,Cung Kim Tuyến,TỪ ĐIỂN CƠ KHÍ VÀ MÁY XÂY DỰNG ANH - VIỆT ENGLISH - VIETNAMESE MECHANICAL AND CONSTRUCTION MACHINE DICTIONARYCuốn từ điển cơ khí và máy xây dựng Anh - Việt gồm khoảng 28000 thuật ngữ thuộc các lĩn...,99000,Công ty MTV DV - VH Khang Việt,,10 x 18 cm,Bìa mềm,1296,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
41,"Từ Điển Bằng Hình Ngành Cơ Khí, Điện Máy Và Vật Liệu Công Trình Anh - Việt - Đức",https://salt.tikicdn.com/cache/280x280/ts/product/fe/23/d1/e7460415e2f82d24da3f5ceeef3ac03c.jpg,Nhiều ngôn ngữ,PONS,"Từ điển tuyển chọn những từ vựng quan trọng nhất trong lĩnh vực cơ khí, điện máy và vật liệu công trình đáp ứng nhu cầu tra cứu và học tập.• Thuận tiện: Từ điển trình bày bằng ba ngôn ngữ: Anh-Việt-Đ...",312300,Nhân Trí Việt,2021-03-01 00:00:00,13.8 x 16.6 cm,Bìa mềm,360,Nhà Xuất Bản Tổng hợp TP.HCM,Lê Huy Lâm,,,,,,,,,
42,Từ Điển Hán - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/c8/cb/61/3319a782a67a711b5c9dcebd6b479016.jpg,Nhiều ngôn ngữ,Phan Văn Các,"Từ Điển Hán - Việt""Từ điển Hán - Việt"" là tài liệu tham khảo cần thiết đối với những người học và sử dụng tiếng Trung Quốc. Cuốn từ cung cấp một khối lượng từ phong phú, đa dạng. Trong đó đa phần là ...",310000,Nhà sách Minh Thắng,,,Bìa cứng,2024,Nhà Xuất Bản Dân Trí,,,,,,,,,,
