,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ,Chất liệu
16,Combo 2 Cuốn Luyện Viết Chữ Nhớ Từ Vựng – English Writing My Phonics,https://salt.tikicdn.com/cache/280x280/ts/product/2d/e9/b1/a04036fe692dc53c2d4905a269ee167b.jpg,Tô màu – luyện chữ,Little Rainbow,"Luyện viết chữ nhớ từ vựng – English Writing My Phonics là bộ sách dành cho các bé học sinh lớp 1 và lớp 2, giúp các con luyện viết chữ cơ bản trong những năm học chính thức đầu tiên.Ưu điểm của bộ L...",55000,Megabook,2020-05-01 14:25:42,20 x 28 cm,Bìa mềm,,Nhà Xuất Bản Thanh Niên,,,,,,,
17,Combo Bé Tập Tô Màu (8 Tập) - Tái Bản,https://salt.tikicdn.com/cache/280x280/ts/product/df/dd/2a/5df47c462a49c4f72ed53668fd4d5168.jpg,Tô màu – luyện chữ,Hải Nam,"Tập tô màu là hoạt động ưa thích của các bé. Hoạt động này không những giúp rèn luyện đôi tay khéo léo, đức tính kiên trì mà còn có thể bồi dưỡng cho bé khả năng nhận biết màu sắc, phát triển óc sáng ...",64000,Minh Long,2019-07-01 00:00:00,,Bìa mềm,,,,,,,,,
18,Bé Khởi Đầu Tập Viết - Tâm Thế & Hành Trang Vào Lớp 1,https://salt.tikicdn.com/cache/280x280/ts/product/ce/f1/83/b16d76608e9a6b4344c4953e3865be4e.jpg,Tô màu – luyện chữ,Vân Hương (Biên Soạn),"Tâm thế & hành trang vào lớp 1- BÉ KHỞI ĐẦU TẬP VIẾT là cuốn sách được biên soạn dựa trên nghiên cứu khởi đầu cho Tập viết chuẩn mực. Bé sẽ được tập tô - tập viết từ các nét cơ bản, chữ cái, chữ g...",57000,Công Ty TNHH Sách và Thiết Bị Giáo Dục ID,2020-06-11 11:32:23,,Bìa mềm,100,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,,,
19,Dán Hình Thông Minh (Dành Cho Các Bé Từ 3 Đến 6 Tuổi) - Tập 1,https://salt.tikicdn.com/cache/280x280/media/catalog/product/d/a/dan-hinh-thong-minh-tap-1_2.jpg,Tô màu – luyện chữ,Nhóm tác giả,"Dán Hình Thông Minh (Dành Cho Các Bé Từ 3 Đến 6 Tuổi) - Tập 1 Chơi cùng hình dán Phát triển kĩ năng Tưởng tượng phán đoán Ghi nhớ, học hình... Với bộ sách dán hình thông minh, các em sẽ được chơi...",46700,Công Ty Cổ Phần Văn Hóa Đông A,2014-08-15 00:00:00,21 x 29.5 cm,Bìa mềm,24,,,,,,,,
20,VỞ LUYỆN VIẾT MẪU CHỮ NHỎ MỘT Ô LY,https://salt.tikicdn.com/cache/280x280/ts/product/eb/8b/f8/72dc5b956d9d5550875829e4c97907bc.jpg,Tô màu – luyện chữ,Vân Hương,"Cuốn vở tập viết dành cho học sinh Tiểu học đặc biệt là các là Học sinh lớp Một, lớp Hai, đang tập viết hạ cỡ chữ và bắt đầu dùng bút mực. Sách dày 48 trang, khổ 17x24 cm, giấy dày đẹp, chống lóa, khô...",18000,Công Ty TNHH Sách và Thiết Bị Giáo Dục ID,2020-12-17 15:42:43,,Bìa mềm,48,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,,,
21,Tranh Tô Màu Tập Thể - Lễ Hội Rộn Ràng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/r/o/ronranglehoi_review.jpg,Tô màu – luyện chữ,Tạ Lan Hạnh,"Tranh Tô Màu Tập Thể - Lễ Hội Rộn Ràng Bộ đôi ""siêu phẩm"" tranh tô màu khổ đại (A0) cực kì đẹp mắt với hai chủ đề Rộn ràng lễ hội và Công viên giải trí là món quà dành tặng độc giả. Trò chơi tô màu m...",15900,Nhà Xuất Bản Kim Đồng,2015-10-29 00:00:00,71 x 104 cm,Bìa mềm,,,,,,,,,
22,Arty Mouse - Tô Màu (Học Tập Đầu Đời Thông Qua Mỹ Thuật),https://salt.tikicdn.com/cache/280x280/ts/product/42/87/9e/cc3f6bb39c63897bb850b655732b3431.jpg,Tô màu – luyện chữ,Mandy Stanley,"Việc vui chơi một cách sáng tạo là một phần quan trọng trong sự phát triển của con bạn. Do đó, hãy mang đến cho trẻ một sự khởi đầu thuận lợi với sự giúp đỡ của chuột Arty và những người bạn đầy màu s...",34600,Zenbooks,2020-12-01 00:00:00,21.6 x 28 cm,Bìa mềm,48,Nhà Xuất Bản Đà Nẵng,Nguyên Chính,,,,,,
23,Sách: Combo Chuẩn Bị Cho Bé Vào Lớp Một (Túi 10 Cuốn Tặng 1 Cây Viết Chì),https://salt.tikicdn.com/cache/280x280/ts/product/31/ec/35/3f7b728a4091f31fb3740eaa4f4467ae.jpg,Tô màu – luyện chữ,Lê Tuệ Minh - Lê Thu Ngọc,"Sách: Combo Chuẩn Bị Cho Bé Vào Lớp Một (Túi 10 Cuốn Tặng 1 Cây Viết Chì)Từ mẫu giáo lên tiểu học là bước tiến quan trọng để bé bước chân vào thế giới tri thức, cũng là một bước ngoặt lớn trong cuộc ...",82000,Minh Long,2017-06-01 20:57:29,,Bìa mềm,320,Nhà Xuất Bản Đại Học Sư Phạm,,Phiên bản thông thường,,,,,
24,Arty Mouse - Cắt Giấy (Học Tập Đầu Đời Thông Qua Mỹ Thuật),https://salt.tikicdn.com/cache/280x280/ts/product/eb/5f/d8/4a3fd9aae09468d6f9d9e90dd7309b04.jpg,Tô màu – luyện chữ,Mandy Stanley,"Việc vui chơi một cách sáng tạo là một phần quan trọng trong sự phát triển của con bạn. Do đó, hãy mang đến cho trẻ một sự khởi đầu thuận lợi với sự giúp đỡ của chuột Arty và những người bạn đầy màu s...",34700,Zenbooks,,21.6 x 28 cm,Bìa mềm,48,Nhà Xuất Bản Đà Nẵng,Nguyên Chính,,,,,,
25,200 Miếng Bóc Dán TM PT Chỉ Số Tình Cảm EQ T1 - Dành Cho Trẻ 2-10 Tuổi (Tái Bản 2018),https://salt.tikicdn.com/cache/280x280/ts/product/1d/a6/1e/35ce691c881d88a82987f1c2f640a79d.jpg,Tô màu – luyện chữ,"Cung Huân,Ngọc Linh","  200 Miếng Bóc Dán TM PT Chỉ Số Tình Cảm EQ T1 - Dành Cho Trẻ 2-10 Tuổi (Tái Bản 2018)  Đây là cuốn sách được tuyển chọn và những trò chơi dán hình, giúp cho đôi tay của các em thêm linh hoạt, ...",47100,Đinh Tị,,21 x 28.5 cm,Bìa mềm,,,,,,,,,
26,Sách - Vở bé Tập viết - Hành trang cho bé vào lớp một -  Combo 2 Quyển,https://salt.tikicdn.com/cache/280x280/ts/product/c4/a4/47/110a472521107235674aa4bef5b6a2f6.jpg,Tô màu – luyện chữ,Hải Yến,"GIỚI THIỆU SÁCHHành Trang Cho Bé Vào Lớp 1 là bộ sách giúp trẻ chuẩn bị những kiến thức, kỹ năng cơ bản trước khi bước vào lớp 1: tập viết, làm quen với toán. Hình vẽ minh họa sinh động, ngộ nghĩnh c...",21000,Công Ty TNHH Sách và Thiết Bị Giáo Dục ID,2020-03-01 01:47:34,,Bìa mềm,96,Nhà Xuất Bản Mỹ Thuật,,,,,,,
27,"Combo 06 Quyển Hành Trang Cho Bé Chuẩn Bị Vào Lớp 1 (Tập Tô, Viết, Học Toán)",https://salt.tikicdn.com/cache/280x280/ts/product/33/23/2d/8e45b532c3e562da528067c756a0238b.jpg,Tô màu – luyện chữ,Hải Thanh,"Bé học toán cho bé chuẩn bị vào lớp 1( độ tuổi 4-6 tuổi) Giúp bé tăng khả năng nhận thức câc con số, tính toán, nhận dạng hình họ️ Phương pháp học mà chơi chơi mà học️ Giúp bé nhận thức sớm về toán ...",13000,Công Ty TNHH Sách và Thiết Bị Giáo Dục ID,2020-04-01 22:28:55,,Bìa mềm,240,Nhà Xuất Bản Thanh Niên,,UNION,,,,,
28,Sách - Giúp Bé Vững Bước Vào Lớp 1 - Tập Viết Chữ Hoa (Chuẩn Nhà Xuất Bản),https://salt.tikicdn.com/cache/280x280/ts/product/65/a1/9a/fc2725df0764be7203bc176f64ab3607.jpg,Tô màu – luyện chữ,"Hải Yến,Vân Hương",GIỚI THIỆU SÁCHTập viết chữ hoa - Giúp Bé Tự Tin Vào Lớp 1 Được biên soạn theo chương trình giáo dục mầm non mới giới thiệu những kiến thức cơ bản về chữ số giúp các em học sinh mẫu giáo tự tin thích...,15000,Công Ty TNHH Sách và Thiết Bị Giáo Dục ID,2020-04-01 23:40:05,,Bìa mềm,51,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Phiên Bản Con Voi,,,,,
29,Bộ Sưu Tập 200 Sticker - Vương Quốc Khủng Long,https://salt.tikicdn.com/cache/280x280/ts/product/8c/1c/91/2cce20e75df679ca8ca9ecd96a5b4268.jpg,Tô màu – luyện chữ,Phan Minh Đạo,"Sau thành công từ các bộ sách trước, bộ sách ""200 STICKER"" là bộ sách tiếp theo thuộc TỦ SÁCH RÈN LUYỆN KỸ NĂNG CHO TRẺ TRƯỚC TUỔI ĐẾN TRƯỜNG"". Bộ sách được thiết kế đẹp mắt, sinh động. Các hình ảnh, ...",44200,Nhà sách Minh Thắng,2019-12-01 00:00:00,26x26cm,Bìa mềm,26,,,,,,,,
30,Arty Mouse - Vẽ Theo Mẫu (Học Tập Đầu Đời Thông Qua Mỹ Thuật),https://salt.tikicdn.com/cache/280x280/ts/product/41/01/4d/7e74e8579cd7172ee11d28ea1d55c5f3.jpg,Tô màu – luyện chữ,Mandy Stanley,"Việc vui chơi một cách sáng tạo là một phần quan trọng trong sự phát triển của con bạn. Do đó, hãy mang đến cho trẻ một sự khởi đầu thuận lợi với sự giúp đỡ của chuột Arty và những người bạn đầy màu s...",35000,Zenbooks,2020-12-01 00:00:00,21.6 x 28 cm,Bìa mềm,48,Nhà Xuất Bản Đà Nẵng,Nguyên Chính,,,,,,
31,Luyện Viết Chữ Lớp 2 - Tập 1 (Theo Chương Trình Giáo Dục Phổ Thông Mới),https://salt.tikicdn.com/cache/280x280/ts/product/12/be/21/f154f7eaadf5adaddac7c6c3ada897af.jpg,Tô màu – luyện chữ,Lê Phương Nga,Luyện Viết Chữ Lớp 2 - Tập 1 (Theo Chương Trình Giáo Dục Phổ Thông Mới)Xin trân trọng giới thiệu đến quí phụ huynh cùng các em học sinh lớp 2 các tập sách rất hữu ích sau đây để các em luyện viết đún...,28000,Nhà Sách Hồng Ân,,,Bìa mềm,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,,,
32,Combo Luyện Viết Chữ Nhớ Từ Vựng Tiếng Anh Theo Chương Trình Sách Giáo Khoa Lớp 5 – Tập 1 & 2,https://salt.tikicdn.com/cache/280x280/ts/product/21/4c/99/20f75bedbe9ebc2f8f282f219382c82a.jpg,Tô màu – luyện chữ,Runkids,"Luyện viết chữ nhớ từ vựng tiếng Anh theo chương trình Sách giáo khoa là bộ tập viết được biên soạn cho các bé học sinh từ lớp 3 – lớp 5, hỗ trợ các bé học hiệu quả, ghi nhớ nhanh từ vựng theo chương ...",56100,Megabook,2020-07-01 14:51:30,19 x 26 cm,Bìa mềm,,Nhà Xuất Bản Thanh Niên,,,,,,,
33,Nối Chấm - Tô Màu - Tập Đếm 05,https://salt.tikicdn.com/cache/280x280/ts/product/ba/78/06/839ec6a8e6ad7cf43db7c2347a2087ad.jpg,Tô màu – luyện chữ,Award,Tô màu không chỉ giúp bé giải trí mà còn là cách để giúp bé phát triển toàn diện. Tại sao chúng ta không thử kết hợp hoạt động tô màu với các con số nhỉ? Khi bé đã biết phân biệt màu sắc và nhận định ...,14450,NXB Trẻ,,,,,NXB Trẻ,,,,,,,
34,Tủ Sách Bách Khoa Tri Thức Phổ Thông: Những Câu Chuyện Kỳ Thú về Động Vật (Tái Bản),https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/h/nhung-cau-chuyen-ky-thu-ve-dong-vat.jpg,Tô màu – luyện chữ,Hoàng Lê Minh,Tủ Sách Bách Khoa Tri Thức Phổ Thông: Những Câu Chuyện Kỳ Thú về Động Vật (Tái Bản) Loài động vật nào có lưỡi dài bằng cơ thể nó? Cá voi thở như thế nào? Tại sao ngựa vằn lại có sọc? Những câu hỏi nà...,43200,Đinh Tị,2011-08-20 00:00:00,13 x 20.5 cm,Bìa mềm,304,,,,,,,,
35,Arty Mouse - Đồ Theo Nét (Học Tập Đầu Đời Thông Qua Mỹ Thuật),https://salt.tikicdn.com/cache/280x280/ts/product/67/ca/a5/98d75851e5dc4e35fb3b1ac5ba7f5618.jpg,Tô màu – luyện chữ,Mandy Stanley,"Việc vui chơi một cách sáng tạo là một phần quan trọng trong sự phát triển của con bạn. Do đó, hãy mang đến cho trẻ một sự khởi đầu thuận lợi với sự giúp đỡ của chuột Arty và những người bạn đầy màu s...",34900,Zenbooks,2020-12-01 00:00:00,21.6 x 28 cm,Bìa mềm,48,Nhà Xuất Bản Đà Nẵng,Nguyên Chính,,,,,,
36,Combo 3 Cuốn Cùng Khủng Long Học Nét Cơ Bản - Bé Trai,https://salt.tikicdn.com/cache/280x280/ts/product/68/2c/3e/66d90e87d02befde9884249cede75cef.jpg,Tô màu – luyện chữ,Runkids,"Cùng khủng long học các nét cơ bản là bộ sách dành cho trẻ từ 4- 6 tuổi, giúp các con luyện các nét cơ bản của số và chữ, để con tự tin vào lớp 1Bộ sách gồm 3 cuốn: Cùng khủng long học nét cơ bản –...",57000,Megabook,2019-05-01 00:00:00,19 x 27 cm,Bìa mềm,76,Nhà Xuất Bản Thanh Niên,,,,,,,
37,Toán Nâng Cao Và Bồi Dưỡng Học Sinh Giỏi Lớp 5 (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/d4/04/3a/ebee48087985971b0f18e74e7ebd4294.jpg,Tô màu – luyện chữ,"Nguyễn Bảo Minh,Lê Yến Ngọc","Nội dung cuốn sách được biên soạn theo chương trình giảm tải của Bộ GD & ĐT, bám sát chương trình. Cuốn sách hội tụ đầy đủ hệ thống bài tập nâng cao môn Toán. Các bậc phụ huynh và giáo viên có thể tha...",39000,Minh Long,2019-10-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,,Nhà Xuất Bản Đại Học Sư Phạm,,,,,,,
38,Bộ Sách Khởi Đầu Cho Bé Vào Lớp 1 - Dành Cho Bé Từ 4-6 Tuổi - Biên Soạn Theo Chương Trình Giáo Dục Mầm Non Mới (Bộ 9 Cuốn),https://salt.tikicdn.com/cache/280x280/ts/product/ab/92/6b/baaebbc6c31ae5edf2a2320ef58a45e6.jpg,Tô màu – luyện chữ,Ngọc Nguyên,"Bộ sách tập tô tập viết, dành cho các bé chuẩn bị bước vào lớp 1, với các kĩ năng cơ bản về tập tô nét, học đọc và học viết....",105000,Tân Việt,,,,,Nhà Xuất Bản Mỹ Thuật,,,,,,,
39,Sticker Dolly Dressing - Dán Hình Sáng Tạo Trang Phục Búp Bê - Tiên Nữ,https://salt.tikicdn.com/cache/280x280/ts/product/ae/21/66/12adf37abc94d8f07751bb923336d97e.jpg,Tô màu – luyện chữ,Fiona Watt,Bộ sách Dán hình sáng tạo trang phục búp bê giúp bé thỏa sức sáng tạo ra các tác phẩm tuyệt đẹp.  Các nàng búp bê qua đôi tay khéo léo cùng trí tưởng tượng phong phú của các bạn nhỏ sẽ dần được khoá...,47300,Đinh Tị,2021-01-01 00:00:00,17 x 24 cm,Bìa mềm,34,Nhà Xuất Bản Thanh Niên,"Tranh: Lizzie Mackay, Thiết kế: Antonia Miller-Biên dịch: Minh Trang",,,,,,
40,Sách - Tô Màu Nối Số Thông Minh - Chủ Đề Các Loại Hoa,https://salt.tikicdn.com/cache/280x280/ts/product/5f/a9/0a/51e8b37399e14d1152c9fe8c0c9bba12.jpg,Tô màu – luyện chữ,Thái Lý,Nhà xuất bản: NXB Hồng ĐứcTác giả: Thái LýLoại bìa: Bìa mềmSố trang: 15Kích Thước: 17 x 24-------------------------------------------GIỚI THIỆU SÁCHBộ sách có các chủ đề: Các loài hoa luôn nh...,15000,Công ty TNHH An Phước Books Việt Nam,,,Bìa mềm,15,Nhà Xuất Bản Hồng Đức,,,,,,,
41,Arty Mouse - Những Con Số (Sách Viết Và Xóa Được)(Học Tập Đầu Đời Thông Qua Mỹ Thuật),https://salt.tikicdn.com/cache/280x280/ts/product/2b/c8/3d/f657849562e281200e346e689cf44184.jpg,Tô màu – luyện chữ,Mandy Stanley,"Việc vui chơi một cách sáng tạo là một phần quan trọng trong sự phát triển của con bạn. Do đó, hãy mang đến cho trẻ một sự khởi đầu thuận lợi với sự giúp đỡ của chuột Arty và những người bạn đầy màu s...",34600,Zenbooks,,21.6 x 28 cm,Bìa mềm,24,Nhà Xuất Bản Đà Nẵng,Nguyên Chính,,,,,,
