,loại sản phẩm,nhà xuất bản,phiên bản,nội dung tóm tắt,ngày xuất bản,tác giả,loại bìa,dịch giả,giá bìa,ảnh bìa,dịch giả.1,tên sách,công ty phát hành,nhà xuất bản.1,thể loại,kích thước,nhà phát hành,số trang
10,,NXB Trẻ,,"Dinh dưỡng là một đề tài rối rắm . Không chỉ là chuyện ăn, nó còn gắn liền với khoa học, văn hóa, truyền thống, sức khỏe, cảm giác được chăm sóc, sự no ấm, sự hạnh phúc... Chính vì phức tạp nên nó dễ bị...",2019-01-01 00:00:00,Nhiều Tác Giả,Bìa mềm,,348500.0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/47/10/01e1897e55c9cc1bbc2d39a94ee11c5c.jpg,,Combo Ăn Gì Cho Không Độc Hại Và Ăn Gì Không Chết (2 Cuốn),NXB Trẻ,NXB Trẻ,Chăm sóc sức khỏe ,14 x 20 cm,,
11,,Nhà Xuất Bản Thông Tin Và Truyền Thông,2021," ""Cuốn Sách The China Study - Bí mật dinh dưỡng cho sức khỏe toàn diện"" dựa trên dự án China - Cornell - Oxford, một nghiên cứu 20 năm được The New York Times mô tả là ""Grand Prix of epidemiology"" - ...",2021-04-02 07:00:00,J. Collins,Bìa mềm,Lương Ngân,290000.0,https://salt.tikicdn.com/cache/280x280/ts/product/4e/9c/f5/d308ee281fd9428409632b6c66aeda6d.jpg,Lương Ngân,BÍ MẬT DINH DƯỠNG CHO SỨC KHỎE TOÀN DIỆN 2021,Tinh Hoa,Nhà Xuất Bản Thông Tin Và Truyền Thông,Chăm sóc sức khỏe ,,,
12,,Nhà Xuất Bản Thế Giới,Bìa mềm,"Cẩm Nang Hướng Dẫn Tẩy Sỏi Gan MậtHầu hết mọi người cho rằng sỏi mật chỉ có trong túi mật. Đây là nhận thức phổ biến, nhưng sai lầm. Thực ra phần lớn sỏi mật được hình thành ở gan, chỉ có một số được...",2020-09-29 22:34:58,"Nguyễn Hải,Trần Bích Hà,Andreas Moritz",Bìa mềm,Nhiều dịch giả,264880.0,https://salt.tikicdn.com/cache/280x280/ts/product/4f/ee/77/7162a1c41d97deffbf1b25051e59e616.jpg,Nhiều dịch giả,Bộ 2 cuốn Cẩm Nang Hướng Dẫn Tẩy Sỏi Gan Mật + Hướng Dẫn Thải Độc Và Chế Độ Ăn Uống THB,Thái Hà,Nhà Xuất Bản Thế Giới,Chăm sóc sức khỏe ,,,440.0
13,,Nhà Xuất Bản Dân Trí,,"Luôn tồn tại hàng trăm lý thuyết về cách thức và lý do tại sao con người già đi, và với cuốn Chế độ ăn Trường thọ, Tiến sĩ Valter Longo đã giới thiệu một phương thức mới để kiểm soát sự lão hóa này.Đ...",2021-01-01 00:00:00,Valter Longo,Bìa mềm,Nguyễn Khánh Chi,101100.0,https://salt.tikicdn.com/cache/280x280/ts/product/f3/cd/05/3d53e0bf070fae3114222c91a8174b59.jpg,Nguyễn Khánh Chi,Chế Độ Ăn Trường Thọ,Alphabooks,Nhà Xuất Bản Dân Trí,Chăm sóc sức khỏe ,15 x 23 cm,,300.0
14,,Nhà Xuất Bản Phụ Nữ Việt Nam,,"GIỚI THIỆU NỘI DUNGTrong cuộc sống mưu sinh tất bật hằng ngày và trong vòng quay của điểm số, thi cử, chọn trường chọn lớp cho con, có bao nhiêu cha mẹ từng tự mình đặt ra câu hỏi: “Rốt cuộc, mình mu...",,,Bìa mềm,,75650.0,https://salt.tikicdn.com/cache/280x280/ts/product/74/de/ed/913aa1c420f52590570940efc1358f69.jpg,,Đừng ép con phải ngoan,Quảng Văn,Nhà Xuất Bản Phụ Nữ Việt Nam,Chăm sóc sức khỏe ,,,192.0
15,,Nhà Xuất Bản Thế Giới,,"       "" Eat Clean - Ăn Sạch Sống Khỏe ""   Tên tác giả: Emma Phạm   Thương hiệu: I Love Cook Books   Khổ sách: 17x24cm   Số trang: 224 trang   Nhà xuất bản: Thế Giới   Giá: 179.000đồng   bá...",,Emma Phạm,,,138000.0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/66/7b/77d569b06a5fe56a2996005527051738.jpg,,Sách -  Eat Clean - Ăn Sạch Sống Khỏe,I love Cookbook,Nhà Xuất Bản Thế Giới,Chăm sóc sức khỏe ,,,224.0
16,,,,Mặt Nạ Dưỡng Da Dành Cho Phái Đẹp...,2014-07-31 00:00:00,Anh Chi,Bìa mềm,,45900.0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/m/a/mat-na-duong-da.jpg,,Mặt Nạ Dưỡng Da Dành Cho Phái Đẹp,NXB Phụ Nữ Việt Nam,,Chăm sóc sức khỏe ,17 x 18 cm,,107.0
17,,Nhiều Nhà Xuất Bản,,1.Cơ Thể Tự Chữa Lành: Thực Phẩm Thay Đổi Cuộc SốngCơ thể tự chữa lành: Thực phẩm thay đổi cuộc sống - Thần dược đến từ trái cây và rau củ giúp chúng ta tăng nhận thức và có cái nhìn mới về những loạ...,,,,,480500.0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/e8/99/e28bc7ac6ad87373603afcf7e7966b18.jpg,,Combo kiến thức sức khỏe nấu ăn: Cơ Thể Tự Chữa Lành: Thực Phẩm Thay Đổi Cuộc Sống + Khoa Học Về Nấu Ăn - The Science Of Cooking,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,Chăm sóc sức khỏe ,,,
18,,,,"Từ 100 cân đến 100 điểm – 6 bước giảm cân hiệu quả là cách gọi ấn tượng của “Mục tiêu 100”, là quá trình biến hành trình giảm cân thành con đường thú vị để xây dựng một lối sống lành mạnh bền vững, kh...",2018-10-26 10:40:20,,Bìa mềm,,82100.0,https://salt.tikicdn.com/cache/280x280/ts/product/30/ca/40/7cc5cb7791681a6156cf4a951c0acce7.jpg,,Từ 100 Cân Đến 100 Điểm,Saigon Books,,Chăm sóc sức khỏe ,16 x 24cm,,303.0
19,,,,"Đi bộ kết hợp vỗ tay và thở đúng cách là mội loại công pháp đơn giản nhất, hiệu quả trị bệnh nhanh nhất, một loại khí công đáng được phát triển rộng rãi trong toàn dân.     Quyển sách Đi bộ - vỗ tay v...",2009-07-10 00:00:00,Nguyễn Khắc Khoái,Bìa mềm,,24000.0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/d/i/di-bo-vo-tay-voi-suc-khoe.jpg,,Đi Bộ - Vỗ Tay Với Sức Khỏe,NXB Tổng Hợp,,Chăm sóc sức khỏe ,14 x 21 cm,,176.0
20,,,,"“Chúng ta sống mỗi ngày của cuộc đời mình bằng cách ngồi trước máy tính, ngồi trong lớp, ngồi xem phim, ngồi trong xe hơi, ngồi trong các cuộc họp, ngồi trên ghế sofa xem truyền hình hoặc chơi trò chơ...",2019-01-01 00:00:00,Dale Bredesen,Bìa mềm,Trần Nguyễn Thanh Hương,196800.0,https://salt.tikicdn.com/cache/280x280/ts/product/2a/f2/a8/9976910310efe280f0768a5a1d2caa79.jpg,Trần Nguyễn Thanh Hương,Tạm Biệt Alzheimer,Saigon Books,,Chăm sóc sức khỏe ,16 x 24 cm,,336.0
21,,Nhà Xuất Bản Lao Động,,"Combo Nấu Ăn Khoa Học và An Toàn Cho Sức Khỏe: Dinh Dưỡng Xanh + Khởi Sự Ăn Chay (hãy bảo vệ sức khỏe gia đình và bản thân)Dinh Dưỡng XanhTrong hơn 35 năm hành nghề bác sĩ tâm thần học, tôi đã học đ...",,,Bìa mềm,,203500.0,https://salt.tikicdn.com/cache/280x280/ts/product/30/8e/d1/fa1d0b0a70f04cf757693632878264ab.jpg,,Combo Nấu Ăn Khoa Học và An Toàn Cho Sức Khỏe: Dinh Dưỡng Xanh + Khởi Sự Ăn Chay (hãy bảo vệ sức khỏe gia đình và bản thân),Thái Hà,Nhà Xuất Bản Lao Động,Chăm sóc sức khỏe ,,,
22,,Nhà Xuất Bản Lao Động,,"“Hãy nhanh chóng lấy lại vóc dáng của bạn sau khi sinh em bé đi!”. Có phải đó là những gì chúng ta thường được nghe từ các bà mẹ khác, những gì chúng ta chứng kiến trên truyền thông – những hình ảnh h...",,Kimberly Ann Johnson,Bìa mềm,Thủy Hương,103900.0,https://salt.tikicdn.com/cache/280x280/ts/product/52/d7/28/ed687a0f6a91bf6123f0e4d836f919a9.jpg,Thủy Hương,Suối Nguồn Tươi Trẻ Cho Mẹ Sau Sinh,Thái Hà,Nhà Xuất Bản Lao Động,Chăm sóc sức khỏe ,15.5 x 23 cm,,348.0
23,,,,"Combo Sách Dưỡng Da: Thánh Kinh Dưỡng Da + Tự Làm Mỹ Phẩm (Tặng Kèm Bookmark Happy Life) là những cuốn sách tuyệt vời dành cho làn da của bạn. Sách cung cấp cho bạn những kiến thức dưỡng da từ gốc rễ,...",,"Anh Thư - Thu Giang,Chizu Saeki",Bìa mềm,,203000.0,https://salt.tikicdn.com/cache/280x280/ts/product/0b/55/21/7f68e230b018630c6d193acc917eeac7.jpg,,Combo Sách Dưỡng Da: Thánh Kinh Dưỡng Da + Tự Làm Mỹ Phẩm (Tặng Kèm Bookmark Happy Life),Nhiều công ty phát hành,,Chăm sóc sức khỏe ,,,
24,,Nhà Xuất Bản Kim Đồng,,"Mối quan hệ giữa bàn chân và vận mệnh theo quan niệm của người Nhật!Bạn có biết, mọi “suy nghĩ” và “kí ức” của chúng ta đều được khắc ghi trên bàn chân? Với góc nhìn và cách tiếp cận mới mẻ, cuốn sá...",,Saori Ichino,Bìa mềm,,51000.0,https://salt.tikicdn.com/cache/280x280/ts/product/92/3f/c0/4afa6aa0d8a42372de74d2152d5c1e71.jpg,,Thông Điệp Của Bàn Chân - Tiết Lộ Bất Ngờ Về Cuộc Sống,Wings Books,Nhà Xuất Bản Kim Đồng,Chăm sóc sức khỏe ,14.5 x 20.5 cm,,132.0
25,,Nhà Xuất Bản Phụ Nữ,,"Ăn Uống Thông Minh (Tái Bản)Khi mức sống ngày càng được cải thiện thì cách ăn uống của người dân cũng có nhiều thay đổi. Nhịp sống hiện đại khiến chúng ta luôn bị áp lực thời gian đè nặng, vì vậy cứ q...",2021-03-15 00:00:00,"Lisa Hark,Dr. Darwin Deen",Bìa mềm,Nguyễn Mai Trung+Nguyễn Văn Tú (hiệu đính),65800.0,https://salt.tikicdn.com/cache/280x280/ts/product/37/35/a7/fb5b29c4e46007d6012d5f484627188d.jpg,Nguyễn Mai Trung+Nguyễn Văn Tú (hiệu đính),Ăn Uống Thông Minh (Tái Bản),First News - Trí Việt,Nhà Xuất Bản Phụ Nữ,Chăm sóc sức khỏe ,14.5 x 20.5 cm,,112.0
26,,Nhà Xuất Bản Quân Đội Nhân Dân,,"Ăn Uống Và Dinh Dưỡng Trong Gia Đình Hiện ĐạiTrong ăn uống, cần phải có đủ những hiểu biết cần thiết. Ăn uống khoa học cần phải có những kiến thức nhất định về dinh dưỡng. Bộ sách chuyên đề về dinh d...",2020-03-09 10:20:42,Nguyễn Văn Đức - Ngô Quang Thái,Bìa mềm,,45500.0,https://salt.tikicdn.com/cache/280x280/ts/product/17/69/25/ced3512d1221fa36d6208947b0a9ad3c.jpg,,Ăn Uống Và Dinh Dưỡng Trong Gia Đình Hiện Đại,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,Nhà Xuất Bản Quân Đội Nhân Dân,Chăm sóc sức khỏe ,,,188.0
27,,Nhà Xuất Bản Thanh Niên,,Dinh Dưỡng Xanh Sống Khỏe MạnhUng thư không phải án tử. Nếu so sánh việc điều trị ung thư với con thuyền hướng ra biển lớn thì phương pháp thực dưỡng giống như một sự gia cố để giúp tàu trở nên chắc ...,,"Watayou Takaho,Shizawa Hiroshi",Bìa mềm,Bo Virgo,90200.0,https://salt.tikicdn.com/cache/280x280/ts/product/22/c8/3d/75051c79d8668d194650c6c7b1888d00.jpg,Bo Virgo,Dinh Dưỡng Xanh Sống Khỏe Mạnh,Booklife,Nhà Xuất Bản Thanh Niên,Chăm sóc sức khỏe ,13 x 19 cm,,300.0
28,,,,"Dưỡng sinh trong đời sống hằng ngày LỜI NÓI ĐẦU Theo tôi nghĩ, không một ai có thể hoàn tất được việc gì gọi là quan trọng nếu mình không có được một dạ dày thật tốt, và nếu không ăn được bất cứ món g...",,George Ohsawa,Bìa mềm,Tôn Thất Hanh,40500.0,https://salt.tikicdn.com/cache/280x280/ts/product/8d/ad/69/62e5dce023178155f7e6af61a2df0729.jpg,Tôn Thất Hanh,Dưỡng Sinh Trong Đời Sống Hằng Ngày,Công ty TNHH Văn Hóa Khai Tâm,,Chăm sóc sức khỏe ,13.5 x 20.5,,132.0
29,,,,"Sách Chăm Sóc Sức Khỏe - Sức Khỏe Trong Tay BạnMột cuốn sách với rất nhiều phương pháp chăm sóc sức khỏe, phòng chữa bệnh theo cách tự nhiên, mà tác giả cuốn sách đã tự mình tìm tòi, trải nghiệm, áp ...",2018-01-20 16:11:29,Trần Bích Hà,Bìa mềm,,74500.0,https://salt.tikicdn.com/cache/280x280/ts/product/dc/66/75/76842cd83c9ef805a99164b9a2f866f2.jpg,,Sức Khỏe Trong Tay Bạn,Công Ty TNHH TM - DV Chính Thông,,Chăm sóc sức khỏe ,"15,5 x 24cm",,232.0
30,,,,Những Biểu Hiện Của Cơ Thể Tất cả chúng ta đều để ý đến những tình trạng dường như bất thường của cơ thể. Nhưng khi nào thì những bất thường này vô hại và khi nào thì chúng ta cần được bác sĩ tư vấn ...,2015-01-10 00:00:00,"Joan Liebmann - Smith, Jacqueline Nardi Egan",Bìa mềm,,107200.0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img991_6.jpg,,Những Biểu Hiện Của Cơ Thể,Nhân Trí Việt,,Chăm sóc sức khỏe ,15 x 23 cm,,364.0
31,,,,Những Phương Thức Phục Hồi Sức Khỏe Theo Tự NhiênĐây là những trang sách và các phương pháp giảng dạy đã được thử thách bằng thời gian.Đây là những nghiên cứu của những đại diện kiệt xuất của nền y ...,,"Nishi Katsuzo,Trần Bích Hà",,,138700.0,https://salt.tikicdn.com/cache/280x280/ts/product/07/46/85/b9d6c2c7efdb66acb7c4d2f8497b4ee6.jpg,,Combo Sách Chăm Sóc Sức Khỏe Những Phương Thức Phục Hồi Sức Khỏe Theo Tự Nhiên (Tái Bản) + Sức Khỏe Trong Tay Bạn,Thái Hà,,Chăm sóc sức khỏe ,16x24x3,,512.0
32,,Nhà Xuất Bản Hồng Đức,,"Sách trình bày đặc điểm sinh lý của các thời kỳ của lứa tuổi thiếu nhi từ 1 tuổi đến 12 tuổi, đặc điểm phát triển các hệ thống của thiếu nhi, 5 tố chất dinh dưỡng chủ yếu, điều tiết ẩm thực và bảo vệ ...",2021-04-02 09:17:53,,Bìa mềm,,37700.0,https://salt.tikicdn.com/cache/280x280/ts/product/c9/d0/a3/32834e08dd8dfd78fd555f8611f42b96.jpg,,Ăn Sạch Sống Khỏe - Thiếu Nhi,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,Nhà Xuất Bản Hồng Đức,Chăm sóc sức khỏe ,,,144.0
33,,Nhà Xuất Bản Đồng Nai,Xuất bản lần đầu,Đây là cẩm nang dự phòng và điều trị thoát vị đĩa đệm và các bệnh lý cột sống. Cuốn sách mang đến những thông tin hữu ích và “bất ngờ” giúp cho mọi người có thêm kiến thức để phòng bệnh cũng như đưa r...,2020-05-15 00:00:00,,Bìa mềm,,100000.0,https://salt.tikicdn.com/cache/280x280/ts/product/89/cb/4c/5956c86f541b472b84d9cbde1643380c.jpeg,,Hỏi Đáp Thoát Vị Đĩa Đệm Cột Sống,NXB Đồng Nai,Nhà Xuất Bản Đồng Nai,Chăm sóc sức khỏe ,,,186.0
34,,,,Phụ Nữ & Mẹo Vặt Trong Gia Đình Phụ Nữ & Mẹo Vặt Trong Gia Đình có tầm quan trọng không nhỏ trong công việc nội trợ của phụ nữ chúng ta ngày nay. Mẹo vặt trong gia đình thường là những bí quy...,2014-09-28 00:00:00,Mai Phương (sưu tầm & biên soạn),Bìa mềm,,15000.0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img590.u547.d20160908.t095711.154610.jpg,,Phụ Nữ & Mẹo Vặt Trong Gia Đình,Công Ty TNHH TM - DV Chính Thông,,Chăm sóc sức khỏe ,13 x 19 cm ,,141.0
35,,,,"Chẩn Đoán Bệnh Qua Mặt Và Tay Chẩn bệnh qua mặt và tay theo Đông y đã có lịch sử từ rất lâu đời, là sự tích lũy kinh nghiệm quý giá trong lĩnh vực chẩn đoán bệnh tật suốt hàng ngàn năm nay của các th...",2017-08-01 00:00:00,Dương Ngọc Đan,Bìa mềm,,75400.0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/7/-/7-chandoanbenhquamatvatay.u5567.d20170906.t142021.879780.jpg,,Chẩn Đoán Bệnh Qua Mặt Và Tay,Huy Hoàng Bookstore,,Chăm sóc sức khỏe ,16 x 24 cm,,271.0
36,,Nhà Xuất Bản Phụ Nữ Việt Nam,,"Maria Rodale từng là Giám đốc điều hành và Chủ tịch của Rodale Inc., một nhà xuất bản Mỹ chuyên in ấn sách, tạp chí về sức khỏe, môi trường và phong cách sống lành mạnh. Bà từng nhận một số giải thưởn...",,,Bìa mềm,Maria Rodale,212000.0,https://salt.tikicdn.com/cache/280x280/ts/product/af/61/e0/b89416a2341dc963033d37962ef41af7.png,Maria Rodale,"Chọn Sức Khỏe, Chọn Organic",CÔNG TY TNHH PHAN LỆ & FRIENDS,Nhà Xuất Bản Phụ Nữ Việt Nam,Chăm sóc sức khỏe ,,,314.0
37,,,,"Bí Quyết Sống Vui, Sống Khỏe Tươi Trẻ Mỗi Ngày Nội dung cuốn sách bao gồm những phần chính sau: Phần thứ nhất. BÍ QUYẾT VÀ THÓI QUEN ĐƠN GIẢN  SỐNG VUI, SỐNG KHỎE, TƯƠI TRẺ MỖI NGÀY; Phần thứ hai. ...",2016-04-11 00:00:00,Nhóm tác giả,Bìa mềm,,250000.0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bi-quyet.u335.d20160520.t092915.jpg,,"Bí Quyết Sống Vui, Sống Khỏe Tươi Trẻ Mỗi Ngày",Nhà sách Lao Động,,Chăm sóc sức khỏe ,19 x 27 cm,,382.0
38,,,,Truyện Vui Chọn Lọc - Ba Giai Tú Xuất Và Thủ Thiệm Cuốn sách Truyện Vui Chọn Lọc - Ba Giai Tú Xuất Và Thủ Thiệm bao gồm các nội dung chính sau: - Ba Giai Tú Xuất - Truyện Thủ Thiệm Trích đoạn Nhữ...,2012-03-30 00:00:00,Đức Bốn - Kỳ Duyên,Bìa mềm,,15000.0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img990.u2487.d20160913.t091905.131572.jpg,,Truyện Vui Chọn Lọc - Ba Giai Tú Xuất Và Thủ Thiệm,Công Ty TNHH TM - DV Chính Thông,,Chăm sóc sức khỏe ,13 x 19 cm,,142.0
39,,Nhà Xuất Bản Thế Giới,,"KHOA HỌC VỀ NẤU ĂN - THE SCIENCE OF COOKINGNắm bắt các kiến thức khoa học và nấu ăn như một đầu bếp thực thụ!Cùng tìm hiểu xem tại sao ướp thịt qua đêm là không cần thiết, ngâm nước các loại gia vị ...",,,Bìa cứng,,589500.0,https://salt.tikicdn.com/cache/280x280/ts/product/f1/ed/99/05f1ae38892df58938d44481a399bdf5.jpg,,Combo Sách - Khoa Học Về Nấu Ăn + Khoa Học Về Yoga,Nhã Nam,Nhà Xuất Bản Thế Giới,Chăm sóc sức khỏe ,,,
40,,Nhà Xuất Bản Thế Giới,,"Ung Thư Không Phải Là Bệnh, Mà Là Cơ Chế Chữa LànhNhững gì bạn sắp đọc có thể sẽ làm lung lay, thậm chí làm sụp đổ, nền tảng niềm tin của bạn về cơ thể, sức khỏe và việc chữa bệnh. Nhan đề Ung thư kh...",,Nhiều Tác Giả,Bìa mềm,,271500.0,https://salt.tikicdn.com/cache/280x280/ts/product/e4/29/66/3350e3a06290ce4dc6851211ab523d42.jpg,,"Ung Thư Không Phải Là Bệnh, Mà Là Cơ Chế Chữa Lành + Ung Thư - Sự Thật, Hư Cấu, Gian Lận Và Những Phương Pháp Chữa Lành Không Độc Hại",Thái Hà,Nhà Xuất Bản Thế Giới,Chăm sóc sức khỏe ,,,
41,,,,"Theo dõi qua phương tiện truyền thông ít nhiều chúng ta đã biết về Alzeimer – bệnh mất trí nhớ ở người. Làm thế nào để xác định thủ phạm, nguyên nhân gây mất trí nhớ ở bệnh nhân Alzeimer; cách luyện t...",2019-01-04 00:00:00,Nhiều Tác Giả,Bìa mềm,,31000.0,https://salt.tikicdn.com/cache/280x280/ts/product/a3/78/fd/437c79f981c648cb87532ea7e1d77bb1.jpg,,Bác Sĩ Tốt Nhất Là Chính Mình 05: Bệnh Alzheimer (Tái bản 2019),NXB Trẻ,,Chăm sóc sức khỏe ,14 x 20 cm,,124.0
