,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
11,30 Ngày Biết Đệm Guitar,https://salt.tikicdn.com/cache/280x280/ts/product/7a/a1/a9/1b6f3832ab9f0ad4bd1af107aeee9524.jpg,Âm nhạc,"Gồm 30 ngày học được biên soạn theo trình độ từ dễ đến khó với phương pháp diễn giải tỉ mỉ và khoa học. Qua những ca khúc quen thuộc được nhiều người yêu thích, Quyển sách từng bước hướng dẫn học viên...",76500.0,19 x 27 cm,187.0,Song Minh,,,,,30 Ngày Biết Đệm Guitar,https://salt.tikicdn.com/cache/280x280/ts/product/7a/a1/a9/1b6f3832ab9f0ad4bd1af107aeee9524.jpg,Âm nhạc,Song Minh,"Gồm 30 ngày học được biên soạn theo trình độ từ dễ đến khó với phương pháp diễn giải tỉ mỉ và khoa học. Qua những ca khúc quen thuộc được nhiều người yêu thích, Quyển sách từng bước hướng dẫn học viên...",76500.0,Huy Hoàng Bookstore,2020-11-01 00:00:00,Bìa mềm,187.0,Nhà Xuất Bản Dân Trí,19 x 27 cm,,
12,1000 Hợp Âm Cho Đàn Organ Và Piano (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/1e/aa/9d/5d060cdc91deaad03f95a45a7550f73b.jpg,Âm nhạc,"1000 hợp âm cho đàn Organ và Piano sẽ có ích với các bạn, vì nó chứa 1000 thế bấm các hợp âm thường dùng nhất cho đàn organ, piano, cũng như bất kỳ nhạc cụ nào khác trên thế giới có phím đen và phím t...",64600.0,19 x 27 cm,112.0,"Patrick Moulou,Art Mickaelian",,,,,1000 Hợp Âm Cho Đàn Organ Và Piano (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/1e/aa/9d/5d060cdc91deaad03f95a45a7550f73b.jpg,Âm nhạc,"Patrick Moulou,Art Mickaelian","1000 hợp âm cho đàn Organ và Piano sẽ có ích với các bạn, vì nó chứa 1000 thế bấm các hợp âm thường dùng nhất cho đàn organ, piano, cũng như bất kỳ nhạc cụ nào khác trên thế giới có phím đen và phím t...",64600.0,VanLangBooks,2021-01-01 00:00:00,Bìa mềm,112.0,Nhà Xuất Bản Thanh Hóa,19 x 27 cm,Thiên Kim,
13,45 Ngày Biết Đệm Đàn Guitar (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/b1/60/e2/e91dc8240441d6b75a39aa134cb9d0a4.jpg,Âm nhạc,Gồm 45 bài học được biên soạn theo trình độ từ dễ đến khó với phương pháp diễn giải tỉ mỉ và khoa học....,79900.0,20.5 x 29.5 cm,187.0,Song Minh,,,,,45 Ngày Biết Đệm Đàn Guitar (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/b1/60/e2/e91dc8240441d6b75a39aa134cb9d0a4.jpg,Âm nhạc,Song Minh,Gồm 45 bài học được biên soạn theo trình độ từ dễ đến khó với phương pháp diễn giải tỉ mỉ và khoa học....,79900.0,Huy Hoàng Bookstore,2021-01-01 00:00:00,Bìa mềm,187.0,Nhà Xuất Bản Dân Trí,20.5 x 29.5 cm,,
14,Phương Pháp Học Đàn Organ Dành Cho Thiếu Nhi,https://salt.tikicdn.com/cache/280x280/ts/product/79/63/6f/68479f842f9a98b5b2dfa8dd9df45fd7.jpg,Âm nhạc,Phương Pháp Học Đàn Organ Dành Cho Thiếu Nhi...,36000.0,,,Nguyễn Hạnh,,,,,Phương Pháp Học Đàn Organ Dành Cho Thiếu Nhi,https://salt.tikicdn.com/cache/280x280/ts/product/79/63/6f/68479f842f9a98b5b2dfa8dd9df45fd7.jpg,Âm nhạc,Nguyễn Hạnh,Phương Pháp Học Đàn Organ Dành Cho Thiếu Nhi...,36000.0,NS Hiền Phương,,,,Nhà Xuất Bản Thanh Niên,,,
15,Tuyển Tập Tiểu Phẩm Piano Măng Non Phần 1 ,https://salt.tikicdn.com/cache/280x280/ts/product/27/73/b3/4c83cc06a63de1dd51bbe5acb58cf2e4.jpg,Âm nhạc,"Tuyển Tập Tiểu Phẩm Piano Măng Non Phần 1Bộ sách (2 phần) gồm những bài tập dành cho những lứa tuổi mầm non, tiểu học nói riêng và những người học mới piano nói chung. Các bài hát trong sách chủ yếu ...",73000.0,"20.5 x 29.5 cm
",,Song Minh,,,,,Tuyển Tập Tiểu Phẩm Piano Măng Non Phần 1 ,https://salt.tikicdn.com/cache/280x280/ts/product/27/73/b3/4c83cc06a63de1dd51bbe5acb58cf2e4.jpg,Âm nhạc,Song Minh,"Tuyển Tập Tiểu Phẩm Piano Măng Non Phần 1Bộ sách (2 phần) gồm những bài tập dành cho những lứa tuổi mầm non, tiểu học nói riêng và những người học mới piano nói chung. Các bài hát trong sách chủ yếu ...",73000.0,Huy Hoàng Bookstore,2017-10-18 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,"20.5 x 29.5 cm
",,
16,Dẫn Luận Về Âm Nhạc,https://salt.tikicdn.com/cache/280x280/media/catalog/product/a/m/am_nhac.jpg,Âm nhạc,"Dẫn Luận Về Âm Nhạc “Dẫn luận về âm nhạc là cuốn sách hết sức thấu đáo trong ý tưởng, sinh động và gọn gàng trong hình thức, hợp lý và hiện đại trong bố cục, hoàn hảo để trở thành một thứ bạn có thể ...",53600.0,,,Nicholas Cook,,,,,Dẫn Luận Về Âm Nhạc,https://salt.tikicdn.com/cache/280x280/media/catalog/product/a/m/am_nhac.jpg,Âm nhạc,Nicholas Cook,"Dẫn Luận Về Âm Nhạc “Dẫn luận về âm nhạc là cuốn sách hết sức thấu đáo trong ý tưởng, sinh động và gọn gàng trong hình thức, hợp lý và hiện đại trong bố cục, hoàn hảo để trở thành một thứ bạn có thể ...",53600.0,VanLangBooks,2016-03-16 00:00:00,Bìa mềm,,,,,
17,Combo 2 cuốn Tuyển Tập Piano Cổ Điển - Lãng Mạn Được Yêu Thích,https://salt.tikicdn.com/cache/280x280/ts/product/1e/75/eb/7471914469afffc702fbf6cb29f3d379.jpeg,Âm nhạc,Kèm file Audio âm thanh tất cả các tác phẩm trong sáchCó thể luyện tập trên đàn OrganBộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm n...,199000.0,,,"Ths. Cù Minh Nhật,Ths. Đặng Thái Sơn",,,,,Combo 2 cuốn Tuyển Tập Piano Cổ Điển - Lãng Mạn Được Yêu Thích,https://salt.tikicdn.com/cache/280x280/ts/product/1e/75/eb/7471914469afffc702fbf6cb29f3d379.jpeg,Âm nhạc,"Ths. Cù Minh Nhật,Ths. Đặng Thái Sơn",Kèm file Audio âm thanh tất cả các tác phẩm trong sáchCó thể luyện tập trên đàn OrganBộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm n...,199000.0,Huy Hoàng Bookstore,,Bìa mềm,,Nhà Xuất Bản Dân Trí,,,
18,BTS Phá Vỡ Mọi Giới Hạn,https://salt.tikicdn.com/cache/280x280/ts/product/66/7c/d8/7c0f88a0838a2750f167ff33ab7295b2.jpg,Âm nhạc,"Từ một nhóm nhạc thần tượng “thìa đất” lúc mới ra mắt, hiện nay BTS đã biến hóa thành một “hiện tượng toàn cầu” với tầm ảnh hưởng trên mạng xã hội ngày càng mở rộng. Các hoạt động của BTS phá vỡ những...",86900.0,13 x 19 cm,240.0,Kim Sung Chul,,,,,BTS Phá Vỡ Mọi Giới Hạn,https://salt.tikicdn.com/cache/280x280/ts/product/66/7c/d8/7c0f88a0838a2750f167ff33ab7295b2.jpg,Âm nhạc,Kim Sung Chul,"Từ một nhóm nhạc thần tượng “thìa đất” lúc mới ra mắt, hiện nay BTS đã biến hóa thành một “hiện tượng toàn cầu” với tầm ảnh hưởng trên mạng xã hội ngày càng mở rộng. Các hoạt động của BTS phá vỡ những...",86900.0,Shinebooks,,Bìa mềm,240.0,Nhà Xuất Bản Dân Trí,13 x 19 cm,Minh Thùy,
19,36 Ngày Biết Đệm Guitar (Kèm CD),https://salt.tikicdn.com/cache/280x280/media/catalog/product/7/1/716.u5505.d20170726.t152630.688984.jpg,Âm nhạc,"36 Ngày Biết Đệm Guitar (Kèm CD) Là một trong số ba cuốn sách dạy đệm guitar ở trình độ cơ bản. Cùng với “30 ngày biết đệm guitar” và “45 ngày biết đệm guitar”, cuốn sách này sẽ góp thêm kiến thức, k...",66300.0,,167.0,Song Minh,,,,,36 Ngày Biết Đệm Guitar (Kèm CD),https://salt.tikicdn.com/cache/280x280/media/catalog/product/7/1/716.u5505.d20170726.t152630.688984.jpg,Âm nhạc,Song Minh,"36 Ngày Biết Đệm Guitar (Kèm CD) Là một trong số ba cuốn sách dạy đệm guitar ở trình độ cơ bản. Cùng với “30 ngày biết đệm guitar” và “45 ngày biết đệm guitar”, cuốn sách này sẽ góp thêm kiến thức, k...",66300.0,Phương Nam,2017-07-17 00:00:00,Bìa mềm,167.0,,,,
20,Phương Pháp Chơi Đàn Guitar Lead (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/54/5d/86/9e275ba0b14651748c8ac9bd2571c21f.jpg,Âm nhạc,Bạn muốn tự học guitar lead nhưng gặp khó khăn?Bạn đang tìm kiếm một phương pháp hiệu quả để học các kỹ thuật guitar?Bạn muốn chơi solo một cách tự tin và làm cho khán giả phải trầm trồ thán phục?P...,44200.0,19 x 27 cm,80.0,Gary Turner,,,,,Phương Pháp Chơi Đàn Guitar Lead (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/54/5d/86/9e275ba0b14651748c8ac9bd2571c21f.jpg,Âm nhạc,Gary Turner,Bạn muốn tự học guitar lead nhưng gặp khó khăn?Bạn đang tìm kiếm một phương pháp hiệu quả để học các kỹ thuật guitar?Bạn muốn chơi solo một cách tự tin và làm cho khán giả phải trầm trồ thán phục?P...,44200.0,VanLangBooks,2020-01-02 00:00:00,Bìa mềm,80.0,Nhà Xuất Bản Thanh Hóa,19 x 27 cm,,
21,Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 3,https://salt.tikicdn.com/cache/280x280/ts/product/4f/ef/a9/dd4c135b1b4b6e61791d3e99158bcf31.jpg,Âm nhạc,"Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 3Cùng với Đặng Thái Sơn, Đỗ Hồng Quân, Đặng Hữu Phúc, Lê Dũng là một trong những lứa nghệ sĩ đầu tiên theo học đàn piano. Ông đã được cá...",59900.0,20.5 x 29.5 cm,,Lê Dũng,,,,,Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 3,https://salt.tikicdn.com/cache/280x280/ts/product/4f/ef/a9/dd4c135b1b4b6e61791d3e99158bcf31.jpg,Âm nhạc,Lê Dũng,"Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 3Cùng với Đặng Thái Sơn, Đỗ Hồng Quân, Đặng Hữu Phúc, Lê Dũng là một trong những lứa nghệ sĩ đầu tiên theo học đàn piano. Ông đã được cá...",59900.0,Huy Hoàng Bookstore,2017-11-24 14:41:43,Bìa mềm,,,20.5 x 29.5 cm,,
22,Beethoven: Âm Nhạc Và Cuộc Đời,https://salt.tikicdn.com/cache/280x280/ts/product/20/ed/be/639296091b505c8f3c53854655b60fc1.jpg,Âm nhạc,"Trong năm 2020 này, toàn thế giới kỷ niệm 250 năm ngày sinh của nhà soạn nhạc thiên tài Ludwig van Beethoven (1770-1827) với nhiều hoạt động ý nghĩa diễn ra khắp mọi nơi. Hòa cùng không khí đó, Omega ...",278600.0,16 x 24 cm,736.0,Lewis Lockwood,,,,,Beethoven: Âm Nhạc Và Cuộc Đời,https://salt.tikicdn.com/cache/280x280/ts/product/20/ed/be/639296091b505c8f3c53854655b60fc1.jpg,Âm nhạc,Lewis Lockwood,"Trong năm 2020 này, toàn thế giới kỷ niệm 250 năm ngày sinh của nhà soạn nhạc thiên tài Ludwig van Beethoven (1770-1827) với nhiều hoạt động ý nghĩa diễn ra khắp mọi nơi. Hòa cùng không khí đó, Omega ...",278600.0,Omega Plus,2020-01-04 00:00:00,Bìa cứng,736.0,Nhà Xuất Bản Dân Trí,16 x 24 cm,"Lê Ngọc Anh, Mai Đức Hạnh, Mai Đức Hạnh",
23,Học Đệm Piano Cơ Bản 3 (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/c9/45/30/3b670b709623abc13f2006c942a44ce6.jpg,Âm nhạc,"Ở Việt Nam hiện nay, piano ngày càng phổ biến và là một trong những nhạc cụ được nhiều người theo học. Song song với việc chơi các tác phẩm cổ điển thì việc tự đệm đàn hát dần trở thành nhu cầu phát s...",96900.0,20.5 x 29.5 cm,183.0,Song Minh,,,,,Học Đệm Piano Cơ Bản 3 (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/c9/45/30/3b670b709623abc13f2006c942a44ce6.jpg,Âm nhạc,Song Minh,"Ở Việt Nam hiện nay, piano ngày càng phổ biến và là một trong những nhạc cụ được nhiều người theo học. Song song với việc chơi các tác phẩm cổ điển thì việc tự đệm đàn hát dần trở thành nhu cầu phát s...",96900.0,Huy Hoàng Bookstore,2020-03-01 00:00:00,Bìa mềm,183.0,Nhà Xuất Bản Dân Trí,20.5 x 29.5 cm,,
24,Combo 4 cuốn Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng,https://salt.tikicdn.com/cache/280x280/ts/product/e2/47/4a/d81fcc1feb9ef99fafa9b6377a4fe261.jpeg,Âm nhạc,"Combo 4 cuốn Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi TiếngCùng với những nghệ sĩ tên tuổi như: Đặng Thái Sơn, Đỗ Hồng Quân, Đặng Hữu Phú Lê Dũng là một trong những lớp nghệ sĩ đầu tiên theo...",270000.0,,,Lê Dũng (biên soạn),,,,,Combo 4 cuốn Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng,https://salt.tikicdn.com/cache/280x280/ts/product/e2/47/4a/d81fcc1feb9ef99fafa9b6377a4fe261.jpeg,Âm nhạc,Lê Dũng (biên soạn),"Combo 4 cuốn Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi TiếngCùng với những nghệ sĩ tên tuổi như: Đặng Thái Sơn, Đỗ Hồng Quân, Đặng Hữu Phú Lê Dũng là một trong những lớp nghệ sĩ đầu tiên theo...",270000.0,Huy Hoàng Bookstore,2021-04-01 00:28:49,Bìa mềm,,Nhà Xuất Bản Dân Trí,,,
