,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
14,Sơ Đồ Chuỗi Phản Ứng Hóa Học Vô Cơ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/s/o/so-do-chuoi-phan-ung-hoa-vo--co-01.u2566.d20170626.t140457.418918.jpg,Chuyên đề, Sơ Đồ Chuỗi Phản Ứng Hóa Học Vô Cơ  Hóa học là ngành khoa học nghiên cứu về các chất và sự biến đổi của các chất.  Muốn chuyển chất này thành chất khác ta cho     các chất tác dụng với nhau trong nh...,39000.0,16 x 24 cm,200.0,Nguyễn Xuân Trường,,,,,Sơ Đồ Chuỗi Phản Ứng Hóa Học Vô Cơ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/s/o/so-do-chuoi-phan-ung-hoa-vo--co-01.u2566.d20170626.t140457.418918.jpg,Chuyên đề,Nguyễn Xuân Trường, Sơ Đồ Chuỗi Phản Ứng Hóa Học Vô Cơ  Hóa học là ngành khoa học nghiên cứu về các chất và sự biến đổi của các chất.  Muốn chuyển chất này thành chất khác ta cho     các chất tác dụng với nhau trong nh...,39000.0,Khang Việt Book,2017-06-26 00:00:00,Bìa mềm,200.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,16 x 24 cm,,
15,Các hợp chất hữu cơ (Tên - Công thức - Cách nhận biết - Mối liên hệ),https://salt.tikicdn.com/cache/280x280/ts/product/b2/7f/4c/3fcbd4deae753d5c3e610779fec45835.jpg,Chuyên đề,"Ấn phẩm hệ thống các hợp chất hữu cơ trong chương trình hoá học phổ thông, được trình bày trực quan, có tính thiết thực cao, nhằm giúp các em học sinh dễ dàng ghi nhớ, tra tìm các thông tin liên quan ...",10000.0,<p>39 x 54 (cm)</p>,12.0,Nguyễn Văn Hòa,,,,,Các hợp chất hữu cơ (Tên - Công thức - Cách nhận biết - Mối liên hệ),https://salt.tikicdn.com/cache/280x280/ts/product/b2/7f/4c/3fcbd4deae753d5c3e610779fec45835.jpg,Chuyên đề,Nguyễn Văn Hòa,"Ấn phẩm hệ thống các hợp chất hữu cơ trong chương trình hoá học phổ thông, được trình bày trực quan, có tính thiết thực cao, nhằm giúp các em học sinh dễ dàng ghi nhớ, tra tìm các thông tin liên quan ...",10000.0,Công ty TNHH Đầu Tư Sáng Tạo,,Bìa mềm,12.0,,<p>39 x 54 (cm)</p>,,
16,Chinh Phục Đỉnh Olympia Ngân Hàng Câu Hỏi Có Đáp Án Và Giải Thích Tiếng Anh,https://salt.tikicdn.com/cache/280x280/ts/product/46/aa/4f/27921d509a18f6dcb1607f017890d55d.jpg,Chuyên đề,"Vai trò của Tiếng Anh trong các kì thi là hết sức quan trọng, Đường Lên Đỉnh Olympia là một cuộc thi kiến thức trên truyền hình dành cho học sinh Trung học phổ thông. Trải qua hơn 20 năm, các vòng thi...",129000.0,,,Bùi Văn Vinh (Chủ Biên),,,,,Chinh Phục Đỉnh Olympia Ngân Hàng Câu Hỏi Có Đáp Án Và Giải Thích Tiếng Anh,https://salt.tikicdn.com/cache/280x280/ts/product/46/aa/4f/27921d509a18f6dcb1607f017890d55d.jpg,Chuyên đề,Bùi Văn Vinh (Chủ Biên),"Vai trò của Tiếng Anh trong các kì thi là hết sức quan trọng, Đường Lên Đỉnh Olympia là một cuộc thi kiến thức trên truyền hình dành cho học sinh Trung học phổ thông. Trải qua hơn 20 năm, các vòng thi...",129000.0,Khang Việt Book,,Bìa mềm,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,
17,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1.u5131.d20170420.t160803.304129.jpg,Chuyên đề,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn Cuốn sách là những kinh nghiệm nhỏ sẽ giúp các bạn thực hiện ước mơ đại học của mình....,127190.0,20 x 30 cm,272.0,Nguyễn Thế Hùng,,,,,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1.u5131.d20170420.t160803.304129.jpg,Chuyên đề,Nguyễn Thế Hùng,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn Cuốn sách là những kinh nghiệm nhỏ sẽ giúp các bạn thực hiện ước mơ đại học của mình....,127190.0,Khang Việt Book,2017-03-17 00:00:00,Bìa mềm,272.0,Nhà Xuất Bản Thanh Hóa,20 x 30 cm,,2017
18,Chiến Lược Giải Toán 5 (Song Ngữ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/g/t/gt5.u335.d20160804.t142518.980805.png,Chuyên đề,"Chiến Lược Giải Toán 5 (Song Ngữ) ""Bộ sách Chiến lược giải toán từ lớp 2 tới lớp 6 sẽ giúp học sinh phát triển kỹ năng tư duy toán học và mở mang hiểu biết của các em về các khái niệm và công thức to...",173550.0,,,Francis Teo,,,,,Chiến Lược Giải Toán 5 (Song Ngữ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/g/t/gt5.u335.d20160804.t142518.980805.png,Chuyên đề,Francis Teo,"Chiến Lược Giải Toán 5 (Song Ngữ) ""Bộ sách Chiến lược giải toán từ lớp 2 tới lớp 6 sẽ giúp học sinh phát triển kỹ năng tư duy toán học và mở mang hiểu biết của các em về các khái niệm và công thức to...",173550.0,Công Ty CP XTTM Quốc Tế Quang Minh,2016-08-04 00:00:00,Bìa mềm,,,,,
19,Chiến Lược Giải Toán 6 (Song Ngữ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/g/t/gt6.u335.d20160804.t144323.712320.png,Chuyên đề,"Chiến Lược Giải Toán 6 (Song Ngữ) ""Bộ sách Chiến lược giải toán từ lớp 2 tới lớp 6 sẽ giúp học sinh phát triển kỹ năng tư duy toán học và mở mang hiểu biết của các em về các khái niệm và công thức to...",146150.0,,,Francis Teo,,,,,Chiến Lược Giải Toán 6 (Song Ngữ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/g/t/gt6.u335.d20160804.t144323.712320.png,Chuyên đề,Francis Teo,"Chiến Lược Giải Toán 6 (Song Ngữ) ""Bộ sách Chiến lược giải toán từ lớp 2 tới lớp 6 sẽ giúp học sinh phát triển kỹ năng tư duy toán học và mở mang hiểu biết của các em về các khái niệm và công thức to...",146150.0,Công Ty CP XTTM Quốc Tế Quang Minh,2016-08-04 00:00:00,Bìa mềm,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,
20,Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/1/41-kakuro.u5465.d20170808.t160512.490687.jpg,Chuyên đề,"Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách giả...",36000.0,,260.0,Alastair Chisholm,,,,,Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/1/41-kakuro.u5465.d20170808.t160512.490687.jpg,Chuyên đề,Alastair Chisholm,"Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách giả...",36000.0,Nhân Trí Việt,2006-08-16 00:00:00,Bìa mềm,260.0,Nhà Xuất Bản Tổng hợp TP.HCM,,Trần Văn Phúc,
21,Môn Sử Không Chán Như Em Tưởng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/u/n/unnamed--1-.u5168.d20170515.t092451.689115.jpg,Chuyên đề,"Môn Sử Không Chán Như Em Tưởng là tập hợp những bài viết của học sinh trong giờ kiểm tra 45 phút hoặc bài tập về nhà, được tác giả khẳng định không phải là các bài ""Sử mẫu"". ""Tôi tôn trọng và mong muố...",63200.0,15 x 23 cm,292.0,Nguyễn Quốc Vương,,,,,Môn Sử Không Chán Như Em Tưởng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/u/n/unnamed--1-.u5168.d20170515.t092451.689115.jpg,Chuyên đề,Nguyễn Quốc Vương,"Môn Sử Không Chán Như Em Tưởng là tập hợp những bài viết của học sinh trong giờ kiểm tra 45 phút hoặc bài tập về nhà, được tác giả khẳng định không phải là các bài ""Sử mẫu"". ""Tôi tôn trọng và mong muố...",63200.0,NXB Phụ Nữ Việt Nam,2017-05-15 00:00:00,,292.0,Nhà Xuất Bản Phụ Nữ,15 x 23 cm,,
22,Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img128.u4939.d20170328.t161807.260855.jpg,Chuyên đề,"Cuốn sách Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia) bao gồm phần hệ thống lại kiến thức, các đề thi trắc nghiệm, cách giải chi tiết giúp các em học sinh ôn lại kiến thức đ...",70000.0,17 x 24 cm,478.0,Ts. Trần Văn Lượng,,,,,Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img128.u4939.d20170328.t161807.260855.jpg,Chuyên đề,Ts. Trần Văn Lượng,"Cuốn sách Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia) bao gồm phần hệ thống lại kiến thức, các đề thi trắc nghiệm, cách giải chi tiết giúp các em học sinh ôn lại kiến thức đ...",70000.0,Nhà Sách Hồng Ân,2016-01-25 00:00:00,Bìa mềm,478.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,17 x 24 cm,,
23,Sinh Học Phân Tử Của Tế Bào - Tập 1: Cơ Sở Hóa Học Và Phân Tử (Ấn Bản 7),https://salt.tikicdn.com/cache/280x280/ts/product/67/62/4d/4db36d37bfde3e0fd95ad32f73d21d88.jpg,Chuyên đề,"Sinh Học Phân Tử của Tế Bào là một cuốn sách giáo khoa chuyên ngành dành cho sinh viên đại học và sau đại học, do GS. Harvey Lodish và các nhà khoa học hàng đầu thế giới biên soạn. Nội dung sách chứa ...",144400.0,<p>15.5 x 23 cm</p>,284.0,Nhiều Tác Giả,,,,,Sinh Học Phân Tử Của Tế Bào - Tập 1: Cơ Sở Hóa Học Và Phân Tử (Ấn Bản 7),https://salt.tikicdn.com/cache/280x280/ts/product/67/62/4d/4db36d37bfde3e0fd95ad32f73d21d88.jpg,Chuyên đề,Nhiều Tác Giả,"Sinh Học Phân Tử của Tế Bào là một cuốn sách giáo khoa chuyên ngành dành cho sinh viên đại học và sau đại học, do GS. Harvey Lodish và các nhà khoa học hàng đầu thế giới biên soạn. Nội dung sách chứa ...",144400.0,NXB Trẻ,2018-04-16 10:45:40,Bìa mềm,284.0,NXB Trẻ,<p>15.5 x 23 cm</p>,Nhiều dịch giả,
