,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng
106,Vượn Trần Trụi - Nghiên Cứu Của Nhà Động Vật Học Về Con Vật Người,https://www.vinabook.com/images/thumbnails/product/240x/35694_42237.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Desmond Morris     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     CUỐN SÁCH MÀ KHÔNG CON VẬT NGƯỜI NÀO DÁM BỎ QUA.Ở đây là con Vượn Trần trụi với tất cả những gì nền tảng nhất của nó - trong tình yêu, trong công việc và trong chiến tranh. Tìm hiểu con vật người đúng như bản chất vốn có của nó: là họ hàng của những con vượn, bị cởi bỏ khỏi cái mã văn minh bề ngoài khi chúng ta nhìn nó tán tỉnh bạn tình, yêu đương, ngủ, giao tiếp xã hội, chải chuốt, chơi trò chơi gia đình.Tác phẩm kinh điển của nhà động vật học Desmond Morris, cùng với Nguồn gốc muôn loài của Darwin, đã thể hiện con người không phải như một thiên thần sa ngã mà là một con vượn mới lên ngôi, đầy dẻo dai, nghị lực và trí tưởng tượng, tuy vậy vẫn chỉ là một con vật đang có nguy cơ quên mất nguồn gốc của mình.Với sự hiểu biết thấu suốt vào các căn nguyên, cuộc sống tình dục, các thói quen của con người và các ràng buộc đáng ngạc nhiên của chúng ta với thế giới động vật, tác phẩm ăn khách nhưng cũng gây vô vàn tranh cãi Vượn trần trụi là cột mốc lớn trên chặng đường con người tìm hiểu bản thân mình.Desmond Morris sinh năm 1928 tại Wiltshire. Sau khi tốt nghiệp Đại học Birmingham chuyên ngành động vật học, ông đạt được học vị tiến sĩ tại Đại học Oxford. Năm 1959, ông trở thành người phụ trách bộ phận động vật có vú tại Vườn thú London và giữ chức vụ này trong tám năm. Ông là tác giả của khoảng năm mươi bài báo khoa học và bảy cuốn sách trước khi hoàn thành cuốn Vượn trần trụi năm 1967, bán được hơn 10 triệu bản khắp thế giới và được dịch sang rất nhiều thứ tiếng. Ông cũng thực hiện nhiều chương trình truyền hình và phim về tập tính của người và động vật. Cách tiếp cận thân thiện, dễ hiểu khiến ông trở thành nổi tiếng với cả người lớn và trẻ em. Trong số loạt tác phẩm quen thuộc của ông có Theo dõi người, Theo dõi cơ thể, Theo dõi động vật và Theo dõi trẻ con. Ông là một trong số những người dẫn chương trình về lịch sử tự nhiên được biết đến nhiều nhất trên thế giới. Ngoài ra, Desmond Morris còn là một họa sĩ tài ba với các tác phẩm Sinh học của nghệ thuật, Nghệ thuật Síp cổ đại và Người theo chủ nghĩa siêu thực bí mật. Nghiên cứu mới của ông về ý nghĩa của các cử chỉ có nhan đề Tiếng nói của cơ thể: Chỉ dẫn toàn thế giới về các cử chỉ. Mời bạn đón đọc.  
                                                                   Báo chí giới thiệu
                                                                ",70.000,,,,,,,,,,,,, 440.00 gam , 13 x 20.5 cm , 8936024915414 , 12/2010 ,, Vương Ngân Hà , Nhã Nam , Nxb Hội Nhà Văn , 392 , Desmond Morris , Bìa mềm 
107,Mười Vạn Câu Hỏi Vì Sao - Tri Thức Thế Kỉ 21 - Cơ Thể Người,https://www.vinabook.com/images/thumbnails/product/240x/35147_41690.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Nguyễn Văn Mậu (Biên Dịch)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Mười vạn câu hỏi vì sao"" là bộ sách phổ cập khoa học dành cho lứa tuổi thanh thiếu niên, dùng hình thức trả lời hàng loạt câu hỏi ""Thế nào?"", ""Tại sao?"" để trình bày một cách đơn giản, dễ hiểu một khối lượng lớn các khái niệm, các phạm trù khoa học, các sự vật, hiện tượng, quá trình trong tự nhiên, xã hội và con người, giúp cho người đọc hiểu được các lý lẽ khoa học tiềm ẩn trong các hiện tượng, quá trình quen thuộc trong đời sống thường nhật",42.000,,,,,,,,,,,,, 390.00 gam , 13 x 21 cm , 8934994009546 , 07/2010 ,,, CTCP Sách Dịch , NXB Giáo Dục , 424 , Nguyễn Văn Mậu (Biên Dịch) , Bìa mềm 
108,Mười Vạn Câu Hỏi Vì Sao - Tri Thức Thế Kỉ 21 - Thực Vật,https://www.vinabook.com/images/thumbnails/product/240x/35137_41680.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Lê Thanh Hương (Biên Dịch)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Mười vạn câu hỏi vì sao"" là bộ sách phổ cập khoa học dành cho lứa tuổi thanh thiếu niên, dùng hình thức trả lời hàng loạt câu hỏi ""Thế nào?"", ""Tại sao?"" để trình bày một cách đơn giản, dễ hiểu một khối lượng lớn các khái niệm, các phạm trù khoa học, các sự vật, hiện tượng, quá trình trong tự nhiên, xã hội và con người, giúp cho người đọc hiểu được các lý lẽ khoa học tiềm ẩn trong các hiện tượng, quá trình quen thuộc trong đời sống thường nhật",42.000,,,,,,,,,,,,, 396.00 gam , 13 x 21 cm , 8934994009539 , 06/2010 ,,, CTCP Sách Dịch , NXB Giáo Dục , 424 , Lê Thanh Hương (Biên Dịch) , Bìa mềm 
109,Thế Giới Động Vật Bao Điều Kỳ Thú,https://www.vinabook.com/images/thumbnails/product/240x/33470_40011.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Thái Sơn - Khánh Minh (Sưu Tầm, Biên Soạn)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mục lụcCôn trùngThế giới côn trùngNhững chuyện kinh dị và lý thú về loài kiếnNhững điều chưa biết về loài muỗiCuộc chiến giữa người và côn trùng",45.000,,,,,,,,,,,,, 242.00 gam , 13 x 20.5 cm , 8936047860456 , 05/2010 ,,, Phương Đông , NXB Thanh Niên , 262 ," Thái Sơn - Khánh Minh (Sưu Tầm, Biên Soạn) ", Bìa mềm 
110,Nghề Sản Xuất Khí Sinh Học,https://www.vinabook.com/images/thumbnails/product/240x/29923_36435.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Nguyễn Quang Khải 
                                                                                                                                            Nguyễn Quang Khải
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Hiện nay, sản xuất nông nghiệp ở nước ta vẫn là mặt trận rộng lớn nhất và thu hút nhiều lực lượng lao động nhất. Trong xu thế hội nhập, nông dân ta phải có nhiều cố gắng hơn nữa để xóa đói giảm nghèo và từng bước đưa nông thôn đi lên, tiến kịp với các nước trong khu vực và thế giới. Để làm được việc này, chúng ta phải đưa nhanh các tiến bộ khoa học kĩ thuật vào sản xuất. Muốn vậy, nông dân phải đọc, phải học, phải gặp gỡ và trao đổi với các nhà khoa học để thu nhận kiến thức. Bộ sách này sẽ là cẩm nang để nông dân có được những kỹ thuật mới, những ngành nghề mới, phát huy hết tiềm năng sinh học sẵn có ở địa phương. Họ sẽ tự vươn lên ngay trên chính ruộng vườn của mình. Mời bạn đón đọc.  ",19.000,,,,,,,,,,,,, 100.00 gam , 13 x 19 cm , 8936032941016 , 09/2009 ,,, Nxb Nông Nghiệp , Nxb Nông Nghiệp , 76 , Nguyễn Quang Khải , Bìa mềm 
111,Bộ Sách Bổ Trợ Kiến Thức - Chìa Khóa Vàng: Công Nghệ Sinh Học,https://www.vinabook.com/images/thumbnails/product/240x/24730_31188.jpg,Sinh học - Công nghệ sinh học,," Trái đất đã tồn tại hàng mấy nghìn triệu năm, loài người thì chỉ mới xuất hiện mấy chục vạn năm. Suốt quá trình lịch sử phát triển của loài người từ hoang dã đến văn minh hiện đại chỉ chiếm một thời gian vô cùng ngắn ngủi (4 giây) so với toàn bộ lịch sử phát triển của tự nhiên. Nhưng với đôi tay khéo léo và bộ óc thông minh, loài người đã thúc đẩy xã hội tiến triển rất nhanh với tốc độ ngày càng chóng mặt. Một nhà khoa học đã nhận định: “Tri thức của loài người ở thế kỷ  XIX, cứ khoảng 50 năm thì tăng gấp đôi; sang đầu thế kỷ XX, cứ 30 năm tăng gấp đôi; vào giữa thế kỷ  XX cứ 10 năm tăng gấp đôi, đến thập kỷ 70, cứ 5 năm tăng gấp đôi; tới thập kỷ 80 cứ 3 năm tăng gấp đôi. Làn sóng phát triển mạnh mẽ và nhanh chóng như vậy của khoa học kỹ thuật thu hút mối quan tâm mãnh liệt của mọi lớp người, đặc biệt là lớp thiếu niên nhi đồng, tạo niềm say mê hứng thú học tập, tìm tòi và khám phá. Để đóng góp phần nhỏ bé vào kho tàng trí tuệ của các bạn, Bộ sách bổ trợ kiến thức CHÌA KHÓA VÀNG qua đó cung cấp một số tri thức phổ thông bổ trợ thêm vào lượng kiến thức vốn đã phong phú mà các bạn đang được nhà trường truyền thụ. Bộ sách sẽ lần lượt ra thành nhiều tập, đề cập tới các môn khoa học tự nhiên cơ bản, các lĩnh vực khoa học kỹ thuật… Song song, bộ sách cũng sẽ trình bày những tri thức về khoa học xã hội, đề cập tới các môn loại gần gũi với đời sống hàng ngày của mỗi chúng ta. Mục lục: Lời nói đầu Giới sinh vật được phát hiện như thế nào? Vì sao nói vi sinh vật là một đại gia đình hưng thịnh? Virut là sinh vật nhỏ nhất phải không? Vi sinh vật có những đặc điểm gì? Vi sinh vật ăn gì để sống? Không có oxi vi sinh vật có thể sống được không? Vì sao một số vi khuẩn có thể cảm nhận được từ trường? Vì sao có một số vi sinh vật không sợ nhiệt độ cao? Đại bản doanh của vi sinh vật ở đâu? Trên cơ thể người ta cũng có vi sinh vật à? Vì sao uống sữa chua có lợi cho sức khoẻ? Đậu phụ lactone được chế biến như thế nào? Vì sao áo quần ta mặc thường bị mốc? Vi sinh vật đất trở thành thợ lành nghề sản xuất phân bón như thế nào? Vì sao nấm bạch cương chinh phục được sâu róm thông? Len men vi sinh vật như thế nào? Thế nào là công nghệ lên men? Những sinh vật nào là chủ lực quân của công nghệ lên men? Vì sao nói công nghệ lên men là đột phá khẩu của công nghệ sinh vật? Vi sinh vật sản xuất ra chất lysin như thế nào? Protit vi sinh vật được sản xuất như thế nào? ….. Mời bạn đón đọc. ",42.000,,,,,,,,,,,,, 250.00 gam , 13x20.5 cm ,, 09/2008 ,, Nguyễn Mười , Đông Tây , Nxb Lao động - Xã hội , 304 ,, Bìa mềm 
112,Giáo Trình Vi Sinh Vật Học Tập 3 - Lý Thuyết Và Bài Tập Giải Sẵn (Song Ngữ Việt- Anh),https://www.vinabook.com/images/thumbnails/product/240x/21945_p28377.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Kiều Hữu Ảnh 
                                                                                                                                            Kiều Hữu Ảnh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Giáo Trình Vi Sinh Vật Học Tập 3 - Lý Thuyết Và Bài Tập Giải Sẵn (Song Ngữ Việt- Anh)Cuốn sách này được viết ra nhằm giúp các sinh viên sinh học có điều kiện làm quen với một số dạng bài tập cơ bản trong giáo trình Vi sinh vật học, một trong những môn học chủ chốt của các ngành sinh học và công nghệ sinh học. Sách được viết dưới dạng song ngữ Việt - Anh để sinh viên có thể bước đầu làm quen với cách diễn đạt các ý tưởng của mình bằng tiếng Anh là thứ ngôn ngữ hiện đang được ưa dùng.Phần này đề cập tới các lý thuyết và bài tập cơ sở của Vi sinh vật học y học, gồm năm chương, từ chương 11 đến chương 15. Tác giả cố gắng trình bày cô đọng các kiến thức cơ bản xung quanh các cơ chế bảo vệ đặc hiệu và không đặc hiệu của cơ thể vật chủ, sự gây miễn dịch và các rối loạn miễn dịch thường gặp, khả năng gây bệnh của vi sinh vật, dịch tễ học của các bệnh nhiễm trùng, và cuối cùng, các bệnh có nguồn gốc virút và vi khuẩn.Mục Lục:Chương 11: Tính đề kháng không đặc hiệu của vật chủMục tiêuSơ lược về tính đề kháng của vật chủBài tậpChương 12: Miễn dịch đặc hiệuChương 13: Sự gây miễn dịch, phản ứng miễn dịch và các rối loạn miễn dịchChương 14: Khả năng gây bệnh của vi sinh vật, dịch tễ học của các bệnh nhiễm trùngChương 15: Các bệnh virut và vi khuẩn ở ngườiPhần trả lời của các chươngTài liệu tham khảo chínhDanh mục từ thường gặp.Mời bạn đón đọc. ",162.000,,,,,,,,,,,,, 850.00 gam , 19x27 cm , 8935048980583 , 05/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 504 , Kiều Hữu Ảnh , Bìa mềm 
113,Sinh Học Tế Bào,https://www.vinabook.com/images/thumbnails/product/240x/23755_30212.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Khuất Hữu Thanh 
                                                                                                                                            Khuất Hữu Thanh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tế bào là cơ thể sống bé nhỏ nhất và cũng là đơn vị tổ chức cơ sở của sự sống. Vì vậy, tế bào có các hợp phần đa dạng, có cấu trúc phức tạp và tinh vi: từ sự tổ chức nhiều tầng nhiều lớp, cấu trúc bán lỏng, linh động và bất đối xứng của màng tế bào, cấu trúc chuyên biệt của các bào quan đến tính chất biết hoá kỳ diệu của tế bào cùng với các quá trình đặc trưng của sự sống như sự trao đổi chất, sự chuyển hoá năng lượng và cơ chế xử lý thông tin tế bào. “Sinh học tế bào” là một trong những giáo trình cơ bản, cần thiết cho sinh viên các ngành Sinh học, Công nghệ sinh học, Nông nghiệp, Y dược… Giáo trình nhằm cung cấp các kiến thức cơ bản, hiện đại và cập nhật về: Cấu trúc chức năng của tế bào và bộ phận cấu thành tế bào, các quá trình trao đổi chất và năng lượng trong tế bào, cơ chế tiếp nhận và xử lý thông tin tế bào, cơ chế biệt hoá của tế bào… Quyển sách bao gồm 6 chương, phản ánh đúng các phần chủ yếu của chương trình giảng dạy môn Sinh học tế bào cải tiến. Sách được tác giả viết khá ngắn gọn bằng lối văn trong sáng, dễ hiểu trong chưa đầy 220 trang, với các hình vẽ và ảnh đẹp để minh hoạ được chọn lọc từ nhiều sách tham khảo và trên các trang Web, gây cho người đọc một cảm giác dễ chịu, thoải mái và muốn đọc. Đặc biệt có hai chương mới: cơ chế xử lý thông tin tế bào và biệt hoá tế bào là hai phần khá trừu tượng và đầy ắp những thông tin hiện hữu, thường được né tránh trong các giáo trình kiểu sinh học đại cương, song ở đây đã được tác giả trình bày một cách sáng sủa, mạch lạc và đơn giản tưởng chừng không thể đơn giản hơn, nhưng cũng khá chi tiết và đầy đủ. Mục lục: Lời giới thiệu Lời nói đầu Chữ viết tắt và kí hiệu Chương 1: Cấu trúc tế bào Đại cương về tế bào Cấu tạo tế bào Chương 2: Nhiễm sắc thể và chu kỳ tế bào Nhiễm sắc thể Chu kỳ tế bào Phân chia tế bào ở sinh vật bật cao Một số hình thức phân chia tế bào khác Cơ chế “kiểm soát” chu kì tế bào ở sinh vật bậc cao Chương 3: Màng tế bào chất và chức năng vận chuyển các chất Lược sử nghiên cứu màng tế bào Cấu trúc phân tử của màng tế bào chất Chức năng vận chuyển các chất của màng tế bào chất Chương 4: Trao đổi chất và năng lượng Năng lượng Chuyển hoá năng lượng trong cơ thể sống Các con đường chuyển hoá năng lượng trong cơ thể sống Chương 5: Cơ chế xử lí thông tin tế bào Khái niệm chung về tín hiệu tế bào Mối liên hệ và sự kết nối giữa các tế bào Cơ chế tiếp nhận và xử lí thông tin tế bào Chương 6: Biệt hoá tế bào Khái niệm chung về biệt hoá tế bào Tế bào gốc và quá trình biết hoá Cơ chế biệt hoá tế bào Triển vọng ứng dụng của biệt hoá tế bào và tế bào gốc Tài liệu tham khảo Mời bạn đón đọc. ",63.000,,,,,,,,,,,,, 280.00 gam , 16 x 24 cm , 8935048981634 , 10/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 220 , Khuất Hữu Thanh , Bìa mềm 
114,Di Truyền Học - Tái bản 03/07/2007,https://www.vinabook.com/images/thumbnails/product/240x/21947_p28379.jpg,Sinh học - Công nghệ sinh học,," Di Truyền Học:Trong thế kỷ XX vừa qua, Di truyền học đã ra đời và tồn tại như một ngành khoa học trung tâm của sinh học. Năm 1900, các quy luật di truyền Mendel đã được phát hiện trở lại và đánh dấu sự ra đời chính thức của môn khoa học này. Vào đầu thập niên 50, James Watson và Francis Crick phát hiện ra cấu trúc xoắn kép của ADN - nói mã hóa các thông tin di truyền. Trong những năm của thập niên 90, Dự án hệ gen người (HGP) đã cung cấp cho chúng ta một trật tự nucleotit gần đầy đủ của hệ gen người. Và sau đó, đầu năm 2003 toàn bộ trình tự nucleotit của hệ gen người đã được HGP và Công ty Celera Genomics công bố. Sự kiện này không chỉ là một thành tựu to lớn đối với di truyền học mà còn mở ra khả năng ứng dụng của nó vào thực tiễn. Nhiều cách nhìn nhận, nhiều câu hỏi, nhiều kỹ thuật mới đã xuất hiện từ việc khai thác các dữ liệu về trật tự nucleotit được giải trình. Và cũng từ đó đã xuất hiện một lĩnh vực mới của di truyền học gọi là hệ gen học (genomics) đang phát triển rất nhanh chóng. Nó không chỉ nghiên cứu hệ gen của con người mà còn cả ở vi sinh vật, động vật và thực vật. Cuốn sách này cũng trình bày một số khái niệm, khía cạnh có liên quan đến hệ gen học và phân tích gen cùng các sản phẩm của gen ở mức độ phân tử.Cũng trong thế kỷ qua, các nghiên cứu di truyền học đều hướng đến chỗ làm sáng tỏ cấu trúc và chức năng của các gen. Tuy nhiên, các kết quả nghiên cứu thu được trong các thập kỹ gần đây đều cho thấy rằng, các gen không hoạt động riêng lẻ mà chúng tồn tại trong một mạng lưới tương tác phức tạp, với sự có mặt của các phân tử protein cùng các loại phân tử khác. Đồng thời, trong những năm cuối của thế kỷ XX đã ra đời nhiều loại công cụ cho phép phân tích được các gen, hệ gen cũng như đánh giá được sự biểu hiện của chúng trong một hệ thống sinh học phức tạp. Chắc chắn, trong một tương lai không xa - chỉ tính bằng thập kỷ - chúng ta sẽ chứng kiến những thành tựu xuất sắc khác của di truyền học phân tử nói riêng hay của sinh học phân tử nói chung, trong đó có những điều mà hôm nay còn là kỳ vọng thì đến lúc đó sẽ là hiện thực - giống như trước đây vào thập kỷ 80, khi người ta đặt ra vấn đề liệu pháp gen ở người.Di truyền học không phải là môn khoa học tập hợp đơn thuần các sự kiện, nên khi nghiên cứu ta phải luôn đặt ra các câu hỏi và tìm hiểu bản chất của nó. Một khi những nguyên lý cơ bản đã được thấu hiểu, thì ta sẽ dễ dàng nắm bắt được những chi tiết ở bên trong và mối liên hệ giữa chúng với mọi dạng tồn tại của sự sống.Cuốn sách này là giáo trình thích hợp - tùy mức độ sử dụng khác nhau - cho sinh viên, học viên cao học và nghiên cứu sinh thuộc ngành sinh học và công nghệ sinh học ở các trường đại học.. đồng thời cũng là tài liệu học tập và tham khảo bổ ích cho học viên cao học nghiên cứu sinh ở các trường đại học khác, các nhà khoa học chuyên ngành có liên quan ở các viện nghiên cứu học những ai quan tâm đến di tuyền học.Mục lục:Lời giới thiệuLời nói đầuChương 1: Các nguyên lý di truyền học MendelChương 2: Nhiễm sắc thể và sự di truyềnChương 3: Sự liên kết gen và trao đổi chéoChương 4: Bản chất hóa học và sự tái bản của vật chất di truyềnChương 5: Sự phiên mã di truyềnChương 6: Sự dịch mã di truyềnChương 7: Sự điều hòa hoạt động của genChương 8: Tổ chức phân tử của nhiễm sắc thểChương 9: Biến dị số lượng và cấu trúc nhiễm sắc thểChương 10: Đột biến và sự phát sinh đột biếnChương 11: Di truyền học vi khuẫn và virutChương 12: Di truyền tế bào Soma và di truyền học miễn dịchChương 13: Kỹ thuật di truyền Chương 14: Hệ gen họcChương 15: Phân tích gen và các sản phẩm của genChương 16: Di truyền ngoài nhiểm sắc thểChương 17: Di truyền học quần thể và tiến hóaChương 18: Di truyền học số lượng Tài liệu tham khảo.Mời bạn đón đọc. ",85.000,,,,,,,,,,,,, 700.00 gam , 19x27 cm , 8935048970614 , 03/2007 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 424 ,,
115,Đại Cương Vi Sinh Vật Thực Phẩm - Tái bản 08/07/2007,https://www.vinabook.com/images/thumbnails/product/240x/20529_p26950.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Trần Liên Hà 
                                                                                                                                            Trần Liên Hà
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đại Cương Vi Sinh Vật Thực Phẩm:Vi sinh vật là thuật ngữ khoa học chung để chỉ tất cả các cơ thể sống (và các tổ chức sống) có kích thước nhỏ bé , do vậy muốn quan sát được thường phải sử dụng kính hiển vi. Vi sinh vật phân bố rất rộng rãi trong thiên nhiêm: trong đất, trong nước và cả trong không khí. Nguồn dinh dưỡng của vi sinh vật hết sức đa dạng; có thể nói rằng hầu hết các chất trong thiên nhiên, từ một số chất vơ cơ đơn giản đến các hợp chất hữu cơ phức tạp đều có thể bị chuyển hoá bởi các loài vi sinh vật nhất định tương ứng. Hoạt động sống của vi sinh vật có vai trò rất quan trọng trong các chu trình chuyển hoá vật chất trong thiên nhiên. Vì vậy, chúng rất cần thiết đối với sự vận động chung của hệ sinh thái. Sự tồn tại, sinh trưởng và phát triển của vi sinh vật có mối liên hệ mật thiết đối với các hoạt động của đời sống con người, trong đó bao gồm cả trong các quá trình chế biến va bảo quản thực phẩm.Ngày nay, vi sinh vật đã được ứng dụng hết sức rộng rãi trong hành loạt lĩnh vực khác nhau trong nền kinh tế, thí dụ trong công nghiệp thực phẩm, công nghiệp hoá học, trong y - dược, trong nông nghiệp, trong bảo vệ môi trường hay trong thăm dò, khai thác và thu hồi kim loại",30.000,,,,,,,,,,,,, 200.00 gam , 16x24 cm , 8935048972052 , 08/2007 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 144 , Trần Liên Hà ,
116,Vi Sinh Vật Và Sức Khỏe,https://www.vinabook.com/images/thumbnails/product/240x/18225_p24641.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Lư Nhật Phong 
                                                                                                                                            Lư Nhật Phong
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Vi Sinh Vật Và Sức KhỏeBên cạnh một số vi sinh vật có hại, gây bệnh, phân hủy thực phẩm và làm tổn hại các vật phẩm… còn có những vi sinh vật có ích, làm sạch môi trường tự nhiên, có tác dụng quan trọng đối với sức khỏe của con người và động thực vật.Cuốn sách này đi vào khai thác lĩnh vực hóa học, sinh học về vi sinh vật mà xưa nay chưa hề được coi trọng, đặc biệt là phương hướng thành phần hóa học, mặt sinh lý học… Các công trình nghiên cứu trong sách sẽ giúp bạn hiểu rõ hơn vai trò và tác dụng của vi sinh vật đối với sức khỏe. ",18.000,,,,,,,,,,,,, 200.00 gam , 13x19 cm ,, 06/2005 ,, Nguyễn Kim Dân , Văn Lang , Nxb Thành phố Hồ Chí Minh , 170 , Lư Nhật Phong ,
117,Công Nghệ Sinh Học Phân Tử - Nguyên Lý Và Ứng Dụng Của ADN Tái Tổ Hợp,https://www.vinabook.com/images/thumbnails/product/240x/16642_p23040.jpg,Sinh học - Công nghệ sinh học,,"  Thông tin tác giả    Bernard R. Glick 
                                                                                                                                            Bernard R. Glick
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Jackj. Pasternark 
                                                                                                                                            Jackj. Pasternark
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Công Nghệ Sinh Học Phân Tử - Nguyên Lý Và Ứng Dụng Của ADN Tái Tổ Hợp của 2 giáo sư nổi tiếng thuộc trường Đại học Waterloo ( Canada) là một trong những cuốn sách bán chạy đã được Nhà xuất bản của Hiệp hội Vi sinh vật học Hoa kỳ (American Society for Microbiology - ASM).Công Nghệ Sinh Học Phân Tử - Nguyên Lý Và Ứng Dụng Của ADN Tái Tổ Hợp được cập nhật rất nhiều thông tin thuộc mọi vấn đề liên quan đến công nghệ sinh học phân tử sau gần 30 năm ( tính từ cuối những năm 1970).Nội dung cuốn sách giới thiệu các vấn đề: Nền tảng - nguyên lý cơ bản của công nghệ sinh học phân tử, các ứng dụng của công nghệ ADN tái tổ hợp trong nhiều ngành công nghiệp, nông nghiệp, y dược và sinh học chống ô nhiễm. Mời bạn đón đọc. ",195.000,,,,,,,,,,,,, 1500.00 gam , 19x26.5 cm ,, 05/2006 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 858 ," Bernard R. Glick , Jackj. Pasternark ",
