,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng, người dịch
10,Từ Điển Tiếng Việt Thông Dụng (Bìa Xanh),https://www.vinabook.com/images/thumbnails/product/240x/222930_p70030mbt.jpg,Tiếng Việt,,"  Thông tin tác giả    Nhóm Việt Ngữ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Từ Điển Tiếng Việt Thông Dụng (Bìa Xanh) với 40.000 mục từ thông dụng. Nghĩa được giải thích rõ ràng, dễ hiểu. Ví dụ minh họa đa dạng, phong phú. Kèm theo phần từ điển tranh đặc sắc.Mời bạn đón đọc. ",220.000,,,,,,,,,,,,, 1232.00 gam , 11.5 x 17.5 cm , 8935246905340 , 2015 , Tiếng Việt , Mcbooks , NXB Hồng Đức , 1120 , Nhóm Việt Ngữ , Bìa cứng ,
11,Từ Điển Tiếng Việt Dành Cho Học Sinh Tiểu Học (Khổ 8 x 13) - Tái Bản 2017,https://www.vinabook.com/images/thumbnails/product/240x/269478_p76858m0021.jpg,Tiếng Việt,,"  Thông tin tác giả    Khang Việt     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - Biên soạn chọn lọc một cách đầy đủ, ngắn gọn từ nhiều từ điển Tiếng Việt khác nhau.- Dễ dàng tra cứu, sắp xếp từ khoa học, hợp lý- Định nghĩa và ví dụ minh họa gần gũi với đời sống, giúp các em tiếp nhận kiến thức dễ dàng.Mời bạn đón đọc. ",34.000,,,,,,,,,,,,, 264.00 gam , 8 x 13 cm , 8935092545813 , 03/2017 , Tiếng Việt , Khang Việt , Nxb Từ điển Bách khoa , 760 , Khang Việt , Bìa mềm ,
12,Từ Điển Việt - Anh (Khoảng 350.000 Từ),https://www.vinabook.com/images/thumbnails/product/240x/269528_p76857m029.jpg,Tiếng Việt,,"  Thông tin tác giả    Khang Việt     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong một thế giới hội nhập như hiện nay, tiếng Anh ngày càng đóng một vai trò hết sức quan trọng trong nhiều lĩnh vực. Ngày càng nhiều người học tiếng Anh như một nhu cầu thiết yếu. Đối với người học tiếng Anh, một cuốn từ điển đối chiếu Việt Anh là không thể thiếu được.Cuốn Từ Điển Việt - Anh được trình bày dễ hiểu với những từ tiếng Việt thông dụng nhất được dịch nghĩa sang ngôn ngữ Tiếng Anh. Sách cập nhật nhiều từ mới, giải thích rõ ràng, nhiều ví dụ tương thích, tiện lợi, tra tìm nhanh chóng, giúp người học dễ dàng tra từ một cách nhanh chóng, chính xác.Cuốn từ điển được sắp xếp theo thứ tự ABC có giải thích ý nghĩa, từ nguyên, cách dùng, dịch, cách phát âm, và thường kèm theo các ví dụ về cách sử dụng từ đó.Từ điển được thiết kế nhỏ gọn giúp người dùng dễ dàng hơn trong việc di chuyển và tra cứu. Đây là tài liệu cần thiết giúp người Việt học tiếng Anh nâng cao thêm vốn từ vựng của mình.Mời bạn đón đọc. ",105.000,,,,,,,,,,,,, 638.00 gam , 10 x 18 cm , 8935092545820 , 03/2017 ," Tiếng Anh, Tiếng Việt ", Khang Việt , NXB Thanh Niên , 1152 , Khang Việt , Bìa mềm ,
13,Từ Điển Tiếng Việt Thông Dụng Dành Cho Học Sinh (Bìa Cứng Xanh),https://www.vinabook.com/images/thumbnails/product/240x/239583_p72649mimg627.jpg,Tiếng Việt,,"  Thông tin tác giả    Nhóm Việt Ngữ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - 30.000 mục từ thông dụng nhất. - Giải thích nghĩa cặn kẽ, rõ ràng, dễ hiểu.- Ví dụ minh họa cách sử dụng linh hoạt, phong phú! - Kèm theo 32 trang từ điển bằng hình đặc sắc.Mời bạn đón đọc. ",128.000,,,,,,,,,,,,, 572.00 gam , 10 x 16 cm , 8935246907191 , 2016 , Tiếng Việt , Mcbooks , NXB Hồng Đức , 864 , Nhóm Việt Ngữ , Bìa cứng ,
14,Từ Điển Tiếng Việt Dành Cho Học Sinh,https://www.vinabook.com/images/thumbnails/product/240x/327076_p76442m1.jpg,Tiếng Việt,," Sách được biên soạn nhằm giúp các thầy, cô giáo, các em học sinh, sinh viên có thêm một công cụ để tiếp xúc với hệ thống vốn từ ngữ hết sức đa dạng, phong phú và phức tạp của tiếng Việt, góp phần nâng cao khả năng sử dụng ngôn ngữ trong quá trình học tập, công tác và hoạt động trên mọi lĩnh vực đời sống. Cuốn sách xác lập và tập hợp các cặp, nhóm từ đồng âm trong tiếng Việt, giải thích ý nghĩa của các từ và liên hệ với các ngữ cảnh cụ thể để minh họa mỗi thành phần ý nghĩa của từ trong hoạt động tạo thành lời nói.Do tính chất phức tạp và sự biến hoá trong hoạt động lời nói của từ ngữ tiếng Việt và do khuôn khổ hạn chế của cuốn sách, việc xác lập và giải nghĩa từ đồng âm trong cuốn sách này chỉ thực hiện đối với các từ được coi là những yếu tố thuộc lớp từ vựng cơ bản, có tính chất phổ biến trong phạm vi ngôn ngữ toàn dân.Mặt khác, do đến từ rất nhiều nguồn, theo nhiều cách thức mà hiện tượng đồng âm trong vốn từ vựng tiếng Việt là một hiện tượng hết sức phức tạp, ranh giới để xác định giữa các đơn vị không phải lúc nào cũng rành mạch, rõ ràng. Vì vậy chúng tôi chỉ chọn lựa, thu thập, giải thích các từ đồng âm trong tiếng Việt có cùng một hình thức ngữ âm (đọc và viết giống nhau). Chúng tôi cũng chỉ lựa chọn đưa vào trong danh sách của nhóm từ đồng âm các trường hợp có tư cách là từ, không tập hợp các đơn vị có tư cách là yếu tố cấu tạo từ.Các mục từ được giải nghĩa dựa theo những cuốn từ điển tiếng Việt của các học giả uy tín, các ví dụ minh họa được chọn lọc và đặt trong ngữ cảnh cụ thể để giúp người đọc nắm được bối cảnh sử dụng từ.Mời bạn đón đọc. ",60.000,,,,,,,,,,,,, 374.00 gam , 11 x 18 cm , 8936067600971 , 01/2019 , Tiếng Việt , Minh Long , Nxb Đại học Quốc gia Hà Nội , 520 ,, Bìa mềm ,
15,Từ Điển Tiếng Việt Thông Dụng Dành Cho Học Sinh (Bìa Đỏ),https://www.vinabook.com/images/thumbnails/product/240x/239571_p72651mimg612.jpg,Tiếng Việt,,"  Thông tin tác giả    Nhóm Việt Ngữ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     30.000 mục từ thông dụng nhất. Giải thích nghĩa cặn kẽ, rõ ràng, dễ hiểu.Ví dụ minh họa cách sử dụng linh hoạt, phong phú! Kèm theo 32 trang từ điển bằng hình đặc sắc.Mời bạn đón đọc. ",80.000,,,,,,,,,,,,, 506.00 gam , 10 x 16 cm , 8935246907214 , 2016 , Tiếng Việt , Mcbooks , NXB Hồng Đức , 864 , Nhóm Việt Ngữ , Bìa mềm ,
16,Sổ Tay Điển Cố Tiếng Việt Dành Cho Học Sinh,https://www.vinabook.com/images/thumbnails/product/240x/267540_p76629m002.jpg,Tiếng Việt,,"  Thông tin tác giả    Nguyễn Thanh Lâm     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Nguyễn Tú Phương     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả      Cuốn Sổ tay điển cố tiếng Việt (dành cho học sinh) nằm trong hệ thống sách công cụ dùng để tra cứu, nghiên cứu, hỗ trợ việc học tập, giảng dạy môn Tiếng Việt và Ngữ văn nói chung.     Trong văn học trung đại (còn gọi là văn học cổ) của Việt Nam, cả văn thơ chữ Hán và chữ Nôm đều sử dụng điển cố. Đối với các tác giả cổ điển, dùng điển cố là cách “dùng ít lời mà nói được nhiều ý”. Điển cố được xem như biện pháp tu từ đặc biệt giúp nhà văn, nhà thơ xây dựng hình tượng nghệ thuật mang tính ước lệ, tượng trưng mà sinh động, đồng thời điển cố còn làm cho việc sử dụng ngôn từ nghệ thuật được cô đọng, hàm súc, đạt được “ý tại ngôn ngoại”, bảo đảm cho tác phẩm có kết cấu ngắn gọn, súc tích, hợp lí, nhất là khi làm các thể thơ có niêm luật chặt chẽ (Đường luật), hoặc câu đối.     Song, việc sử dụng điển cố khiến người đọc nóichung và nhất là các em học sinh nói riêng, khi tiếp cận các tác phẩm văn học cổ gặp không ít khó khăn bởi đôi khi đọc phần giải thích về điển cố, điển tích vẫn không hiểu được ý nghĩa sâu xa của câu thơ, câu đối, đoạn văn hoặc bài văn đó… Hiểu được ý nghĩa biểu trưng của điển cố, điển tích, người đọc sẽ hiểu được thấu đáo ngụ ý của tác giả thông qua các điển cố, điển tích trong tác phẩm văn học.     Hiện tại, trong chương trình dạy và học Ngữ văn, lượng kiến thức được cung cấp về vấn đề điển cố, điển tích lại tương đối hạn hẹp. Vì vậy, chúng tôi tuyển chọn, biên soạn cuốn Sổ tay điển cố tiếng Việt nhằm giúp các em học sinh có thêm tài liệu tham khảo để có kĩ năng sử dụng điển cố khi cần thiết và nâng cao năng lực cảm nhận và phân tích điển cố, thấy được sự giàu đẹp của từ vựng tiếng Việt, thêm yêu thích văn học cổ điển.     Điển cố là một hiện tượng phức tạp nên từ trước tới nay đã có rất nhiều công trình nghiên cứu đề cập tới vấn đề này. Với đối tượng dùng sách chủ yếu là các em học sinh và các thầy cô giáo trong nhà trường phổ thông nên chúng tôi không có tham vọng trình bày trong sách này tất cả những vấn đề liên quan đến điển cố, điển tích mà chỉ đi sâu vào những vấn đề cốt lõi nhất, nhìn chung đã đạt được sự thống nhất từ các nhà nghiên cứu. Chúng tôi lựa chọn những quan niệm phổ biến nhất, đã được nhiều nhà nghiên cứu thừa nhận, được giới thiệu trong các giáo trình ngôn ngữ học, văn bản tiếng Việt đã được công bố, nhằm giúp người đọc có được cơ sở lí thuyết tin cậy khi tham khảo cuốn sách này. Về danh mục điển cố được giới thiệu trong sách, chúng tôi chỉ tập trung chọn lọc các điển cố thông dụng, tiêu biểu, xuất hiện nhiều trong thơ văn được giảng dạy ở trường phổ thông, các tác phẩm văn học tiêu biểu, các phương tiện truyền thông tiếng Việt và trong giao tiếp hằng ngày.     Ý nghĩa các điển cố được giải thích dựa theo các cuốn từ điển tiếng Việt; từ điển thành ngữ, tục ngữ tiếng Việt của các học giả uy tín,…; các ví dụ minh họa được chọn lọc và đặt trong ngữ cảnh cụ thể để giúp người đọc nắm được bối cảnh sử dụng điển cố.Cuốn sách có kết cấu như sau:- Lời nói đầu- Một số vấn đề cơ bản của điển cố tiếng Việt: giới thiệu những vấn đề lí thuyết cơ bản liên quan đến điển cố như khái niệm, các dạng điển cố thường gặp, đặc trưng của từng loại; cách phân biệt thành ngữ tiếng Việt và điển cố tiếng Việt…- Danh mục điển cố được xếp theo thứ tự bảng chữ cái nhưng không kí hiệu hiển ngôn A, B, C… như bảng mục từ thông thường. Nội dung của từng điển cố được cấu trúc theo trật tự:(1) Tên điển cố(2) Ý nghĩa(3) Ví dụ minh họa(4) Tích truyện gắn với điển cố (hoặc xuất xứ)     Ví dụ minh họa (được in nghiêng) trích trong các tác phẩm văn học tiêu biểu, báo chí tiếng Việt, các phương tiện truyền thông",45.000,,,,,,,,,,,,, 286.00 gam , 11 x 18 cm , 8936067597226 , 03/2017 , Tiếng Việt , Minh Long , Nxb Đại học Quốc gia Hà Nội , 356 ," Nguyễn Thanh Lâm , Nguyễn Tú Phương ", Bìa mềm ,
17,Từ Điển Tiếng Việt Thông Dụng Dành Cho Học Sinh (Bìa Vàng Xanh),https://www.vinabook.com/images/thumbnails/product/240x/239610_p72650mimg617.jpg,Tiếng Việt,,"  Thông tin tác giả    Nhóm Việt Ngữ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     30.000 mục từ thông dụng nhất. Giải thích nghĩa cặn kẽ, rõ ràng, dễ hiểu.Ví dụ minh họa cách sử dụng linh hoạt, phong phú! Kèm theo 32 trang từ điển bằng hình đặc sắc.Mời bạn đón đọc. ",80.000,,,,,,,,,,,,, 506.00 gam , 10 x 16 cm , 8935246907221 , 2016 , Tiếng Việt , Mcbooks , NXB Hồng Đức , 864 , Nhóm Việt Ngữ , Bìa mềm ,
18,Từ Điển Tiếng Việt Thông Dụng Dành Cho Học Sinh (Bìa Mềm Xanh),https://www.vinabook.com/images/thumbnails/product/240x/239577_p72648mimg622.jpg,Tiếng Việt,,"  Thông tin tác giả    Nhóm Việt Ngữ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - 30.000 mục từ thông dụng nhất. - Giải thích nghĩa cặn kẽ, rõ ràng, dễ hiểu.- Ví dụ minh họa cách sử dụng linh hoạt, phong phú! - Kèm theo 32 trang từ điển bằng hình đặc sắc.Mời bạn đón đọc. ",80.000,,,,,,,,,,,,, 506.00 gam , 10 x 16 cm , 8935246907238 , 2016 , Tiếng Việt , Mcbooks , NXB Hồng Đức , 864 , Nhóm Việt Ngữ , Bìa mềm ,
19,Từ Điển Tiếng Việt Thông Dụng Dành Cho Học Sinh (Bìa Cứng Vàng),https://www.vinabook.com/images/thumbnails/product/240x/239616_p72647mimg608.jpg,Tiếng Việt,,"  Thông tin tác giả    Nhóm Việt Ngữ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - 30.000 mục từ thông dụng nhất- Giải thích nghĩa cặn kẽ, rõ ràng, dễ hiểu- Ví dụ minh họa cách sử dụng từ linh hoạt, phong phú- Kèm theo 32 trang từ điển bằng hình đặc sắcMời bạn đón đọc. ",128.000,,,,,,,,,,,,, 572.00 gam , 10 x 16 cm , 8935246907108 , 2016 , Tiếng Việt , Mcbooks , NXB Hồng Đức , 864 , Nhóm Việt Ngữ , Bìa cứng ,
20,Từ Điển Thành Ngữ - Tục Ngữ Việt Nam (Bìa Cứng),https://www.vinabook.com/images/thumbnails/product/240x/234961_p71969mimg799.jpg,Tiếng Việt,,"  Thông tin tác giả    Nguyễn Lân 
                                                                                                                                            Nguyễn Lân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Văn học dân gian gồm có thành ngữ, tục ngữ, ca dao",105.000,,,,,,,,,,,,, 660.00 gam , 14.5 x 20.5 cm , 8935077033533 , 2016 , Tiếng Việt , PandaBooks , Nxb văn học , 500 , Nguyễn Lân , Bìa cứng ,
21,Hán Việt Từ Điển Giản Yếu,https://www.vinabook.com/images/thumbnails/product/240x/214500_p68861mbt.jpg,Tiếng Việt,,"  Thông tin tác giả    Đào Duy Anh 
                                                                                                                                            Đào Duy Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     """,140.000,,,,,,,,,,,,, 1496.00 gam , 16 x 24 cm , 8936040586759 , 2013 , Tiếng Việt , Minh Thắng , Nxb Văn hóa Thông tin , 816 , Đào Duy Anh , Bìa cứng ,
