tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa,dịch giả
Trồng Hoa Quanh Nhà (Tái Bản 2016),https://www.vinabook.com/images/thumbnails/product/240x/233729_p71803mimg067.jpg,Cây – cá cảnh,"  Thông tin tác giả    Thiên Kim 
                                                                                                                                            Thiên Kim
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mỗi loài hoa là một thế giới, trồng hoa tựa như khi ta đang yêu vậy!Chúng ta dành cho hoa cỏ sự chăm sóc tận tâm nhất, hoa cỏ cũng sẽ báo đáp chúng ta vẻ đẹp thanh tao nhất.Trong mỗi đóa hoa là cả một thế giới, cũng giống như lúc ta đang yêu, điều ta nhìn thấy là nét đẹp của người yêu, là sự ban tặng, sẻ chia những tình cảm nồng ấm nhất!Bất luận là chúng ta bắt đầu từ một hạt giống, hay từ một nhành cây, thì sự sống của hạt giống hay nhành cây ấy cũng nằm trong tay bạn, nó sẽ lớn lên khoẻ mạnh, hay yếu ớt cũng từ đôi tay bạn, tựa như khi ta nuôi trẻ, chúng sẽ lớn lên hàng ngày, niềm vui cuộc sống sẽ là thu hoạch lớn nhất.Nhưng, cho dù đang yêu hay nuôi trẻ nhỏ, thì ngoài tình yêu, chúng ta còn cần phải có những hiểu biết cần thiết. Sự sống của thực vật không thể thiếu bất cứ yếu tố nào, đương nhiên bạn cũng cần phải dành chút thời gian để hiểu rõ về chúng.Mời bạn đón đọc. ",65.0, 13 x 19 cm , 03/2016 , Văn Lang , Nxb Thanh Hóa ,128.0, Thiên Kim , Bìa mềm ,
Kỹ Thuật Trồng Bonsai (Tái Bản 2013),https://www.vinabook.com/images/thumbnails/product/240x/233150_p71755m001.jpg,Cây – cá cảnh,"  Thông tin tác giả    Trần Văn Huân 
                                                                                                                                            Trần Văn Huân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Văn Tích Lượm 
                                                                                                                                            Văn Tích Lượm
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cùng với sự phát triển của xã hội, nhu cầu của con người ngày càng được nâng cao. Việc trồng và thưởng thức cây bonsai do đó cũng trở thành một thú chơi phổ biến bên cạnh việc tạo ra thu nhập.Nhưng, để có được những cây kiểng bonsai vừa ý, đẹp và có giá trị đòi hỏi chúng ta phải thực hiện được một quá trình hoàn hảo gồm nhiều giai đoạn: làm vườn, kỹ thuật chuyên môn, nghệ thuật, triết học và trồng bonsai",95.0, 13 x 19 cm , 12/2013 , Văn Lang , Nxb Mỹ thuật ,256.0," Trần Văn Huân , Văn Tích Lượm ", Bìa mềm ,
Bonsai Cho Mọi Nhà (Tái Bản 2014),https://www.vinabook.com/images/thumbnails/product/240x/219048_p69488mbt.jpg,Cây – cá cảnh,"  Thông tin tác giả    Penelope O'sullivan     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nắm bắt bí quyết tạo dáng và chăm sóc bonsai để có một chậu cảnh độc đáo sẽ khiến nơi bạn ở thật sự sinh động vì đã được thiên nhiên hiện diện, hòa điệu vào không gian sống của riêng mình.Bonsai cho mọi nhà hướng dẫn phương pháp tạo dáng các kiểu bonsai với nhiều hình ảnh minh họa phong phú, nổi bật nét tinh tế của một chậu bonsai đạt đỉnh cao nghệ thuật.Mời bạn đón đọc. ",55.0, 13.5 x 20.5 cm , 03/2014 , Văn Lang , Nxb Mỹ thuật ,196.0, Penelope O'sullivan , Bìa mềm , Nguyễn Kim Dân 
Làm Quen Với Nghệ Thuật Bonsai (Tái Bản 2013),https://www.vinabook.com/images/thumbnails/product/240x/205333_p67594m001.jpg,Cây – cá cảnh,"  Thông tin tác giả    Hoài Anh 
                                                                                                                                            Hoài Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bonsai là loại nghệ thuật tạo dáng truyền thống, độc đáp của thời cổ Trung Quốc. Bonsai là dùng cây kiểng, đá núi và các loại vật liệu khác, qua nghệ thuật gia công và chăm sóc tỉ mỉ tạo thành tác phẩm nghệ thuật. Bonsai là hình ảnh thu nhỏ của vẻ đẹp thiên nhiên. Qua nghệ thuật gia công từng phiến đoạn cảnh đẹp thiên nhiên, có tư thế sinh động đẹp đẽ. Trong sáng tác thường ẩn chứa một nội dung tư tưởng và kết hợp nghệ thuật thi hoạ, gốm sứ, điêu khắc để bonsai hoàn mỹ mang ý thơ nét hoạ ngây ngất lòng người. Bonsai cũng có sức sống của điêu khắc nghệ thuật. Nó tuỳ theo sự biến hoá của thời tiết đem lại màu sắc với cảnh quan nghệ thuật khác nhau.Khi sở hữu một số cây, một số hoa của riêng mình, người chơi bonsai thường có cảm giác “làm chủ thiên nhiên”. Ngoài thiên nhiên, có hoa đấy, có cây đấy, nhưng những hoa, những cây kia là của đất trời, của mọi người. Chúng mọc, chúng phát triển và ra hoa kết quả ngoài sự can thiệp của con người. Vì thế, bonsai đã đi vào cuộc sống như một mỹ tục, một thú chơi tao nhã thể hiện sự thanh thoát trong tâm hồn của mỗi người chơi.Con người càng văn minh càng tiến bộ, càng ăn nên làm ra thì càng coi bonsai như một nhu cầu không thể thiếu trong đời sống của mình. Dù là trong phố phường chật hẹp người ta cũng trồng những chậu bonsai, trong bồn và cả lan can…. để ngày ngày được ngắm cây, được tư tay vui tưới vào những giờ rảnh rỗi. Đây là cách giải trí vô cùng lành mạnh, không những chỉ hợp với người già mà còn với mọi người và mọi lứa tuổi.Việc sở hữu một chậu bonsai có giá trị là cả một trách nhiệm cao cả, đòi hỏi người chơi phải dày công nghiên cứu nghệ thuật trồng và chăm sóc cây. Những người yêu nghệ thuật bonsai cũng như người trồng bonsai vừa là những nghệ nhân - nghệ sĩ bẩm sinh, vừa là những người kỳ công khổ luyện. Bên cạnh sự nhẫn nại, niềm đam mê thực sự, họ phải trang bị cho mình những kiến thức cần thiết về lĩnh vực này. Cuốn sách “Làm quen với nghệ thuật Bonsai” sẽ giúp các bạn có những hiểu biết cơ bản nhất về bonsai, cũng như kỹ thuật trồng và chăm sóc cây, nhằm tạo ra những tác phẩm nghệ thuật giá trị.Mời bạn đón đọc. ",27.0, 13.5 x 20.5 cm , 2013 , Huy Hoàng , NXB Hồng Bàng ,160.0, Hoài Anh , Bìa mềm ,
"Trồng Mai - Kỹ Thuật Bón Tưới, Phòng Trừ Sâu Rầy - Bệnh Hại",https://www.vinabook.com/images/thumbnails/product/240x/175661_p62892mtrongmai.jpg,Cây – cá cảnh,"  Thông tin tác giả    Phúc Quyên     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Việt Chương 
                                                                                                                                            Việt Chương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Từ xa xưa, như một tập tục, cứ đến ngày 30 tết, dù nghèo hay giàu, dù sang hay hèn, trên bàn thờ ông Vải của nhà nào cũng bày bình hoa mai chưng cúng suốt ba ngày tết. Nhiều nhà còn chọn những cây mai có dáng thế đẹp mà cành nào cũng oằn sai những nụ hoa chớm nở chưng trong phòng khách với mơ ước những cây mai đó sẽ đem lại sự may mắn và hạnh phúc cho gia đình.Hoa mai với sắc vàng tươi tắn, rực rỡ đối với người dân Nam bộ từ ngàn đời nay tượng trưng cho sự may mắn, thịnh vượng và hạnh phúc tràn đầy.Phòng trừ sâu rầy và bệnh hại cho cây mai là công việc mà bất cứ người trồng mai nào thời nay cũng phải đặc biệt quan tâm tới, nhằm tạo ra những cây mai đẹp và hoàn thiện nhất. Nhưng, điều này lại khác biệt với người trồng mai thời xưa.Ngày nay, cây mai đã trở thành một thứ hàng hóa để đem ra mua bán như các hàng hóa khác ngoài chợ. Vì vậy nghề trồng mai ngày nay được xem là một nghề dễ hái được nhiều tiền.Muốn trồng được những cây mai đẹp đạt giá bán cao ngất ngưỡng như vậy, người làm vườn, tức là nghệ nhân hoa kiểng phải dày công chăm sóc tưới bón, và hằng ngày quan tâm đến việc phòng trị các loài sâu rầy và bệnh hại cho cây.Mời bạn đón đọc. ",35.0, 13 x 19 cm , 03/2015 , Văn Lang , Nxb Mỹ thuật ,120.0," Phúc Quyên , Việt Chương ", Bìa mềm ,
Bonsai,https://www.vinabook.com/images/thumbnails/product/240x/152884_p58975mbonsai.jpg,Cây – cá cảnh,"  Thông tin tác giả    Kunio Kobayashi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi Bonsai bắt đầu phổ biến trên toàn thế giới qua cuộc Triển lãm Quốc tế Osaka năm 1970, Liên đoàn Bonsai Thế giới (WBFF) và Hiệp hội Bonsai Châu Á - Thái Bình Dương (ASPAC) lần lượt được thành lập, “Bonsai” đã trở thành một từ quốc tế. Ngày nay, có khoảng 120 loài cây được sử dụng trong việc tạo ra bonsai, và nhiều hơn một chút nếu tính cả các giống cây trồng. Bonsai (Hán-Việt: bồn tài) là loại cây cảnh nhỏ có dáng cổ thụ trồng trong chậu cảnh. Cái khác biệt giữa sự thưởng thức một cây cảnh thường và thưởng ngoạn bonsai, là trong cây cảnh thường, người ta tập trung nhiều hơn vào việc ngắm hoa và lá. Ở Bonsai, sự thưởng ngoạn nằm ở vẻ đẹp của toàn cây và sự hòa điệu của cây với chậu cảnh. Bonsai là một hình thức nghệ thuật cũng như nghệ thuật hội họa và nghệ thuật điêu khắc, nhưng tác phẩm của nghệ sĩ Bonsai chưa bao giờ hoàn tất, vì nó là tác phẩm sống và vẫn tiếp tục sinh trưởng qua thăng trầm, thử thách. Mỗi Bonsai là một tác phẩm duy nhất, không bao giờ có hai cây hoàn toàn giống nhau, kể cả chậu. Các nghệ sĩ Bonsai không chỉ tạo ra một cây cảnh mà còn cho nó một linh hồn. Giá trị của Bonsai không nằm trong chất liệu từ đó nó được tạo ra, mà nằm trong tâm hồn của người tạo ra nó và cả người thưởng ngoạn nó. Mời bạn đón đọc. ",145.0, 16 x 24 cm , 2014 , Văn Lang , Nxb Mỹ thuật ,224.0, Kunio Kobayashi , Bìa mềm ,
Nghệ Thuật Làm Vườn - Tái bản 12/2010,https://www.vinabook.com/images/thumbnails/product/240x/152531_p58882mbaitruoc.jpg,Cây – cá cảnh,"  Thông tin tác giả    Việt Thư 
                                                                                                                                            Việt Thư
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cải tạo khu vườn không phải là công việc nặng nhọc. Để cải tạo khu vườn, bạn chỉ cần có kế hoạch cụ thể, dụng cụ thích hợp, vốn kiến thức căn bản về làm vườn, và lòng nhiệt tình. Khởi đầu với một vài cải tạo trên quy mô nhỏ sẽ không tốn quá nhiều thời gian và tiền bạc. Quyển sách này sẽ giúp bạn cảm thấy lạc quan về khu vườn, khơi dậy niềm cảm hứng, và thúc đẩy bạn giải quyết có căn cơ hơn.Mục lục:Cải tạo khu vườnTrồng câyTrồng cây trong chậuChăm sóc cây trồng",55.0, 13.5 x 21 cm , 12/2010 , Văn Lang , Nxb Mỹ thuật ,304.0, Việt Thư , Bìa mềm ,
Kỹ Thuật Trồng Hoa Và Cây Lá Trong Nước - Tái bản 2008,https://www.vinabook.com/images/thumbnails/product/240x/152339_p58868mbt.jpg,Cây – cá cảnh,"  Thông tin tác giả    Trương Lỗ Quy 
                                                                                                                                            Trương Lỗ Quy
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cây lá không cần chăm sóc nhiều mà vẫn mang lại giá trị thưởng ngắm cao. Đó chính là sức hấp dẫn của cây lá màu khiến nó được trồng nhiều trong nhà và trong các phòng ốc.Cuốn sách ""Kỹ thuật trồng hoa và cây lá trong nước"" là sự tổng kết kinh nghiệm thực tiễn trong nhiều năm nghiên cứu của tác giả. Hy vọng cuốn sách sẽ mang lại cho bạn đọc những giây phút tìm về với thiên nhiên thật thoải mái và bổ ích.Mục lục:Lời nói đầuCái nhìn tổng quan về cây lá màu trồng trong nướcThiết kế trồng tổ hợp cây lá màu trong nướcLựa chọn các loại cây lá màu trồng trong nướcLấy giống cây lá màu trồng trong nướcBình đựng cây lá màu trồng trong nướcChăm sóc cây lá màu trồng trong nướcNhững vấn đề thường gặp khi trồng cây lá màu trong nướcChẩn đoán bệnh thường gặp ở cây lá màu trồng trong nước",48.0, 13 x 19 cm , 2008 , Văn Lang , Nxb Mỹ thuật ,136.0, Trương Lỗ Quy , Bìa mềm , Nguyễn Kim Dân 
Tạo Dáng Cây Thế Bonsai,https://www.vinabook.com/images/thumbnails/product/240x/150906_p58683mbt.jpg,Cây – cá cảnh,"  Thông tin tác giả    Lan Anh 
                                                                                                                                            Lan Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Việc tạo ra một cây Bonsai là cả một quá trình nghệ thuật. Bằng bàn tay khéo léo tinh xảo và sự sáng tạo người nghệ sĩ Bonsai tái tạo thiên nhiên bằng cách thu nhỏ lại những chất liệu là cây thật. Để đáp ứng yêu cầu của bạn đọc, Tạo Dáng Cây Thế Bonsai phát hành với mục đích mang lại cho độc giả, những người yêu thích cây cảnh một phong cách mới mẻ và kỹ thuật điêu luyện để tạo ra một cây Bonsai độc đáo và ấn tượng. Với cách cắt tỉa, tạo dáng, tạo ấn tượng hy vọng sẽ mang lại cho bạn đọc những cây Bonsai như ý.Mời bạn đón đọc. ",25.0, 13 x 19 cm , 2010 , PandaBooks , Nxb Từ điển Bách khoa ,116.0, Lan Anh , Bìa mềm ,
Cây Kiểng Bonsai Trong Nhà - Tái bản 03/2012,https://www.vinabook.com/images/thumbnails/product/240x/149040_p58501mxx218.jpg,Cây – cá cảnh,"  Thông tin tác giả    Werner M. Busch     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thuật ngữ bonsai có nghĩa là một cây trồng thu gọn,
 thông thường là một cây hoặc một bụi cây được trồng trong chậu nhỏ. Về 
hình dáng nó giống mộtcây trưởng thành ngoài thiên nhiên,
 nhưng thông qua việc sử dụng những kỹ thuật uốn nắn người ta thu gọn 
chúng thành nhiều dạng khác nhau. Những cây kiểng bonsai thông thường 
không được trồng quá một thước về chiều cao. Tuy
 nhiên, dường như có ít người nhận thức được điều này. Bởi vì hầu hết 
hình ảnh mà chúng ta biết về cây kiểng bonsai đều bị ảnh hưởng theo 
những chủng loại cây đặc biệt mà chúng ta nhìn thấy phổ biến. Những cây 
này không phải là những tác phẩm được các nghệ nhân sáng tạo, uốn nắn 
một cách tỉ mỉ, chi tiết, mà là những cây kiểng bonsai có bán nhiều nơi 
cho những người nuôi trồng cây kiểng. Những loại cây này là các sản phẩm
 chỉ được gia công một cách sơ sài, thường được uốn nắn tạo hình thể, 
dáng thế mà gần như chỉ được tỉa xén một lần. Chúng trông giống một cây 
trồng kỳ quặc hơn là một cây trưởng thành tự nhiên. Ban
 đầu những cây kiểng bonsai được du nhập từ Nhật Bản vào Châu Âu. Trong 
điều kiện khí hậu mới, những cây trồng của Nhật Bản được nuôi trồng bên 
ngoài nhà, hoặc sân vườn. Sau đó càng ngày càng có nhiều người biết đến 
nghệ thuật nuôi trồng cây kiểng bonsai và bắt đầu nghiên cứu một cách 
chuyên sâu hơn. Việc này rất hợp lý cho những ai không có sân vườn hoặc 
lan can vì họ vẫn có thể nuôi trồng, chăm sóc cây cảnh ngay bên trong 
nhà. trước đó không lâu những loại cây trồng này đã bắt đầu được du nhập
 từ Trung Quốc. Từ thời tiền sử những loại cây
 cỏ đã có một sự quyến rũ đặc biệt đối với con người. Cây cỏ đã từng là 
một chủ đề của vô số câu chuyện, các huyền thoại và các bài ca. Bất cứ 
ai không có sân vườn, thì nghệ thuật nuôi trồng cây kiểng bonsai sẽ tạo 
ra cơ hội để họ tiếp cận với những sáng tạo ấn tượng nhất gắn liền với 
thiên nhiên. Mối quan hệ này có thể đơn giản là một hình thức của công 
việc làm vườn ngay bên trong nhà, ngoài ra nó cũng có thể là một phương 
diện nghệ thuật. Một phần tạo nên sự quyến rũ 
của những cây kiểng bonsai là do nguồn gốc của những chủng loại ngoại 
lai của cây trồng. Bên cạnh đó cây cũng giúp cho những người làm vườn 
ngay trong nhà có cơ hội phát huy kiến thức của họ về thực vật học và áp
 dụng điều đó cho những cây cảnh mà họ nuôi trồng, chăm sóc. Từ đó nảy 
sinh sự sáng tạo. Những người am hiểu sự sáng tạo. những người am hiểu 
có thể tạo một bộ sưu tập cây kiểng bonsai, trang hoàng nhà cửa của họ 
bằng một cách thức ấn tượng nhất.Mời bạn đón đọc. ",65.0, 13 x 19 cm , 03/2012 , Văn Lang , Nxb Mỹ thuật ,188.0, Werner M. Busch , Bìa mềm , Lê Quốc Nghi 
Tạo Dáng Bonsai - Tái bản 06/2012,https://www.vinabook.com/images/thumbnails/product/240x/145535_p58188mxx798.jpg,Cây – cá cảnh,"  Thông tin tác giả    Nguyễn Kim Dân 
                                                                                                                                            Nguyễn Kim Dân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nghệ thuật cắt tỉa và tạo dáng bonsai đã có ở Trung
 Hoa ít nhất từ thế kỷ 17. Penjing, một dạng cây kiểng nghệ thuật cổ, 
được dịch là “Phong cảnh trong chậu hay đĩa”, Làng nghệ thuật tạo phố 
cảnh thu nhỏ. Với 17 kiểu phong cảnh được mô tả nổi bật, đặc sắc trong 
cuốn “Tạo dáng Bonsai” không chỉ hấp dẫn người đọc bằng những chỉ dẫn và
 hình minh hoạ rõ ràng, cụ thể, sắc nét mà còn giải thích về cách toạ 
dáng, cách trồng và chọn lựa vị trí cho các yếu tố trong phong cảnh, 
cách chăm sóc cây… giúp bạn có thể tạo bầu không khí trong lành, dễ chịu
 và tâm hồn thanh thản cho ngôi nhà của mình từ những cây kiểng nghệ 
thuật. Mỗi phong cảnh là một tác phẩm nghệ thuật đặc sắc, được sáng tạo 
một cách khéo léo và tinh vi, mang đậm dấu ấn của điều khắc, hội họa và 
âm nhạc, tô điểm thêm sắc màu và dư vị cho cuộc sống của bạn. Mục lục: Lời giới thiệu Nguyện vật liệu Kỹ thuật Những cây kiểng nghệ thuật Thác nước Bát tiên Thạch lựu Núi hình ga trông nhà Lệ bách Phong đỏ Táo tây Kim thạch Lục long Hoa anh đào nở rộ Thần tài",82.0, 16 x 24 cm , 06/2012 , Văn Lang , Nxb Mỹ thuật ,128.0, Nguyễn Kim Dân , Bìa mềm ,
Kỹ Thuật Trồng & Uốn Tỉa Bonsai,https://www.vinabook.com/images/thumbnails/product/240x/140608_p57567mbiatruoc.jpg,Cây – cá cảnh,"  Thông tin tác giả    Việt Chương 
                                                                                                                                            Việt Chương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       KS. Nguyễn Việt Thái     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bonsai là loại kiểng lùn được trồng trong chậu cạn. Từ trước đến nay, hễ nói đến kiểng Bonsai thì nhiều người ngộ nhận cho rằng cây kiểng này có từ nguồn gốc tại Nhật, chứ không phải một nước nào khác.Bonsai thoát thai từ loại Bồn Cảnh của Trung Hoa, có từ lâu đời, có thể trước Công Nguyên của mấy ngàn năm. Thế nhưng mãi đến đời nhà Đường phong trào thưởng ngoạn kiểng cổ thụ trồng trong chậu cạn mới được giai cấp phong lưu của Trung Hoa ""phục hưng"" trở lại. Và từ đó thú chơi Bồn cảnh được phổ biến rộng rãi trong dân gian.Thú chơi Bồn cảnh từ đó mới được nhiều nước ở châu Á biết đến và du nhập về, trong đó có Nhật Bản",35.0, 13 x 19 cm , 12/2013 , Văn Lang , Nxb Mỹ thuật ,120.0," Việt Chương , KS. Nguyễn Việt Thái ", Bìa mềm ,
Cách Chọn Cây Mai Đẹp - Tái bản 02/2013,https://www.vinabook.com/images/thumbnails/product/240x/135457_xx238.jpg,Cây – cá cảnh,"  Thông tin tác giả    Việt Chương - Phúc Quyên 
                                                                                                                                            Việt Chương - Phúc Quyên
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mai là cây kiểng quí. Không những quí ở hoa, vì
 hoa mai biểu hiện cho niềm hạnh phúc, cho sự thịnh vượng và may mắn 
tràn đầy của ngày xuân mà còn quí ở dáng thế đẹp, nhất là ở cây mai lão 
nhiều năm tuổi. Một cây mai đẹp, theo thời 
giá, phải mua hơn chục triệu, vượt xa giá cả của nhiều giống kiểng khác.
 Do lẽ đó, đã chơi mai kiểng thì bất cứ ai cũng muốn chọn cho mình một 
cây mai đẹp, như vậy nói không bõ công chăm sóc, vun bón. Nhưng, thế nào là một cây mai đẹp? Và với phương pháp nào, với kỹ thuật nào sẽ giúp ta tự trồng và uốn sửa được một cây mai đẹp? Lời giải đáp đã được tác giả trình bày đầy đủ trong tập sách này. Mời bạn đón đọc.  ",30.0, 13 x 19 cm , 02/2013 , Văn Lang , Nxb Mỹ thuật ,88.0, Việt Chương - Phúc Quyên , Bìa mềm ,
Phương Pháp Nuôi Cá La Hán,https://www.vinabook.com/images/thumbnails/product/240x/48304_54847.jpg,Cây – cá cảnh,"  Thông tin tác giả    Việt Chương - Phúc Nguyên 
                                                                                                                                            Việt Chương - Phúc Nguyên
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Phương Pháp Nuôi Cá La HánThật ra, chúng ta đã biết được gì nhiều về giống cá la Hán? Đây không phải là giống cá cảnh thuần chủng như hầu hết các giống cá cảnh khác mà trước đây chúng ta đã từng nuôi như: Cá lia thia Xiêm, cá Chép, cá Ông tiên, cá Dĩa, cá Rồng, cá Tai Tượng Phi châu",25.0, 13 x 19 cm , 06/2012 , Văn Lang , Nxb Mỹ thuật ,108.0, Việt Chương - Phúc Nguyên , Bìa cứng ,
Kỹ Thuật Trồng & Kinh Doanh Kiểng,https://www.vinabook.com/images/thumbnails/product/240x/49050_55593.jpg,Cây – cá cảnh,"  Thông tin tác giả    Việt Chương 
                                                                                                                                            Việt Chương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Nguyễn Việt Thi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Kỹ Thuật Trồng & Kinh Doanh KiểngXương rồngXương rồng Bát TiênSứ Thái LanHoa kiểng từ ngàn đời nay được coi là thú tiêu khiển tao nhã, lại có lợi ích to lớn trong việc di dưỡng tinh thần, bồi bổ trí tuệ, đồng thời là phương thuốc vô cùng hiệu nghiệm trong việc làm dịu bớt những căng thẳng, những ức chế di nhiều hệ lụy từ cuộc sống xô bồ mang lại cho mọi người. Đó là điều bất cứ ai cũng dễ dàng nhận biết được.Trong tập sách này, chúng tôi sẽ cố gắng trình bày những điểm chính yếu với văn phong dễ hiểu về phương pháp nhân giống cũng như kỹ thuật trồng kiểng Xương rồng, để giúp những ai chưa hiểu biết nhiều về loại kiểng này",25.0, 13 x 19 cm , 09/2012 , Văn Lang , Nxb Mỹ thuật ,112.0," Việt Chương , Nguyễn Việt Thi ", Bìa mềm ,
