,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, nhà phát hành, nhà xuất bản, số trang, định dạng, ngôn ngữ, tác giả
314,Giáo Trình Luật Thương Mại - Tập II*,https://www.vinabook.com/images/thumbnails/product/240x/18116_p24531.jpg,Luật Thương mại,," Chương 9: Mua bán hàng hóa    1/ Khái quát về mua bán hàng hóa    2/ Hợp đồng mua bán hàng hóa    3/ Mua bán hàng hóa qua sở giao dịchChương 10: Pháp luật về dịch vụ trung gian thương mại    1/ Khái quát về dịch vụ trung gian thương mại và pháp luật về dịch vụ trung gian thương mại    2/ Đại diện cho thương nhân    3/ Môi giới thương mại    4/ Ủy thác mua bán hàng hóa    5/ Đại lý thương mạiChương 11: Pháp luật về xúc tiến thương mại của thương nhân    1/ Khái quát chung về xúc tiến thương mại và pháp luật về xúc tiến thương mại    2/ Khuyến mại    3/ Quảng cáo thương mại    4/ Trưng bày giới thiệu hàng hóa, dịch vụ    5/ Hội chợ, triễn lãm thương mạiChương 12: Đấu giá hàng hóa và đấu thầu hàng hóa, dịch vụ    1/ Đấu giá hàng hóa    2/ Đấu thầu hàng hóa, dịch vụChương 13: Pháp luật về vận chuyển, giao nhận và giám định hàng hóa    1/ Dịch vụ vận chuyện hàng hóa    2/ Dịch vụ giao nhận hàng hóa    3/ Dịch vụ giám địnhChương 14: Pháp luật về sở hữu công nghiệp trong hoạt động thương mại    1/ Tính thương mại của quyền sở hữu công nghiệp    2/ Những vấn đề cơ bản của pháp luật về sở hữu công nghiệp trong hoạt động thương mạiChương 15: Khái quát về phá sản và pháp luật phá sản    1/ Khái quát về phá sản    2/ Khái quát về pháp luật phá sảnChương 16: Thủ tục phá sản doanh nghiệp, hợp tác xã    1/ Nộp đơn yêu cầu và mở thủ tục phá sản    2/ Phục hồi hoạt động kinh doanh    3/ Thanh lý tài sản, các khoản nợ    4/ Tuyên bố doanh nghiệp, hợp tác xã bị phá sảnChương 17: Các phương thức giải quyết tranh chấp thương mại    1/ Khái quát về tranh chấp thương mại và phương thức giải quyết tranh chấp thương mại    2/ Thương lượng và hòa giải    3/ Trọng tài thương mại    4/ Tòa ánChương 18: Thủ tục giải quyết tranh chấp thương mại bằng trọng tài thương mại    1/ Các nguyên tắc giải quyết tranh chấp thương mại bằng trọng tài    2/ Thẩm quyền của trọng tài thương mại    3/ Trình tự giải quyết tranh chấp tại trọng tài thương mại    4/ Thi hành quyết định trọng tài. ",51.000,,,,,,,,,,,,, 600.00 gam , 14.5x20.5 cm ,, 2006 , Kinh Tế , Nxb Công an nhân dân , 504 ,,,
315,Pháp Luật Chống Bán phá Giá Hàng Nhập Khẩu Tại Việt Nam,https://www.vinabook.com/images/thumbnails/product/240x/18002_p24416.jpg,Luật Thương mại,, Nội Dung:Chương 1: Những vấn đề lý luận về bán phá giá hàng nhập khẩu trong thương mại quốc tế1. Bản chất của hành vi bán phá giá2. Phân loại bán phá giá hàng hoá3. Cơ sở xác định yêu cầu điều chỉnh pháp luật đối với hành vi bán phá giá hàng nhập khẩuChương 2: Pháp luật chống bán phá giá hàng nhập khẩu tại Việt Nam - thực trạng và hướng hoàn thiện1. Quá trình hội nhập kinh tế quốc tế và vấn đề xây dựng pháp luật chống bán giá tại Việt Nam2. Pháp luật chống bán phá giá tại Việt Nam3. Những vấn đề đặt ra khi áp dụng pháp lệnh chống bán phá giá hàng hoá nhập khẩu tại Việt Nam4. Một số đề xuất trong việc hoàn thiện pháp luật và cơ chế thực hiện pháp luật chống bán phá giá tại Việt Nam. ,21.000,,,,,,,,,,,,, 260.00 gam , 14.5x20.5 cm ,, 2005 , Kinh Tế , Nxb Tư pháp , 216 ,,,
316,"Hướng Dẫn Quy Trình, Thủ Tục Thuế - Hải Quan",https://www.vinabook.com/images/thumbnails/product/240x/17785_p24194.jpg,Luật Thương mại,," Hướng Dẫn Quy Trình, Thủ Tục Thuế - Hải Quan:Cải cách thủ tục hành chính về thuế và hải quan là mộ khâu rất quan trọng, mang ý nghĩa đột phá trong việc cải cách hành chính về thuế, hải quan nói riêng và cải cách hành chính Nhà nước nói chung. Với mong muốn các tổ chức, đơn vị, cá nhân nắm rõ các thủ tục, quy trình trong việc kê khai đăng ký mã số thuế, thủ tục kê khai nộp các loại thuế; hoàn thuế, quyết toán thuế, thủ tục kiểm tra, giám sát hải quan, kiểm tra sau thông quan đối với hàng hoá xuất nhập khẩu",75.000,,,,,,,,,,,,, 520.00 gam , 17x24 cm ,, 10/2006 , NXB Tài Chính , NXB Tài Chính , 384 ,,,
317,Danh Mục Và Thuế Suất Đối Với Hàng Hoá Xuất - Nhập Khẩu - Tái bản 02/07/2007,https://www.vinabook.com/images/thumbnails/product/240x/17769_p24178.jpg,Luật Thương mại,," Danh Mục Và Thuế Suất Đối Với Hàng Hoá Xuất - Nhập Khẩu:(Tái bản có sửa đổi, bổ sung theo Quyết định 78/2006/QĐ-BTC ngày 29/12/2006 của Bộ trưởng Bộ Tài Chính)Ngày 29 tháng 12 năm 2006, Bộ trưởng Bộ Tài chính ban hành Quyết định số 78/2006/QĐ-BTC về việc sửa đổi thuế suất thuế nhập khẩu ưu đãi của một số nhóm mặt hàng để thực hiện Nghị định thư gia nhập Hiệp định thành lập Tổ chức Thương mại thế giới (WTO) của Việt Nam. Đã có hàng nghìn dòng thuế được thay đổi theo văn bản này và áp dụng cho các Tờ khai hàng hoá nhập khẩu đăng ký với cơ quan hải quan kể từ ngày 11/01/2007, ngày Việt Nam chính thức trở thành thành viên đầy đủ của WTO, ngày các cam kết phải được thực hiện.Cuốn sách ""Danh Mục Và Thuế Suất Đối Với Hàng Hoá Xuất - Nhập Khẩu"" nhằm đáp ứng nhu cầu của đông đảo cá nhân, tổ chức có quan tâm. Nhiều văn bản khác của Nhà nước mới được ban hành có liên quan cũng được tập hợp và cập nhật.Danh mục hàng hoá xuất - nhập khẩuBiểu thuế nhập khẩu ưu đãiBiểu thuế thực hiện chương trình CEPT/AFTA 2007, 2008Biểu thuế GTGT cho hàng nhập khẩu Thuế nhập khẩu áp dụng hạn ngạch thuế quanThuế nhập khẩu theo các thoả thuận song phương - giữa Việt Nam với Thái Lan, Lào và CampuhiaThuế nhập khẩu theo hiệp định khung ASEAN - Trung Quốc 2004 - 2008Biểu thuế xuất khẩuCác văn bản hướng dẫn thực hiệnMục lục:Phần thứ nhất: Danh mục và thuế suất đối với hàng nhập khẩuPhần 1: Động vật sống, các sản phẩm từ động vậtPhần 2: Các sản phẩm thực vậtPhần 3: Mỡ và dầu động vật hoặc thực vật và các sản phẩm tách từ chúng; mỡ ăn được đã chế biến; các loại sáp động vật hoặc thực vậtPhần 4: Thực phẩm chế biến, đồ uống, rượu mạnh và giấm, thuốc lá và các nguyên liệu thay thế thuốc lá đã chế biếnPhần 5: Khoáng sảnPhần 6: Sản phẩm của ngành công nghiệp hoá chất hoặc các ngành công nghiệp liên quanPhần 7: Plastic và các sản phẩm bằng Plastic, cao su và các sản phẩm bằng cao suPhần 8: Da sống, da thuộc, da lông và các sản phẩm từ da, bộ đồ yên cương, hàng du lịch, túi xách tay và các loại đồ tương tự, các mặt hàng từ ruột động vật (trừ tơ từ ruột con tằm)Phần 9: Gỗ và các mặt hàng bằng gỗ, than từ gỗ, lie và các sản phẩm bằng lie, các sản phẩm từ rơm, cỏ giấy hoặc các vật liệu tết, bện khác, các sản phẩm bằng liễu gai và song mâyPhần 10: Bột giấy từ gỗ hoặc từ vật liệu xơ sợi xenlulo khác; giấy loại hoặc cáctông loại; giấy; cáctông và các sản phẩm của chúngPhần 11: Nguyên liệu dệt và sản phẩm dệtPhần 12: Giày, dép, mũ và các vật đội đầu khác, ô, dủ, ba toong, gậy tay cầm có thể chuyển thành ghế, roi gậy điều khiển, roi điều khiển súc vật thồ kéo và các bộ phận của các loại hàng trên; lông vũ chế biến và các sản phẩm làm từ lông vũ chế biến, hoa nhân tạo; các sản phẩm làm từ tóc ngườiPhần 13: Sản phẩm bằng đá, thạch cao, xi măng, amiăng, mi-ca hoặc các vật liệu tương tự; đồ gốm; thuỷ tinh và các sản phẩm bằng thuỷ tinhPhần 14: Ngọc trai tự nhiên hoặc nuôi cấy, đá quý hoặc đá bán quý, kim loại quý, kim loại được dát phủ kim loại quý và các sản phẩm của chúng, đồ kim hoàn giả, tiền kim loạiPhần 15: Kim loại cơ bản và các sản phẩm bằng kim loại cơ bảnPhần 16: Máy và các trang thiết bị cơ khí; thiết bị điện; các bộ phận của chúng; thiết bị ghi và tái tạo âm thanh, thiết bị ghi và tái tạo hình ảnh truyền hình và âm thanh, và các bộ phận và phụ tùng của các thiết bị trênPhần 17: Xe cộ, phương tiện bay, tàu thuyền và các thiết bị vận tải liên hợpPhần 18: Dụng cụ, thiết bị và máy quang học, nhiếp ảnh, điện ảnh đo lường, kiểm tra độ chính xác, y tế hoặc phẫu thuật; đồng hồ cá nhân và đồng hồ thời gian khác; nhạc cụ; các bộ phận và phụ tùng của chúngPhần 19: Vũ khí, các bộ phận và phụ tùng của chúngPhần 20: Các mặt hàng khácPhần 21: Các tác phẩm nghệ thuật, đồ sưu tầm và đồ cổ.Phần thứ hai: Danh mục hàng hoá và thuế suất thuế nhập khẩu để áp dụng hạn ngạch thuế quanPhần thứ ba: Danh mục hàng hoá và thuế suất nhập khẩu của Việt Nam theo các thoả thuận song phương giữa Việt Nam với Thái Lan, Lào và CampuchiaPhần thứ tư: Danh mục hàng hoá và thuế suất thuế nhập khẩu của Việt Nam trong các năm 2004-2008 thực hiện hiệp định khung hợp tác kinh tế toàn diện ASEAN-Trung QuốcPhần thứ năm: Biểu thuế xuất khẩuPhần thứ sáu: Hệ thống các văn bản về danh mục và thuế suất, cơ chế quản lý điều hành đối với hàng hoá xuất nhập khẩu.Mời bạn đón đọc. ",350.000,,,,,,,,,,,,, 2800.00 gam , 20.5x29.5 cm ,, 02/2007 , NXB Tài Chính , NXB Tài Chính , 1200 ,,,
318,Hướng Dẫn Kê Khai Sử Dụng Hoá Đơn Và Xử Lý Vi Phạm Pháp Luật Về Thuế,https://www.vinabook.com/images/thumbnails/product/240x/17744_p24152.jpg,Luật Thương mại,," Hướng Dẫn Kê Khai Sử Dụng Hoá Đơn Và Xử Lý Vi Phạm Pháp Luật Về Thuế:In, phát hành, sử dụng và quản lý hoá đơn chứng từ thuế sao cho đúng quy định là vấn đề hết sức quan trọng đối với mỗi doanh nghiệp sản xuất kinh doanh, đây cũng là vấn đề được các cơ quan quản lý Nhà nước đặc biệt quan tâm.Cuốn sách ""Hướng dẫn kê khai, sử dụng hoá đơn và xử lý vi phạm pháp luật về thuế"" nhằm giúp cho quý doanh nghiệp, hộ kinh doanh và các nhà quản lý nắm vững các quy định về sử dụng hoá đơn chứng từ thuế, nhằm tránh các sai phạm không đáng có trong hoạt động sản xuất kinh doanh của mình.Mục lục:A. Các quyết định và hướng dẫn về hoá đơn, chứng từ thuế1. Nghị định số 89/2002/NĐ-CP ngày 07/11/2002 của Chính phủ quy định về việc in, phát hành, sử dụng, quản lý hoá đơn2. Thông tư số 120/2002/TT-BTC ngày 31/12/2002 của Bộ Tài Chính hướng dẫn thi hành Nghị định số 89/2002/NĐ-CP ngày 07/11/2002 của Chính phủ quy định về việc in, phát hành, sử dụng, quản lý hoá đơn3. Thông tư số 99/2003/TT-BTC ngày 23/10/2003 của Bộ Tài Chính hướng dẫn, sửa đổi, bổ dung thông tư số 120/2002/TT-BTC ngày 30/12/2002 của Bộ Tài Chính hướng dẫn thi hành Nghị định 89/2002/NĐ-CP ngày 07/11/2002 của Chính phủ quy định về việc in, phát hành, sử dụng, quản lý hoá đơn4. Thông tư liên tịch số 12/2007/TTLT-BTC-BTM-BCA ngày 28/02/2007 của liên bộ Bộ Tài Chính, Bộ Thương Mại, Bộ Công An hướng dẫn chế độ sử dụng hoá đơn, chứng từ đối với hàng hoá nhập khẩu lưu thông trên thị trường5. Quyết định số 85/2005/QĐ-BTC ngày 30/11/2005 của Bộ trưởng Bộ Tài Chính về việc in, phát hành và sử dụng các loại chứng từ thu tiền phí, lệ phí6. Quyết định số 44/TCT/QĐ/TVQT ngày 25/01/2005 của Tổng cục Trưởng Tổng cục Thuế về việc ban hành quy trình quản lý ấn chỉ thuế trên mạng máy tínhB. Xử lý vi phạm pháp luật về thuế1. Nghị định số 98/2007/NĐ-CP ngày 07/06/2007 của Chính phủ quy định về xử lý vi phạm pháp luật về thuế và cưỡng chế thi hành quyết định hành chính thuếMời các bạn đón đọc. ",70.000,,,,,,,,,,,,, 420.00 gam , 16x24 cm ,, 07/2007 , NXB Tài Chính , NXB Tài Chính , 320 ,,,
319,Luật Nhà Ở,https://www.vinabook.com/images/thumbnails/product/240x/255799_p72279mscan0001.jpg,"Luật Đất đai, nhà ở",," Luật nhà ở được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 8 thông qua ngày 25 tháng 11 năm 2014. Luật quy định về sở hữu, phát triển, quản lý, sử dụng nhà ở; giao dịch về nhà ở; quản lý nhà nước về nhà ở tại Việt Nam. Đối với giao dịch mua bán, cho thuê, cho thuê mua nhà ở thương mại của các doanh nghiệp, hợp tác xã kinh doanh bất động sản thì thực hiện theo quy định của pháp luật về kinh doanh bất động sản.Luật được áp dụng đối với  tổ chức, hộ gia đình, cá nhân có liên quan đến sở hữu, phát triển, quản lý, sử dụng, giao dịch về nhà ở và quản lý nhà nước về nhà ở tại Việt Nam. Luật gồm 13 chương, 183 điều; có hiệu lực thi hành từ ngày 1 tháng 7 năm 2015.Mời bạn đón đọc. ",25.000,,,,,,,,,,,,, 154.00 gam , 13 x 19 cm , 8935211182691 , 03/2017 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 168 , Bìa mềm , Tiếng Việt ,
320,Cẩm Nang Tra Cứu Pháp Luật Về Đất Đai,https://www.vinabook.com/images/thumbnails/product/240x/236585_p72263mimg086.jpg,"Luật Đất đai, nhà ở",," Các cuốn cẩm nang này được xây dựng trên cơ sở rà soát và tập hợp các văn bản pháp lý điều chỉnh đối với các lĩnh vực chính yếu ở Việt Nam với các tiêu chí: Tổng hợp toàn bộ các văn bản hướng dẫn thi hành của luật được đề cập và loại bỏ các văn bản không còn giá trị pháp lý tính đến ngày sách được xuất bản.Điều đáng chú ý là, bộ Cẩm nang tra cứu pháp luật này không chỉ là sự tập hợp đơn thuần các văn bản pháp luật có liên quan, mà quan trọng hơn, đã chỉ rõ được điều nào trong luật được hướng dẫn thi hành và được hướng dẫn bởi những nghị định nào, tiếp đến các điều trong nghị định lại được hướng dẫn bởi điều nào trong các thông tư. Nói cách khác, toàn bộ các quy định của pháp luật được đưa về một chỗ duy nhất, để thuận tiện cho việc tra cứu và áp dụng.Mời bạn đón đọc. ",82.000,,,,,,,,,,,,, 506.00 gam , 14.5 x 20.5 cm , 8935211181281 , 08/2016 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 496 , Bìa mềm , Tiếng Việt ,
321,101 Tư Vấn Pháp Luật Thường Thức Về Đất Đai,https://www.vinabook.com/images/thumbnails/product/240x/319669_p85185mscan0001.jpg,"Luật Đất đai, nhà ở",,"  Thông tin tác giả    Nguyễn Văn Khôi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bạn là người kinh doanh bất động sản? Bạn là người đã có đất nhưng đang gặp rắc rối về pháp lý, hay đơn giản là bạn đang chuẩn bị tìm mua 1 mảnh đất cho mình để xây nhà? Vấn đề đất đai rất phức tạp, nhưng tựu trung lại, có những nội dung cơ bản sau: cấp sổ đỏ, giao dịch chuyển nhượng đất, thuế chuyển nhượng đất, thu hồi đất, bồi thường khi thu hồi đất, thừa kế đất đai, chia tài sản là đất khi ly hôn, tranh chấp đất và thẩm quyền giải quyết tranh chấp đất, khởi kiện ra Tòa và thẩm quyền giải quyết của Tòa án; thi hành bản án của Tòa về tranh chấp đất đai",95.000,,,,,,,,,,,,, 286.00 gam , 14.5 x 20.5 cm , 9786049706950 , 09/2018 , Trí Tuệ , NXB Thanh Niên , 216 , Bìa mềm , Tiếng Việt , Nguyễn Văn Khôi 
322,Luật Đất Đai,https://www.vinabook.com/images/thumbnails/product/240x/236730_p72266mimg080.jpg,"Luật Đất đai, nhà ở",," Nội dung cuốn sách gồm những phần chính sau:Phần thứ nhất. Luật Đất đaiPhần thứ hai. Hướng dẫn thi hành Luật Đất đaiPhần thứ ba. Công tác điều chỉnh quy hoạch sử dụng đấtPhần thứ tư. Quy định về bồi thường, hỗ trợ, tái định cư khi Nhả nước thu hồi đấtPhần thứ năm. Quy định về đấu giá quyền sử dụng đất, miễn giảm tiền thuê đất, tiền sử dụng đấtMời bạn đón đọc. ",36.000,,,,,,,,,,,,, 264.00 gam , 14.5 x 20.5 cm , 8935211179868 , 08/2016 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 248 , Bìa mềm , Tiếng Việt ,
323,Luật Đất Đai Năm 2013 Và Các Văn Bản Hướng Dẫn Thi Hành,https://www.vinabook.com/images/thumbnails/product/240x/255812_p75495m002.jpg,"Luật Đất đai, nhà ở",," Nhằm giúp cho mọi người hiểu thêm về chế độ sở hữu đất đai, quyền hạn và trách nhiệm của Nhà nước đại diện chủ sở hữu toàn dân về đất đai và thống nhất quản lý đất đai, chế độ quản lý và sử dụng đất đai, quyền và nghĩa vụ của người sử dụng đất đối với đất đai thuộc lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, cuốn sách này được tuyển chọn từ những nội dung liên quan đến Luật Đất Đai năm 2013 và văn bản hướng dẫn thi hành để giới thiệu đến bạn đọc.Mời bạn đón đọc. ",107.000,,,,,,,,,,,,, 770.00 gam , 16 x 24 cm , 8935211190153 , 04/2017 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 604 , Bìa mềm , Tiếng Việt ,
324,"Luật Đất Đai 2014 - Luật Nhà Ở, Luật Kinh Doanh Bất Động Sản",https://www.vinabook.com/images/thumbnails/product/240x/134636_xx796.jpg,"Luật Đất đai, nhà ở",," Luật Đất Đai 2014 - Luật Nhà Ở, Luật Kinh Doanh Bất Động Sản
	Thực hiện Nghị quyết số 19-NQ/TW về tiếp tục đổi mới chính sách, pháp 
luật về đất đai trong thời kỳ đẩy mạnh toàn diện công cuộc đổi mới, tạo 
nền tảng để đến năm 2020 nước ta cơ bản trở thành nước công nghiệp theo 
hướng hiện đại. Tại kỳ họp thứ 6, Khóa XIII, ngày 29-11-2013 Quốc hội đã
 thông qua Luật Đất đai số 45/2013/QH13 (có hiệu lực thi hành từ 01-7-2014). 
	Theo đó, những điểm nổi bật nhất trong Luật Đất đai mới là mở rộng thời
 hạn giao đất nông nghiệp và hạn mức nhận chuyển quyền sử dụng đất; khắc
 phục hiệu quả việc giao đất, cho thuê đất một cách tràn lan; Đặc 
biệt, Luật Đất đai đã đổi mới vấn đề bồi thường, hỗ trợ, tái định 
cư khi Nhà nước thu hồi đất rất chi tiết và bổ sung những quy định rất 
quan trọng như: Quy định giá đất bồi thường không áp dụng theo bảng 
giá đất mà áp dụng giá đất cụ thể do UBND cấp tỉnh quyết định tại thời 
điểm quyết định thu hồi đất; khi thu hồi đất mà phải bố trí tái định 
cư thì phải thực hiện dự án tái định cư trước khi thu hồi đất. Bên cạnh 
đó, Chính phủ và các Bộ ngành cũng đã ban hành nhiều văn bản mới cụ thể 
như sau: NĐ số 188/2013/NĐ-CP ngày 20-11-2013 về phát triển và quản lý nhà ở xã hội; NĐ số 84/2013/NĐ-CP ngày 25-7-2013 quy định về phát triển và quản lý nhà ở tái định cư; TT số 30/2013/TT-BTNMT ngày
 14-10-2013 quy định thực hiện lồng ghép việc đo đạc lập hoặc chỉnh lý 
bản đồ địa chính và đăng ký, cấp Giấy chứng nhận quyền sử dụng đất, 
quyền sở hữu nhà ở và tài sản khác gắn liền với đất, xây dựng hồ sơ địa 
chính, cơ sở dữ liệu địa chính; TT số 26/2013/TT-BTNMT ngày 26-9-2013 hướng dẫn việc xác định diện tích đất loại trừ không tính vào giá trị doanh nghiệp; TT số 33/2013/TT-BTNMT ngày 25-10-2013 định mức kinh tế - kỹ thuật lưu trữ tài liệu đất đai; TT số 16/2013/TT-BXD ngày 16-10-2013 ngày 16-10-2013 sửa đổi, bổ sung về nội dung Thiết kế đô thị; NĐ số 121/2013/NĐ-CP ngày 10-10-2013 xử phạt vi phạm hành chính trong hoạt động xây dựng; kinh doanh bất động sản…Mời bạn đón đọc. ",72.000,,,,,,,,,,,,, 308.00 gam , 14.5 x 20.5 cm ,, 2014 , 45 Đinh Tiên Hoàng , NXB Hồng Đức , 312 , Bìa mềm ,,
325,Luật Đất Đai,https://www.vinabook.com/images/thumbnails/product/240x/134740_xx856.jpg,"Luật Đất đai, nhà ở",,"
																						Sáng 29/11, Quốc hội đã thông qua Luật Đất đai (sửa đổi) với 89,96% tổng số đại biểu tán thành. Luật Đất đai gồm 14 chương, 212 điều, sẽ có hiệu lực thi hành kể từ ngày 1/7/2014.Luật này quy định thu hồi đất vì mục đích quốc phòng, an ninh; để phát triển kinh tế-xã hội, vì mục đích quốc gia công cộng.Để thu hồi đất phải dựa vào căn cứ thu hồi đất quy định tại Điều 61, Điều 62 và kế hoạch sử dụng đất hằng năm cấp huyện đã được cơ quan Nhà nước có thẩm quyền phê duyệt, tiến độ sử dụng đất thực hiện dự án. Luật Đất đai (sửa đổi) đã quy định rõ thẩm quyền cho phép thu hồi đất nêu tại Điều 62 (thu hồi đất phục vụ phát triển kinh tế-xã hội, mục đích quốc gia, cộng đồng) để tránh tùy tiện trong thu hồi đất. Về Khung giá đất, Luật Đất đai sửa đổi nêu rõ: “Chính phủ ban hành khung giá đất định kỳ 5 năm một lần đối với từng loại đất, theo từng vùng. Để quý cơ quan đơn vị có được bộ toàn văn LUẬT ĐẤT ĐAI (sửa đổi) nxb Hồng Đức cho phát hành cuốn sách: Luật Đất ĐaiQuyển sách là tài liệu tham khảo rất cần thiết cho tất cả các cơ quan tư pháp, tòa án, các văn phòng luật sư, trường học và các công ty kinh doanh bất động sản, nhà đất… hiểu rõ hơn về quy định của pháp luật.Mời bạn đón đọc. ",32.000,,,,,,,,,,,,, 198.00 gam , 13 x 19 cm , 8935206513325 , 2014 , Kinh Đô 2 , NXB Hồng Đức , 256 , Bìa mềm ,,
326,Luật Đất Đai (Có Hiệu Lực Từ 01/07/2014),https://www.vinabook.com/images/thumbnails/product/240x/132957_a911.jpg,"Luật Đất đai, nhà ở",,"  Thông tin tác giả    Nhiều tác giả     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả    
																						So với Luật Đất đai 2003, Luật Đất đai mới có 14 chương với 212 điều, tăng 7 chương và 66 điều.Luật xác định rõ và quy định cụ thể những trường hợp mà Nhà nước phải thu hồi đất (như Hiến pháp vừa mới được thông qua) nhằm khắc phục, loại bỏ những trường hợp thu hồi đất làm ảnh hưởng đến quyền và lợi ích của người sử dụng đất đồng thời khắc phục một cách có hiệu quả những trường hợp thu hồi đất mà không đưa vào sử dụng, gây lãng phí, tạo nên các dư luận xấu trong xã hội.Luật Có hiệu lực từ 01/07/2014.Mời bạn đón đọc. ",41.000,,,,,,,,,,,,, 198.00 gam , 14.5 x 20.5 cm , 113000056444 , 03/2014 , 45 Đinh Tiên Hoàng , NXB Hồng Đức , 192 , Bìa mềm ,, Nhiều tác giả 
327,Luật Đất Đai Và Văn Bản Hướng Dẫn Thi Hành Mới Nhất,https://www.vinabook.com/images/thumbnails/product/240x/47186_53729.jpg,"Luật Đất đai, nhà ở",,"  Thông tin tác giả    Hoàng Anh 
                                                                                                                                            Hoàng Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Luật Đất Đai Và Văn Bản Hướng Dẫn Thi Hành Mới NhấtLuật đất đai quy định về quyền hạn và trách nhiệm của Nhà nước đại diện chủ sở hữu toàn dân về đất đai và thống nhất quản lý về đất đai, chế độ quản lý và sử dụng đất đai, quyền và nghĩa vụ của người sử dụng đất.Cuốn sách bao gồm Luật Đất Đai và văn bản hướng dẫn thi hành mới nhất, đã có hiệu lực thi hành.Mục lục:- Phần thứ nhất: Qui định chung- Phần thứ hai: Xử lí vi phạm hành chính- Phần thứ ba: Định giá đất, thu tiền sử dụng đất, thu hồi đất, bồi thường hỗ trợ và tái định cư- Phần thứ tư: Cấp giấy chứng nhận, quyền sử dụng đất- Phần thứ năm: Văn bản khácMời bạn đón đọc. ",89.000,,,,,,,,,,,,, 396.00 gam , 14.5 x 20.5 cm ,, 03/2013 , 45 Đinh Tiên Hoàng , NXB Hồng Đức , 412 , Bìa mềm ,, Hoàng Anh 
328,Pháp Luật Đất Đai Trong Hoạt Động Nghề Luật Sư,https://www.vinabook.com/images/thumbnails/product/240x/48322_54865.jpg,"Luật Đất đai, nhà ở",,"  Thông tin tác giả    TS. Nguyễn Minh Hằng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Để nâng cao hiệu quả công tác tư vấn, tranh tụng của các luật sư về đất đai, Nhà xuất bản Thông tin và truyền thông xuất bản cuốn sách ""Pháp Luật Đất Đai Trong Hoạt Động Nghề Luật Sư"" do TS. Nguyễn Minh Hằng chủ biên.Cuốn sách là tập hợp trí tuệ của các chuyên gia pháp ý đầu ngành về lĩnh vực đất đai nhằm nghiên cứu, phân tích và làm rõ cơ sở lý luận và thực tiễn của những yếu tố pháp lý trong các quy định của pháp luật được triển khai áp dụng trong thực tiễn hành nghề.Nội dung cuốn sách gồm 8 chương và được chia làm 3 phần chính:Phần 1. Tổng quan về pháp luật đất đai trong hoạt động nghề luật sưPhần 2. Kỹ năng tư vấn của luật sư trong lĩnh vực đất đaiPhần 3. Kỹ năng tranh tụng của luật sư trong lĩnh vực đất đaiCuốn sách cung cấp những kiến thức pháp luật và nhiều tình huống thực tiễn về pháp luật đất đai trong hoạt động hành nghề luật sư. Hy vọng rằng, cuốn sách không chỉ là tài liệu thực sự cần thiết dành cho các luật sư, các cán bộ quản lý tư pháp các cấp Trung ương, ngành, địa phương",65.000,,,,,,,,,,,,, 282.00 gam , 14.5 x 20.5 cm , 8935217100736 , 06/2013 , NXB Thông Tin và Truyền Thông ,, 288 , Bìa mềm ,, TS. Nguyễn Minh Hằng 
329,"Luật Đất Đai (Đã Được Sửa Đổi, Bổ Sung)",https://www.vinabook.com/images/thumbnails/product/240x/46024_52567.jpg,"Luật Đất đai, nhà ở",,"  Thông tin tác giả    Quốc Cường (Hệ thống hóa)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Luật Đất Đai (Đã Được Sửa Đổi, Bổ Sung) - Luật Đất Đai Số 13/2003/QH11 Của Quốc HộiLuật này quy định về quyền hạn và trách nhiệm của Nhà nước đại diện chủ sở hữu toàn dân về đất đai và hệ thống quản lý về đất đai, chế độ quản lý và sử dụng đất đai, quyền và nghĩa vụ của người sử dụng đất.Đối tượng áp dụng Luật này bao gồm:- Cơ quan nhà nước thực hiện quyền hạn và trách nhiệm đại diện chủ sở hữu toàn dân về đất đai, thực hiện nhiệm vụ thống nhất quản lý nhà nước về đất đai- Người sử dụng đất- Các đối tượng khác có liên quan đến việc quản lý, sử dụng đất.Mời bạn đón đọc.  ",29.000,,,,,,,,,,,,, 154.00 gam , 14.5 x 20.5 cm , 113000052567 , 12/2012 , 45 Đinh Tiên Hoàng , NXB Hồng Đức , 138 , Bìa mềm ,, Quốc Cường (Hệ thống hóa) 
