,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng, ngôn ngữ, người dịch
110,CAD Trong Kỹ Thuật Điện Tính Toán Thiết Kế Chống Sét - Chiếu Sáng Mạng Điện Động Lực Với Benji - Luxicon - Ecodial,https://www.vinabook.com/images/thumbnails/product/240x/22010_p28444.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Phạm Quang Huy 
                                                                                                                                            Phạm Quang Huy
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phùng Thị Nguyệt 
                                                                                                                                            Phùng Thị Nguyệt
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     CAD Trong Kỹ Thuật Điện Tính Toán Thiết Kế Chống Sét - Chiếu Sáng Mạng Điện Động Lực Với Benji - Luxicon - Ecodial:Công nghệ thông tin ngày nay được ứng dụng rộng rãi và phát triển tại các trường ngày càng mạnh. Trong lãnh vực Điện, nhiều chương trình CAD giúp việc tính toán nhanh, chính xác đạt hiệu quả cao cả về mặt kỹ thuật cũng như kinh tế. Chuyên đề này được biên soạn nhằm giới thiệu bạn đọc cách sử dụng 3 chương trình tính toán, thiết kế chống sét - chiếu sáng - Mạng điện động lực rất hiệu quả trong hệ thống điện đó là Benji, Luxicon và Ecodial.Mục lục:Lời giới thiệuBài tập 1: Tổng quan về BenjiBài tập 2: Chiếu sáng nội thấtBài tập 3: Thiết kế chiếu sáng siêu thịBài tập 4: Sử dụng Luminaire EditorBài tập 5: Chiếu sáng ngoại thấtBài tập 6: Chiếu sáng bảng hiệuBài tập 7: Chiếu sáng mặt tiềnBài tập 8: Chiếu sáng đườngBài tập 9: Cung cấp điện phân xưởngBài tập 10: Thiết đặt tham sốBài tập 11: Tính toán tổng công suấtBài tập 12: So sánh đặc tuyến làm việc tác động theo dòng điệnBài tập 13: Thiết kế cung cấp điện cho siêu thịBài tập 14: Thiết kế cung cấp đện cho phân xưởng sản xuấtPhụ lục A: Giới thiệu các đặc điểm kỹ thuậtPhụ lục B: Giới thiệu chương trình mớiMục lục.Mời bạn đón đọc. ",46.000,,,,,,,,,,,,, 410.00 gam , 14.5x20.5 cm , 8935048972489 , 11/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 416 ," Phạm Quang Huy , Phùng Thị Nguyệt ", Bìa mềm ,,
111,Bài Tập Lò Hơi,https://www.vinabook.com/images/thumbnails/product/240x/21998_p28432.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Đỗ Văn Thắng 
                                                                                                                                            Đỗ Văn Thắng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Trương Ngọc Tuấn 
                                                                                                                                            Trương Ngọc Tuấn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bài Tập Lò HơiCuốn sách ""Bài tập lò hơi"" dùng cho sinh viên các ngành Máy và thiết bị nhiệt lạnh, Kỹ thuật năng lượng, Kinh tế năng lượng trong việc nghiên cứu và học tập môn ""Lò hơi"". Cuốn sách cũng có ích cho các kỹ sư làm việc ở lĩnh vực thiết kế, chế tạo và vận hành lò hơi, đặc biệt bổ ích cho các cán bộ làm việc trong nhà máy nhiệt điện và những xí nghiệp có hệ thống cung cấp nhiệt.Để hiểu rõ và hoàn tất bài tập, sinh viên cần có kiến thức về kỹ thuật nhiệt, lý thuyết cháy, công nghệ lò hơi.Mục Lục:Chương 1: Tính toán các đặc tính của nhiên liệu năng lượngChương 2: Các tính toán sản phẩm cháy của nhiên liệuChương 3: Cân bằng nhiệt và hiệu suất của lò hơiChương 4: Tính toán buồng đốt và các bề mặt đốt bằng bức xạChương 5: Tính toán hàm lượng chất độc hại có trong sản phẩm cháyChương 6: Tính toán các bề mặt đối lưu kiểu ống xoắnChương 7: Cách tính toán bộ sấy không khí kiểu ống (TBII) và kiểu hoàn nhiệt (PBII)Chương 8: Tính toán các bề mặt đối lưu - bức xạPhụ lụcĐáp sốTài liệu tham khảo.Mời bạn đón đọc. ",61.000,,,,,,,,,,,,, 330.00 gam , 16x24 cm , 8935048980224 , 03/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 256 ," Đỗ Văn Thắng , Trương Ngọc Tuấn ", Bìa mềm ,,
112,Gia Công Trên Máy Tiện,https://www.vinabook.com/images/thumbnails/product/240x/21969_p28401.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Nguyễn Tiến Đào 
                                                                                                                                            Nguyễn Tiến Đào
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Gia Công Trên Máy Tiện:Cuốn ""Gia Công Trên Máy Tiện"" là một phần trong bộ tài liệu giới thiệu về công nghệ và kỹ năng gia công cơ khí. Đây là một trong những môn học có liên quan đến kiến thức phổ thông của các ngành kỹ thuật, kinh tế, sư phạm",40.000,,,,,,,,,,,,, 300.00 gam , 16x24 cm , 8935048970447 , 02/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 248 , Nguyễn Tiến Đào , Bìa mềm ,,
113,Điều Khiển Robot Công Nghiệp,https://www.vinabook.com/images/thumbnails/product/240x/21989_p28423.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Nguyễn Mạnh Tiến 
                                                                                                                                            Nguyễn Mạnh Tiến
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Điều Khiển Robot Công Nghiệp (Sách dùng cho giảng dạy ở các Trường Đại học kỹ thuật)Cuốn sách ""Điều Khiển Robot Công Nghiệp"" có nội dung là phân tích, tính toán cơ cấu cơ khí robot, thiết lập mô hình toán học, phân tích các cấu trúc và phương pháp thiết kế hệ thống điều khiển cho robot.Cuốn sách được biên soạn theo đề cương môn học robot Trường đại học Bách Khoa Hà Nội và các Trường Đại học, Cao đẳng khác. Sách gồm 9 chương được sắp xếp theo trình tự hợp lý, có nội dung cơ bản và chuyên sâu trong lĩnh vực kỹ thuật robot công nghiệp. Trong mỗi chương có các ví dụ minh hoạ và bài tập tự giải.Mục Lục:Chương 1: Tổng quan về robot công nghiệpTự động hoá và robot công nghiệpLịch sử phát triển của robotCác đặc tính của robot công nghiệpHệ thống chuyển động robotHệ thống điều khiển robotỨng dụng của RobotChương 2: Động học vị trí robotBiểu diễn ma trậnPhép biến đổiNghịch đổi đảo của ma trận phép biến đổiKhung toạ độ trong không gian làm việc của robotĐộng học thuận và ngựơc của các cấu hình robot điển hìnhĐộng học thuật robotBài tậpPhụ lụcChương 3: Động học vị trí vi saiDịch chuyển vi sai của một khung toạ độQuan hệ dịch chuyển vi sai của các khung toạ độQuan hệ dịch chuyển vi sai của robot trong không gian làm việcMa trận JacobienQuan hệ ma trận Jacobien và toán tử vi saiMa trận Jacobien nghịch đảoBài tậpChương 4: Động lực học robotBài toán động lực họcPhương trình LagrangePhương trình động lực học của cơ cấu robot 2 thanh nốiPhương trình động lực học của cơ cấu robot n thanh nối",42.000,,,,,,,,,,,,, 350.00 gam , 16x24 cm , 8935048971185 , 05/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 268 , Nguyễn Mạnh Tiến ,,,
114,cơ ứng dụng trong kỹ thuật - Tái bản 02/07/2007,https://www.vinabook.com/images/thumbnails/product/240x/21970_p28402.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Nguyễn Anh Tuấn 
                                                                                                                                            Nguyễn Anh Tuấn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Văn Hùng 
                                                                                                                                            Phạm Văn Hùng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ma Sát HọcÝ nghĩa to lớn của kỹ thuật ma sát đối với nền kinh tế quốc dân là ở chỗ, phần lớn máy móc bị hỏng không phải do gãy mà do mòn và do dư hỏng bề mặt ma sát trong các mối liên kết động. Phục hồi máy móc phải tốn phí nhiều tiền của, vật tư, hàng chục vạn công nhân phải tham gia công việc này, hàng vạn máy công cụ được sử dụng trong các phân xưởng sửa chữa.Ngoài việc giảm mòn và nâng cao tuổi thọ thiết bị máy móc, kỹ thuật ma sát còn có nhiệm vụ nghiên cứu các biện pháp giảm lực ma sát trong máy móc được thiết kế và đang vận hành. Chúng ta đều biết rằng hơn một nửa nhiên liệu dùng để chạy ô tô, đầu máy xe lửa và các phương tiện giao thông khác thực chất là để khắc phục trở lại do ma sát gây nên trong chi tiết máy.Mục Lục:Chương 1: Chất lượng bề mặt và tiếp xúc bề mặt của ma sátKhái niệm về chất lượng bề mặtCác thông số đặc trưng và trạng thái hình học bề mặt ma sátTrạng thái bề mặt của cặp ma sát trong quá trình tiếp xúcTiếp xúc ma sát của các bề mặt thựcChương 2: Ma sát ngoàiCác khái niệm cơ bản về ma sátPhân loại các dạng ma sátCác định luật cơ bản về ma sátBản chất ma sát ngoàiCác lý thuyết tính hệ số ma sátMột số khái niệm và định nghĩa về ma sát lănChương 3: Mòn vật liệuCác khái niệm và định nghĩa cơ bảnMột số cơ chế hình thành các phần tử mònPhân loại các dạng mònCác định luật cơ bản về mònBản chất của quá trình mònMột số phương pháp tính cường độ mòn của cặp ma sátTính mòn cặp ma sát theo lý thuyết cơ phân tửCác nhân tố ảnh hưởng đến cường độ mònẢnh hưởng của dòng điện và rung động đến mònChương 4: Tính mòn khớp ma sátMòn bề mặt và khớp ma sátCác phương pháp tính mòn khớp ma sátTính mòn khớp ma sát trong điều kiện biến dạng tiếp xúcTính mòn giới hạn Umax.Tài liệu tham khảoMời bạn đón đọc. ",35.000,,,,,,,,,,,,, 270.00 gam , 16x24 cm , 8935048970546 , 02/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 200 ," Nguyễn Anh Tuấn , Phạm Văn Hùng ",,,
115,"Bài Tập Sức Bền Vật Liệu - Tóm Tắt Lý Thuyết, Các Bài Giải Mẫu, Bài Tập Tự Giải Đề Thi Tuyển Sinh Sau Đại Học và Olympic",https://www.vinabook.com/images/thumbnails/product/240x/21962_p28394.jpg,Cơ khí - Chế tạo máy,," Bài Tập Sức Bền Vật Liệu - Tóm Tắt Lý Thuyết, Các Bài Giải Mẫu, Bài Tập Tự Giải Đề Thi Tuyển Sinh Sau Đại Học và Olympic:Trong hệ thống kiến thức nền tảng của kỹ sư các ngành Cơ Khí, Xây dựng công trình, Cầu đường,",59.000,,,,,,,,,,,,, 420.00 gam , 16x24 cm , 8935048980200 , 03/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 338 ,, Bìa mềm ,,
116,Lò Công Nghiệp,https://www.vinabook.com/images/thumbnails/product/240x/21026_p27449.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Phạm Văn Trí 
                                                                                                                                            Phạm Văn Trí
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Lò Công NghiệpTrong công nghiệp luyện kim, công nghiệp thuỷ tinh, gốm sứ, vật liệu xây dựng, người ta thực hiện phần lớn các quá trình công nghệ ở nhiệt độ cao hoặc rất cao. Những thiết bị có nhiệt độ cao trong công nghiệp được gọi là ""LÒ"". Ví dụ: lò nung kim loại, lò cao, lò luyện thép, lò nấu thuỷ tinh, lò ống quay sản xuất xi măng, lò nung vôi, lò khí hoá than, lò điện cảm ứng",72.000,,,,,,,,,,,,, 550.00 gam , 16x24 cm , 8935048980231 , 01/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 356 , Phạm Văn Trí , Bìa mềm ,,
117,Sổ Tay Lý Thuyết Cán Kim Loại,https://www.vinabook.com/images/thumbnails/product/240x/21062_p27487.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    A.I.Xelikov     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sổ Tay Lý Thuyết Cán Kim Loại:Sản phẩm kim loại cán nói chung và thép cán nói riêng được sử dụng rộng rãi trong nhiều ngành công nghiệp. Ở nước ta, trong những năm gần đây ngành công nghiệp phát triển khá mạnh mẽ. Nhằm góp một phần vào sự phát triển này, xin trân trọng giới thiệu với các bạn cuốn ""Sổ tay lý thuyết cán kim loại"".Trong cuốn sách này trình bày các nguyên lý biến dạng dẻo, lý thuyết biến dạng dẻo, mô tả các cơ tính của các kim loại và các hợp kim khi biến dạng nguội và biến dạng nóng, các tính quy luật biến dạng kim loại khi cán, xác định các lực, các mô men xoắn và công suất máy cán, cũng như sự cân bằng nhiệt của quá trình cán.Các công thức được đưa ra gồm các công thức lý thuyết và các công thức thực nghiệm, ngoài ra cần trình bày cả các phương pháp tính toán các thông số lực cơ bản của các quá trình cán và các ví dụ tính toán cụ thể. Tư liệu thực tế, cần thiết cho việc tính toán lực các quá trình biến dạng kim loại và hợp kim được trình bày dưới dạng các bảng và các đồ thị.Cuốn sách thực sư là một cẩm nang quý cho những người làm nghề cán kim loại, là một tư liệu hữu ích cho các sinh viên theo học ngành cơ khí.Mục lục:Chương 1. Các thành phần lý thuyết dẻoChương 2. Các cơ tính của các kim loại và các hợp kimChương 3. Các tính quy luật chuyển động và biến dạng kim loại khi cánChương 4. Lực cánChương 5. Mômen và công suất cánChương 6. Lý thuyết cán ngang và cán xoắn ốcChương 7. Sự cân bằng nhiệt các quá tình cán.Mời bạn đón đọc. ",60.000,,,,,,,,,,,,, 390.00 gam , 13x19 cm , 8935073038235 , 03/2008 , Văn Lang , Nxb Hải Phòng , 524 , A.I.Xelikov , Bìa mềm ,, Võ Trần Khúc Nhã 
118,Cơ Ứng Dụng Trong Kỹ Thuật - Tái bản 01/08/2008,https://www.vinabook.com/images/thumbnails/product/240x/20560_p26981.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Đặng Việt Cường 
                                                                                                                                            Đặng Việt Cường
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ Ứng Dụng Trong Kỹ Thuật:Như một nguyên tắc, các ngành kỹ thuật, công nghệ ở tất cả các bậc học đều cần phải và được trang bị các kiến thức về cơ học. Tuy nhiên, cơ học là một lĩnh vực rất rộng bao gồm nhiều môn học như cơ học lý thuyết, nguyên lý máy, chi tiết máy, sức bền vật liệu, cơ học kết cấu, lý thuyết đàn hồi, lý thuyết dẻo, lý thuyết từ biến",68.000,,,,,,,,,,,,, 480.00 gam , 16x24 cm , 8935048972106 , 01/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 372 , Đặng Việt Cường , Bìa mềm ,,
119,Kỹ Thuật Phay - Tái bản 10/07/2007,https://www.vinabook.com/images/thumbnails/product/240x/20571_p26992.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Nguyễn Tiến Đào 
                                                                                                                                            Nguyễn Tiến Đào
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Nguyễn Tiến Dũng 
                                                                                                                                            Nguyễn Tiến Dũng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Kỹ Thuật Phay:Cuốn sách ""Kỹ thuật phay"" là một phần trong bộ sách giới thiệu về công nghệ và kỹ năng gia công cơ khí. Đây là một trong những môn học có liên quan đến kiến thức phổ biến của các ngành kỹ thuật, kinh tế, sư phạm",35.000,,,,,,,,,,,,, 260.00 gam , 16x24 cm , 8935048972762 , 10/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 188 ," Nguyễn Tiến Đào , Nguyễn Tiến Dũng ", Bìa mềm ,,
120,"Cơ Sở Lập Trình Tự Động Hoá Tính Toán, Thiết Kế Với VB Và VBA Trong Môi Trường Autocad",https://www.vinabook.com/images/thumbnails/product/240x/20577_p26998.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Nguyễn Hồng Thái 
                                                                                                                                            Nguyễn Hồng Thái
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ Sở Lập Trình Tự Động Hoá Tính Toán, Thiết Kế Với VB Và VBA Trong Môi Trường Autocad:VBA là ngôn ngữ bậc cao cũng như ngôn ngữ Lisp đựơc tích hợp trong môi trường CAD. Nhưng dễ sử dụng và và quản lý cơ sở dữ liệu, thiết kế giao diện tốt hơn Lisp, phù hợp với việc tạo các phần mềm ứng dụng nhằm tự động hoá thiết kế.Trong tài liệu này tác giả trình bày những kiến thức cơ bản của VBA trong môi trường CAD, với nhiều ví dụ để độc giả thực hành lập trình theo sách.Sách được dùng để làm tài liệu giảng dạy lập trình tự động hoá thiết kế cho sinh viên nganh cơ điện tử B của trường Đại học Bách Khoa Hà Nội và các khoá đào tạo phát triển phần mềm ứng dụng tại trừơng Đại học Bách Khoa Hà Nội. Ngoài ra sách còn là tài liệu đào tạo các khoá lập trình tại Trung tâm Nghiên cứu kỹ thuật cơ khí chính xác trường Đại học Bách Khoa Hà Nội.Nội Dung:Lời nói đầuDanh mục các từ viết tắtChương 1: VB & VBA ngôn ngữ lập trình tự động hoá thiết kế trong môi trường ACADChương 2: Tổng quan về VBA trong môi trường CADChương 3: Toán tử và biểu thứcChương 4: Cấu trúc chương trìnhChưoơng 5: Quản lý môi trường CADChương 6: Vẽ các đối tượng cơ bản trong môi trường CADChương 7: Hiệu chỉnh các đối tượngChương 8: Hình cắt mặt cắtChương 9: Lớp và các thuộc tính của lớpChương 10: Phát triển ứng dụng với VBAChương 11: Ghi kích thước và dung saiChương 12: Làm việc với đối tượng BlockChương 13: Thiết kế mô hình ba chiềuChương 14: Vẽ các biên dạng phức tạp trong CADPhụ lục: Bảng tra cứuTài liệu tham khảo.Mời bạn đón đọc ",58.000,,,,,,,,,,,,, 440.00 gam , 19x27 cm , 8935048973103 , 01/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 260 , Nguyễn Hồng Thái ,,,
121,Thế Giới Phi Thường Của Máy Móc Và Kỹ Thuật,https://www.vinabook.com/images/thumbnails/product/240x/362649_p92516mmaymoc.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Colin Stuart     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thế giới phi thường của máy móc
và kỹ thuật là tựa sách thứ
3 thuộc lĩnh vực KỸ THUẬT, nằm trong loạt sách Giáo dục STEM, là phương thức
giáo dục tổng hợp gồm Khoa học - Công nghệ - Kỹ thuật - Toán học. Hãy cùng khám phá cách cách làm cho kẹp giấy bay lơ lửng trong không
khí, thiết kế nhà chọc trời, xây dựng tàu ngầm siêu hạng, thí nghiệm với bánh
răng và lò xo, và còn nhiều hơn thế nữa! Với hơn 30 thí nghiệm thần sầu tại nhà, các thông tin thực tế và số liệu
thống kê khó tin cùng minh họa ấn tượng, cuốn sách STEM tuyệt vời này sẽ giúp bạn
tinh thông rành rẽ mọi điều về kỹ thuật.

HÃY SẴN SÀNG KHÁM PHÁ THẾ GIỚI TUYỆT ĐỈNH CỦA KỸ
THUẬT!Mời bạn đón đọc. ",70.000,,,,,,,,,,,,, 160.00 gam , 19 x 26 cm , 8934974169871 , 20/10/2020 , NXB Trẻ , Nxb Trẻ , 80 , Colin Stuart , Bìa mềm , Tiếng Việt , Vũ Kim Ngân 
122,Gia Công Kim Loại,https://www.vinabook.com/images/thumbnails/product/240x/257283_p75286m032.jpg,Cơ khí - Chế tạo máy,," Trong các ngành sản xuất công nghiệp, nông nghiệp, giao thông vận tải",42.000,,,,,,,,,,,,, 198.00 gam , 16 x 24 cm , 8935075936850 , 09/2015 , Thăng Long , Nxb Lao động - Xã hội , 120 ,, Bìa mềm , Tiếng Việt ,
123,Cơ Sở Phương Pháp Phần Tử Hữu Hạn Trong Truyền Nhiệt,https://www.vinabook.com/images/thumbnails/product/240x/213637_p68759muntitled.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Trịnh Văn Quang      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Môn học Cơ sở truyền nhiệt trong chương trình đại học của các nước tiên tiến hiện nay chỉ mới dừng ở phương pháp Sai phân hữu hạn, còn phương pháp Phần tử hữu hạn (PTHH) chưa được đề cập đến. Vì thế, trong tính nhiệt, phương pháp PTHH còn là mới. Trên cơ sở một số bài giảng cho chương trình cao học ngành cơ khí, qua kinh nghiệm sử dụng phương pháp số trong các đề tài nghiên cứu giải các bài toán nhiệt thực tế, cũng như tham khảo các tài liệu trong và ngoài nước, chúng tôi biên soạn cuốn ""Cơ Sở Phương Pháp Phần Tử Hữu Hạn Trong Truyền Nhiệt"".Cuốn sách bao gồm 5 chương:- Chương 1: trình bày khái quát về các phương thức truyền nhiệt và tóm tắt các kết quả giải bài toán dẫn nhiệt bằng phương pháp giải tích- Chương 2: nêu các khái niệm cơ bản về các loại PTHH và các đại lượng đặc trưng của chúng- Chương 3: đề cập đến phương pháp thiết lập phương trình ma trận đặc trưng của PTHH trong dẫn nhiệt ổn định. Đây là phần lý thuyết toán quan trọng nhất trong phương pháp PTHH để tính nhiệt- Chương 4: đi vào giải một số bài toán dẫn nhiệt ổn định bằng phương pháp PTHH- Chương 5: thiết lập phương trình đặc trưng trong dẫn nhiệt không ổn định, các cách rời rạc theo thời gian của bài toán, từ đó giải một số bài toán dẫn nhiệt không ổn định bằng phương pháp PTHH.Cuốn sách có thể được tham khảo làm tài liệu giảng dạy cho chương trình cao học ngành cơ khí, động lực, chương trình đại học chuyên ngành nhiệt - lạnh, năng lượng và cũng có thể phục vụ cho công tác nghiên cứu về nhiệt trong các lĩnh vực xây dựng công trình, luyện kim",85.000,,,,,,,,,,,,, 440.00 gam , 19 x 27 cm , 9786047705474 , 03/2013 , Tác giả Trịnh Văn Quang , Nxb Thế giới ,, Trịnh Văn Quang , Bìa mềm , Tiếng Việt ,
124,Giáo Trình Lập Chương Trình Gia Công Sử Dụng Chu Trình Tự Động Bù Dao Tự Động Trên Máy CNC (Dùng Cho Trình Độ Cao Đẳng Nghề),https://www.vinabook.com/images/thumbnails/product/240x/33241_39782.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Bùi Thanh Trúc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Minh Đạo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đây là giáo trình được xây dựng và soạn thảo trên cơ sở chung trình khung quốc gia về đào tạo nghề Cắt gọt kim loại ban hành kèm theo Quyết định số 30/2008/QĐ-BLĐTBXH ngày 04/04/2008 của Bộ trường Bộ Lao động - Thương binh và Xã hội. Với giáo trình này, người dạy và người học có thể nhanh chóng truyền đạt và tiếp thu đầy đủ những kiến thức về lập chương trình gia công sử dụng chu trình tự động trên máy tiện và máy phay CNC. Giúp cho người học có khả năng ứng dụng công nghệ hiện đại trong ngành Cắt gọt kim loại nhằm nâng cao hiệu quả để chế tạo các chi tiết cơ khí đặc biệt là chế tạo các khuôn mẫu chính xác.Mời bạn đón đọc. ",27.000,,,,,,,,,,,,, 190.00 gam , 14.5 x 20.5 cm , 8935206502770 , 04/2010 , Kinh Đô 2 , Nxb Lao động , 192 ," Bùi Thanh Trúc , Phạm Minh Đạo ", Bìa mềm ,,
125,Giáo Trình Gia Công Trên Máy CNC - Dùng Cho Trình Độ Trung Cấp Nghề,https://www.vinabook.com/images/thumbnails/product/240x/32766_39307.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Bùi Thanh Trúc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Minh Đạo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách phục vụ cho các trường Trung cấp nghề cũng như các trường Đại học, Cao đẳng, Trung cấp chuyên nghiệp có đào tạo nghề cắt gọt kim loại. Mục lục:Phần thứ nhất: Gia công trên máy tiện CNCKhái quát chung về kỹ thuật CNCTrang bị đồ gá trên máy tiện CNCKiểm tra sửa lỗi và chạy thử chương trình",30.000,,,,,,,,,,,,, 220.00 gam , 14.5x20.5 cm , 8935206502763 , 03/2010 , Kinh Đô 2 , Nxb Lao động , 208 ," Bùi Thanh Trúc , Phạm Minh Đạo ", Bìa mềm ,,
126,Hỏi Đáp Về Sửa Chữa Mô Tơ,https://www.vinabook.com/images/thumbnails/product/240x/30064_36577.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Lê Đức Trung 
                                                                                                                                            Lê Đức Trung
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Đặc điểm của cuốn sách trình bày các nội dung kỹ thuật từ đơn giản đến phức tạp, từ dễ đến khó… trực quan dễ hiểu, có tính dụng cao, thích hợp với mọi đối tượng công nhân kỹ thuật điện trong việc tự học. Cuốn sách cũng có thể làm tài liệu tham khảo bổ ích cho các trường trung học chuyên nghiệp và dạy nghề về lĩnh vực điện. Mục lục:  Chương 1: Hỏi đáp về bảo dưỡng và sửa chữa Môtơ 1 pha Chương 2: Hỏi đáp về bảo dưỡng và sửa chữa động cơ điện KĐB 3 pha Chương 3: Hỏi đáp về bảo dưỡng và sửa chữa động cơ điện 1 chiều. Chương 4: Hỏi đáp về thí nghiệm kiểm tra sửa chữa máy điện  Mời bạn đón đọc. ",48.000,,,,,,,,,,,,, 330.00 gam , 14.5 x 20.5 cm , 8935075917415 , 09/2009 , Thăng Long , Nxb Lao động - Xã hội , 316 , Lê Đức Trung , Bìa mềm ,,
127,Đồ Gá,https://www.vinabook.com/images/thumbnails/product/240x/28227_34730.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Trần Văn Địch     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Hiện nay, công việc thiết kế và chế tạo toàn bộ trang bị công nghệ (trong đó đồ gá là chủ yếu) cho một sản phẩm cơ khí có thể chiếm tới 80% khối lượng lao động của quá trình sản xuất trong điều kiện sản xuất thông thường. Tuy nhiên, để có thể thiết kế và chế tạo được đồ gá thì kỹ sư cơ khí phải có kiến thức sâu về nguyên lý và kết cấu đó của đồ gá. Cuốn sách “Đồ gá” này được biên soạn để làm tài liệu học tập cho môn “Đồ gá” trong chương trình đào tạo kỹ sư cơ khí hệ đại học. Ngoài ra, nó còn dùng làm tài liệu cho cán bộ kỹ thuật tại các nhà máy cơ khí và các xí nghiệp sửa chữa thiết bị công nghệ khác nhau. Các học viên cao học hoặc nghiên cứu sinh cũng có thể dùng tài liệu này để thiết kế và chế tạo các mô hình thí nghiệm phục vụ cho đề tài nghiên cứu của mình. Mục lục: Lời nói đầu Chương 1: Phân loại đồ gá Chương 2: Gá đặt chi tiết trên đồ gá Chương 3: Cơ cấu định vị của đồ gá Chương 4: Kẹp chặt và các cơ cấu kẹp chặt Chương 5: Các cơ cấu khác của đồ gá Chương 6: Một số đồ gá gia công điển hình Chương 7: Tự động hoá đồ gá và đồ gá trên dây chuyền tự động Chương 8: Đồ gá lắp ráp Chương 9: Đồ gá kiểm tra Chương 10: Dụng cụ phụ Chương 11: Thiết kế đồ gá chuyên dùng Chương 12: Tiêu chuẩn hoá và vạn năng hoá đồ gá Chương 13: Đặc điểm của chế tạo và kiểm tra đồ gá Chương 14: Hiệu quả kinh tế của đồ gá Chương 15: Đồ gá trên máy CNC Chương 16: Hướng phát triển của đồ gá Phụ lục Tài liệu tham khảo Mời bạn đón đọc.   ",54.000,,,,,,,,,,,,, 320.00 gam , 16 x 24 cm ,, 06/2009 , NXB KHKT , NXB Khoa học và kỹ thuật , 268 , Trần Văn Địch , Bìa mềm ,,
